# pt_bjet1_2-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
             30      61.197561     0.11245348      49.791116    0.090131555       77.13729     0.15269617
             50       27.60872    0.076015138      22.613645    0.061469865      34.440552     0.10185411
             70      15.145007    0.056764833      12.462111     0.04604042      18.756481    0.075255251
             90      9.0611316    0.043689908      7.4914645    0.035702753      11.148918    0.057710277
            110      4.8438449    0.022817899       4.010728    0.018691463      5.9270838    0.030692721
            150      2.1750797    0.014128845       1.789715    0.011293214      2.6764634     0.01897008
            200      2.1750797    0.014128845       1.789715    0.011293214      2.6764634     0.01897008
