#  y_bbZ-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            3.5      10.731471     0.68770818      7.7791429     0.48637614      15.432694      1.0509534
            3.6      6.1185254     0.50974997      4.3939449     0.36085034      8.8804026     0.77532958
            3.7      4.3644271     0.43311472       3.074251     0.30359174      6.4991447     0.66581221
            3.8      2.2970669     0.31568539       1.597061     0.21697131      3.4575059     0.49148414
            3.9      1.0336801     0.19892114      0.6785876     0.13163703       1.672689     0.32528381
              4     0.61255117     0.17120469     0.43254931     0.11240515     0.91449802     0.28979531
            4.1     0.15313779    0.076565067     0.11371457    0.057247869     0.20253445     0.10392366
            4.2     0.22970669    0.093772673     0.15336614    0.063223295     0.36406988     0.15060378
            4.3              0              0              0              0              0              0
            4.4    0.076568896    0.054139678    0.054530512    0.038560566     0.11034646    0.078030554
            4.5              0              0              0              0              0              0
            4.6              0              0              0              0              0              0
            4.7              0              0              0              0              0              0
            4.8              0              0              0              0              0              0
            4.9              0              0              0              0              0              0
              5              0              0              0              0              0              0
