# m_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            150     0.98931132    0.009118889     0.80044796   0.0072757499      1.2579634    0.012201209
            200      1.4145702    0.010865261      1.1535873   0.0087510228      1.7833057    0.014355382
            250      1.1316685   0.0096993814     0.92380709   0.0078590709       1.424696    0.012784075
            300     0.84050477   0.0083783695     0.68716449   0.0067844785      1.0562839    0.010891009
            350     0.59315421   0.0070200877      0.4849492   0.0057072515     0.74376443   0.0091281921
            400     0.42499124    0.006001642     0.34622989    0.004873428     0.53410388   0.0079730258
            450     0.30772632   0.0050516583     0.24937151   0.0040720638     0.38923039   0.0065972806
            500       0.191983   0.0029644059     0.15494291   0.0023501188     0.24368549   0.0039482214
            600       0.191983   0.0029644059     0.15494291   0.0023501188     0.24368549   0.0039482214
