#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      385.12137     0.59234835      306.09986     0.45299076      507.01617     0.88858083
            105      395.91475      0.5957434      315.60648     0.45961921      518.08484     0.88477912
            110       377.6136      0.5784723      301.52003     0.44719247      492.59117     0.84489533
            115      346.31819     0.55261122      277.09702     0.42860127      449.92836     0.79904124
            120      314.64755     0.52537991      252.04675     0.40814965      407.71622     0.75175273
            125      284.26242     0.49817664      228.10565     0.39057668       367.3068      0.7137189
            130      254.71884     0.47132376      204.63563     0.36862247      328.37708     0.66677825
            135      230.70192      0.4504791      185.65233     0.35575424      296.72055     0.64266464
            140      209.47657     0.42695009      168.67233     0.33525898      268.95276     0.59836939
            145      190.49946     0.40669063      153.61818     0.32020763      244.07012     0.56719857
            150      174.05695     0.38869358      140.38321     0.30629404      222.87561     0.53977563
            155      159.80177     0.37151299      128.98849     0.29368384      204.30211     0.51577835
            160      146.49431     0.35742651      118.36279     0.28316263      187.00643     0.49537231
            165      135.02545     0.34180005      109.23945     0.27074797      172.04339     0.47033265
            170      125.08012     0.32807074      101.28989     0.26134204      159.10644     0.45202987
            175      116.39115     0.32210182      94.334169     0.25559993      147.86121     0.44459276
            180      107.34945     0.30399404      87.100711     0.24399472       136.1835     0.42189603
            185       100.4104     0.29450625      81.542542     0.23570541      127.22401     0.40513863
            190      94.101229     0.28488774      76.398213     0.22925301      119.26893     0.39391389
            195      87.774224     0.27530579      71.305531     0.21962859      111.16881     0.37448976
            200      82.133168     0.26617089      66.788281     0.21256819      103.82384     0.36191505
            205      77.872404     0.25837734       63.33418     0.20627302      98.423379     0.34831685
            210      73.304813     0.25136132      59.660767     0.20075636      92.594775     0.33870378
            215      68.854801     0.24367673      56.080131     0.19482691      86.846618     0.32840704
            220      65.465441     0.23719807      53.328807     0.19032594       82.57119     0.32048404
            225      61.579771     0.22961648      50.219258      0.1842028      77.537838     0.30888042
            230      58.159856     0.22315636      47.498161     0.17913918      73.111728     0.29921321
            235       55.63169     0.22919586       45.38167     0.18178213      70.029557     0.30916867
            240      52.577077     0.21803951      42.953218     0.17424154      66.087778     0.29397901
            245      49.835867      0.2071837      40.769046     0.16712104      62.505782     0.27910959
            250      49.835867      0.2071837      40.769046     0.16712104      62.505782     0.27910959
