#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      26.197137      1.1011009       22.01474     0.89927898      31.413199      1.3873314
           -4.9      32.062118      1.2224273      28.201919      1.6541284      35.932422      3.1262916
           -4.8      38.677538      1.3032271      32.204089       1.067068      46.844128      1.6586488
           -4.7      41.367914      1.4047595       34.57188      1.1311531      49.958283      1.8378529
           -4.6      51.671814      1.5055973      43.261461      1.2419707      62.128665      1.9855766
           -4.5      55.895494      1.6207569      46.806159      1.3178328      67.264731      2.0607332
           -4.4       70.23203      1.7591075       58.66289      1.4397261      84.995652      2.2174357
           -4.3      77.691173      1.8825777      65.102925      1.5280555      93.759381      2.4123788
           -4.2      90.992138        2.03067      76.242686       1.646142      110.13865      2.6081179
           -4.1      107.11581      2.2506712      89.308996      1.8216687      130.32432       2.883081
             -4      115.10437      2.2994504      96.868039      1.8946237      138.95473      2.9794356
           -3.9      130.42816      2.4317751      110.17263      2.0199096      156.11103      3.2083897
           -3.8      155.24471      2.6291388      129.95032      2.1634409      188.63004      3.4471621
           -3.7      169.14062      2.7670657      141.19229      2.2609796      205.89222      3.5644428
           -3.6      193.57784      2.9832016      162.35435      2.4380252      234.62223      3.8673811
           -3.5      216.89277       3.419006      180.85241      2.7593863      264.69344      4.4533328
           -3.4       245.9923      3.3742115      205.50055      2.7433518      299.54976      4.4024477
           -3.3      274.19136      3.5624265      228.65944      2.8965956      334.96256      4.6340677
           -3.2      311.57971      3.7985324      259.65845      3.1011972      381.28179       4.997898
           -3.1         354.28      3.9754055      294.93852      3.2332329      434.06185      5.1924295
             -3      384.36415      4.1977689      319.00878      3.3946916      473.42975      5.5213147
           -2.9      437.32265      4.4481774      362.52021      3.6051242      539.29113      5.8310067
           -2.8      492.61625      4.7102735      409.71604      3.8517735      604.33937      6.3133129
           -2.7      559.38386      5.0185774      462.99098      4.0531627       690.9967      6.6425637
           -2.6      630.45506      5.6726962      521.88648      4.5854285      779.56983        7.56427
           -2.5      707.76704      5.6850924      583.33757      4.5616081       880.5684      7.5826804
           -2.4      787.46532      6.0230888      648.65861      4.8618563      980.33124      8.0801964
           -2.3      910.38936      6.4451196      749.35865       5.171473      1136.6888      8.6835007
           -2.2      1032.0047       6.860361       847.2182      5.5211421      1294.0778       9.330716
           -2.1      1178.8977      7.3046269      965.81236       5.834271      1481.1281       9.960084
             -2      1349.3294      7.8484259      1103.6827      6.2704514      1700.3057      10.786306
           -1.9      1574.3131      8.5092358      1285.0888      6.7817895      1989.0203      11.686922
           -1.8      1795.8756      9.0079826       1463.886      7.1836132      2275.2909      12.478493
           -1.7      2120.2269      9.8649459      1722.8072      7.8218985      2701.3965       13.58725
           -1.6      2484.1422      10.713943      2012.8729      8.4703228       3174.537      14.796089
           -1.5       2888.501      11.366633       2339.307       8.988771      3697.0876      15.885278
           -1.4      3389.2812      12.331924      2740.5187      9.7330686      4343.3386      17.282413
           -1.3      3999.8029      13.396831      3229.7729      10.546997       5137.192        18.7435
           -1.2      4687.7986      14.511154      3778.3281      11.407487      6036.6013      20.423828
           -1.1      5503.1955      15.617587      4431.1795      12.261407      7087.6632      22.009831
             -1      6401.4642      16.873839      5153.5003      13.261619      8247.3312      23.904907
           -0.9      7530.4387      18.232778      6051.6339      14.275204      9730.6623      25.682005
           -0.8      8741.0253      19.588396      7028.1685      15.360703      11278.374      27.679638
           -0.7      10075.193      21.181872      8099.2696      16.556056      13003.575      29.903066
           -0.6      11544.447      22.443287      9288.8229      17.619856      14878.397      31.735864
           -0.5      13190.481      23.937897      10618.688       18.77193      16977.148      33.786205
           -0.4      14960.997      25.450479      12065.975      20.048537      19202.168      36.069224
           -0.3      16748.441      26.882334      13527.174      21.169809       21446.72      37.981835
           -0.2      18487.786      28.200277      14987.018      22.383258       23547.68       40.09188
           -0.1      19811.795      29.289573      16117.266      23.236558      25111.472      41.408398
              0      19724.245      29.175835      16052.993      23.217282      24980.743      41.461762
            0.1      18514.361      28.187533      14997.218      22.229926      23605.804      39.678309
            0.2      16703.441      26.869846      13498.586      21.311227      21374.128      38.388341
            0.3      14941.861      25.417971      12039.112      19.960012      19203.619      35.916698
            0.4      13218.146      23.988788      10638.446      18.875941      17027.487      34.058076
            0.5      11562.243      22.461988      9302.9035      17.597053      14896.918      31.683559
            0.6      10092.913      21.392479      8115.8043      16.718665      13020.519      30.335753
            0.7      8755.2251       19.61979       7039.076      15.383242      11305.935      27.685461
            0.8      7523.0425      18.238708      6047.3753      14.301538      9722.2403      25.785235
            0.9      6437.2856      16.903012      5177.3941      13.234682      8307.3062      23.823215
              1      5517.2866      15.631004      4440.3715      12.363815      7115.0677      22.321594
            1.1       4671.606       14.71752      3767.3265      11.545916      6012.0284      20.799328
            1.2      3977.3835      13.348177      3209.7582      10.490141      5114.3405      18.728298
            1.3      3388.2145      12.427448      2739.0713      9.7772604      4344.8623      17.329401
            1.4      2883.4671      11.403307      2336.2258      8.9843135      3687.6512       15.85995
            1.5      2477.8883      10.600998      2009.2797       8.373457      3164.4322       14.72969
            1.6      2129.2419      9.8588584      1729.9917      7.7975459      2710.9123      13.640389
            1.7      1830.4679      9.0835184      1490.0742      7.2221305      2321.7057      12.538189
            1.8      1569.3168      8.4512279      1280.8303      6.7250517      1984.5352      11.619958
            1.9       1354.801      7.8467652      1106.8041      6.2528805      1711.9805      10.698893
              2      1188.1718      7.3438577      972.73167      5.8714316      1495.2279      9.9963008
            2.1      1036.7117      6.8512066      851.40755      5.4940965      1298.2841       9.295054
            2.2      906.96113      6.4678819      745.88418      5.1732868       1133.579      8.7323782
            2.3      792.37153       5.994742      655.99931       5.033032      981.51101      8.5940341
            2.4      703.80117      5.6480302      580.47511      4.5413509      875.25367      7.5664683
            2.5      626.44349      5.4036452      522.40399      5.4484729      767.17291      10.028619
            2.6       562.9485      5.0577417      466.13139      4.0938233      696.13093       6.760218
            2.7      493.57207      4.7919895      409.43779      3.8687962      608.34618      6.3344501
            2.8      444.12469      4.5106168      367.99753       3.643094      548.07786      5.9350338
