#  pt_bb-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      10.623726    0.095638749      8.2687809    0.074014956      13.968135     0.13529728
              5      25.674903     0.16468286      19.966841     0.12339617      33.785279     0.23548881
             10      30.751489     0.17485758      23.935553     0.13273697      40.412379     0.24943589
             15      30.294016     0.15967313      23.571863     0.12286159      39.826476     0.22317263
             20       28.04316     0.16382095      21.867225     0.12490222      36.756759     0.23065107
             25      25.022357      0.1462855      19.486933     0.11243681      32.841029     0.20386165
             30      22.552285     0.14385141       17.54123     0.10902997      29.648719     0.20475419
             35      20.246297     0.13124807      15.749255     0.10062846      26.609668     0.18286494
             40      18.403131     0.12388624      14.360274    0.096333027      24.080132       0.175156
             45      16.387793     0.11928691      12.792961    0.091914118      21.436345     0.16720248
             50      14.883683     0.11075962       11.64667    0.088008527      19.399122     0.16083084
             55      13.577836      0.1097378       10.57079    0.083971831      17.814937       0.152004
             60      12.332073     0.10447889      9.6636053    0.080567172      16.038266     0.14630435
             65      11.427831    0.098184874      8.9405004    0.075689069      14.892973     0.13504817
             70      10.538456     0.09374474      8.2406726    0.072638691      13.746334     0.12902713
             75      9.6704426    0.091026164      7.5645955    0.070107668      12.605688     0.12570247
             80      8.9400704     0.08711416      6.9901151    0.067063778      11.660199     0.12041031
             85      8.4217772    0.083976646      6.5980925    0.064987231      10.954042     0.11541094
             90      7.8189425    0.081874048      6.1878103    0.073984223      10.036004     0.13654994
             95      7.4897982    0.079049771      5.8852114    0.061377305      9.7003814     0.10825443
            100      6.8893699    0.077181566      5.4091497    0.059715558      8.9312757     0.10604809
            105      6.6612445    0.075739171      5.2571995    0.059222897      8.5744766     0.10595233
            110      6.1312262    0.072310481      4.8468178    0.056714543      7.8718568     0.10091648
            115      5.7229529    0.070852323       4.512395    0.054710298      7.3743764    0.097114025
            120      5.4359333    0.067784286      4.2943011     0.05292424       6.988019    0.093364945
            125      5.2396145    0.066794375      4.1481916    0.052472662      6.7157332    0.092801627
            130       4.930165    0.064096957      3.9066944    0.050263152      6.3082697     0.08859493
            135      4.6777269    0.064587193       3.705115    0.050156866      5.9896809    0.089325339
            140      4.4345254    0.062052016      3.5053595    0.048056439      5.6943266    0.085068346
            145      4.1808418    0.059963196      3.3206094    0.046706985      5.3324474    0.082167807
            150       3.807673     0.06386034      3.0518173    0.052868792      4.7906347    0.094634926
            155      3.7270658    0.060496419       2.962899    0.046595795      4.7484168    0.082904423
            160      3.4655923    0.054839698      2.7857721    0.048384326      4.3436424    0.088736399
            165       3.201622    0.052383508      2.5523426    0.040850066      4.0614664    0.071170994
            170      3.1058117    0.051549817      2.4680145    0.040090151      3.9576494    0.070418142
            175      2.9382916    0.050776776       2.348654    0.039833836      3.7137843    0.069380478
            180      2.6334846    0.047412002      2.1023238    0.037117365      3.3326378    0.064645536
            185      2.4590976    0.047379705      1.9710669    0.036727999      3.0949868    0.065289006
            190      2.3055829    0.044319043      1.8643843    0.035061991      2.8666302    0.061426531
            195      2.3370441    0.045202423      1.8649338    0.035266708      2.9586115    0.061985837
            200      2.0842267    0.046748481      1.6586724    0.035737168      2.6485451    0.064368894
            205      1.9742129    0.041884218       1.594229    0.033257376      2.4585594    0.059045716
            210      1.8214473    0.042355242      1.4627935    0.032941621       2.285133    0.058299334
            215      1.6683252    0.039286902      1.3414569    0.030695182      2.0892901    0.054125562
            220      1.5682256    0.037345426      1.2644039    0.029593461      1.9550551    0.053223358
            225       1.455329     0.03568491      1.1654219    0.027835546      1.8320129    0.048892543
            230      1.4368345    0.035613682      1.1585456    0.027978889      1.7905223    0.049740245
            235      1.3051244    0.034209322      1.0380947    0.026494847      1.6584967    0.046511058
            240      1.2153609    0.037169135      0.9780508    0.028066812       1.520046    0.052661385
            245      1.1543386    0.032358357     0.92962034    0.025034889      1.4409546    0.045122022
            250      1.0528772    0.030626759     0.83999946    0.023795631      1.3314043     0.04197764
            255      1.0124685    0.029865997     0.81976709    0.023453723      1.2548629    0.041147151
            260     0.96562761    0.034668962     0.77193859    0.025756636      1.2171451    0.049812737
            265     0.91582537    0.028562093     0.75808277    0.029365669      1.0971264     0.05928097
            270     0.80866051    0.027287173     0.64296903    0.020986646      1.0268506    0.037503191
            275     0.76728994    0.026385524     0.62305661    0.021501684     0.94605197    0.037953519
            280     0.69754334     0.02505463     0.56320301    0.019453854     0.86731481    0.034520426
            285     0.68301413    0.025223688     0.54657264    0.019501249     0.85974867    0.034700587
            290     0.66747446    0.028439873     0.53927889     0.02142971     0.82870233      0.0416816
            295     0.62394468    0.025853999     0.50365778    0.020030255     0.77519391    0.036364931
            300     0.56135854    0.023415734     0.44876466    0.017802956     0.70666608    0.032933814
            305     0.55293454    0.022059246     0.44196909    0.017195711     0.69673431    0.030306637
            310     0.49106653    0.021459859      0.3952927    0.016622567      0.6129535    0.029530014
            315     0.48582681      0.0210446     0.39175329     0.01613624     0.60424341    0.029547227
            320     0.44438679    0.022540326      0.3548213    0.017000332     0.56065047    0.031981449
            325     0.40514204    0.018780452     0.32344814    0.014473534     0.51147462     0.02606253
            330     0.39609177    0.018985108     0.31988315     0.01482491     0.49129713    0.026490184
            335     0.37174492    0.018101115     0.29219766    0.013856699     0.47869446    0.024747022
            340     0.31417949    0.017593161     0.25528072    0.013496717     0.38631957    0.024507013
            345      0.3199901    0.017123252     0.26579393    0.013966313      0.3808995    0.025972701
            350     0.31548104    0.017453384     0.26023153    0.014017011     0.37821933    0.025831083
            355     0.30685234    0.016433672     0.24448575    0.012704541     0.38778006    0.022986481
            360     0.26503746    0.016152344     0.21541988    0.012297801      0.3260367    0.022709744
            365     0.22063047    0.014409235     0.18110176    0.011251025      0.2670489      0.0210589
            370     0.25138551     0.01519285     0.20095155    0.011646312      0.3162514    0.020887178
            375     0.21174143    0.013894008      0.1717824    0.010914204     0.26112202    0.018830867
            380     0.22273769    0.014121871     0.18261562    0.011231351     0.27003191    0.019986098
            385      0.2251534     0.01695756     0.17721475    0.012512424     0.28939925    0.024329806
            390     0.19514262     0.01453027     0.16194956    0.011165964     0.23235363    0.021406261
            395     0.16839655    0.012824972     0.13580591   0.0098741546     0.20961735    0.017585269
            400     0.19979183    0.014205501     0.16292033    0.010897196     0.24355246    0.020081688
            405     0.16252976    0.012405586     0.13039393   0.0095304853     0.20358535    0.017646742
            410     0.16575012    0.012438688     0.13450506   0.0096802502     0.20409796     0.01698042
            415     0.17028872    0.012670765     0.13745497    0.010336333     0.21117378    0.018546237
            420     0.16095565    0.011567918     0.12863712    0.009076063      0.2022288    0.015633403
