#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       383.3618      1.3467954        307.235      1.0417262      498.94326      1.9808804
              1      1074.8194      2.2375771      861.03188      1.7386048      1399.0525      3.3010753
              2      1567.6989      2.6917788      1255.3222      2.0874878      2041.3845      3.9564365
              3      1839.6952      2.8752656      1474.0354       2.232849       2392.515      4.2048396
              4      1942.3412      2.9511096      1558.4551      2.2962003      2520.2109      4.2983503
              5      1920.7474      2.9130439      1541.9753      2.2731206      2487.8849      4.2192787
              6      1837.8855      2.8417881      1476.9267      2.2191221       2376.101      4.0747381
              7      1716.1234       2.741641      1380.0163      2.1417342      2215.5606      3.9034476
              8      1584.2364      2.6307709       1275.221      2.0585331      2040.6815      3.7281299
              9      1456.3316       2.526781      1173.7717      1.9896162      1872.9111      3.5866567
             10      1327.7232      2.4086705      1070.7697      1.8948685      1704.8459      3.3932691
             11      1209.1674      2.2955005      976.05491      1.8101462      1550.5365      3.2367323
             12      1096.6558      2.1831973      886.06788       1.723318      1404.0781       3.057232
             13      1002.1762      2.0890985      810.42452      1.6498378      1281.4385      2.9073327
             14      915.03468      1.9972575      740.89739      1.5857657      1167.6116      2.7962414
             15      831.28966        1.90272      673.23695      1.5064903      1060.0165       2.640552
             16      757.09388      1.8359515      613.57492      1.4519995      964.35356      2.5454543
             17      696.03535      1.7349652      564.29527      1.3751048      885.81789      2.3846009
             18      635.31951      1.7136771      515.71636      1.3580428      807.18468      2.3499147
             19      587.48916      1.5946443      477.15308      1.2654688      745.92519      2.1865356
             20      536.32135      1.5293305      435.81795      1.2247879      680.37315      2.1239898
             21      495.41829      1.4641367      402.80095      1.1698499      627.95984      2.0107167
             22      456.68633      1.4076652      371.58395      1.1217731        578.139      1.9174344
             23      424.55957      1.3540422      345.52152      1.0810646      537.27301       1.849481
             24      393.91766      1.3160326      320.93336      1.0794519      497.38565      1.8694215
             25      362.27597      1.2525528      295.04267      0.9983612      457.86746      1.6995737
             26      336.07844       1.206067      273.91283     0.96478208      424.08837      1.6396971
             27      312.23191      1.1613012      254.51699       0.930372      393.73923      1.5785134
             28        293.088      1.1236692      238.90167     0.89844805      369.78852      1.5166913
             29       271.2512      1.0805682      221.24551     0.86415965      341.93937      1.4597963
             30      253.26328      1.0453912      206.85302      0.8381676      318.60696      1.4084054
             31      235.99864      1.0170805      192.80821     0.81507821       296.7357      1.3724992
             32      220.60133      0.9763283      180.43915     0.78384429      276.79163      1.3229486
             33      208.20494     0.94654935      170.31248     0.75864477      261.27064      1.2701287
             34       194.9711     0.92317427        159.287     0.73876516      245.11898      1.2410359
             35      183.46245     0.89026523       150.1067     0.71344102      230.33189      1.1921124
             36      172.20253     0.86345959      140.84621      0.6927492      216.11578      1.1562267
             37      162.71941     0.86208446      133.25671     0.68934938      203.83134       1.159937
             38       152.2703     0.80990085      124.62999     0.65005764       190.9819      1.0816669
             39      144.81983     0.78859925      118.73706     0.63625859      181.21165      1.0576841
             40      136.06185     0.76896822      111.36523      0.6171191      170.54878      1.0249137
             41      130.60397     0.75011851      107.06491     0.60694699      163.34737      1.0084557
             42      122.74537      0.7251784      100.71571     0.58547421        153.322     0.97222158
             43      115.92472     0.70403103      95.117452     0.57112434      144.87049     0.94809426
             44      108.57557     0.68226612      88.953749     0.54843144       135.8965     0.90455333
             45      104.35408     0.66991074       85.74857     0.54148815      130.01496     0.89859992
             46      97.996995     0.65706287      80.282993     0.52742164      122.66276     0.87487817
             47      93.791762     0.63292561      77.015663     0.51500113      116.99269     0.84612532
             48      88.905475     0.61731787      73.157838     0.50658267      110.63107     0.83836414
             49      84.537236     0.60679152      69.421838     0.48875065      105.46679     0.80560153
             50      84.537236     0.60679152      69.421838     0.48875065      105.46679     0.80560153
