# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      92.465257      1.2423749      71.050146     0.92344414      123.17897      1.7817489
     0.31415927      96.917162      1.1636489       74.88572     0.88615347      128.19359      1.6468187
     0.62831853      100.42286      1.2472772      77.728435     0.94229915      132.51374      1.7883156
      0.9424778      107.44834      1.2230712      82.795331     0.92794345      142.60777       1.742982
      1.2566371      116.86283      1.3529208      89.387676      1.0083054       156.5788      1.9304456
      1.5707963      143.93881      1.4743497      109.75804      1.1028515       193.6611      2.1263251
      1.8849556      182.48017      1.6850504      138.70181      1.2525029      246.41882      2.4392524
      2.1991149      253.85439      2.3532153      193.55412       1.702073      341.39768      3.5065725
      2.5132741      375.89406      2.2928699      289.65902      1.7717532      498.43074      3.4039959
      2.8274334      593.50291      2.9666241      464.69302      2.2838537      769.76006      4.3058896
      3.1415927      593.50291      2.9666241      464.69302      2.2838537      769.76006      4.3058896
