#          m_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             10       1969.804     0.71984939      1587.0269     0.55296636      2534.5351      1.0985303
             20      653.04364     0.49781391      527.94218     0.39290521      835.18284     0.69884466
             30      271.97753     0.33628085      220.92317     0.26824038      345.46159     0.46278863
             40      140.53231     0.24404163       114.6282     0.19523549      177.45956     0.32871682
             50      82.399973     0.19343135      67.466335     0.15549973      103.54208     0.25884742
             60      52.881447     0.15184495      43.432999     0.12239762      66.148683      0.2011152
             70      35.987293     0.12557904      29.646665     0.10280464       44.84451     0.16910364
             80      25.499457     0.10519924      21.043695    0.085463721      31.692062     0.13819587
             90      18.887422     0.09119248      15.647149     0.08080185      23.356647     0.13797977
            100        14.2111    0.078767731      11.773921    0.064094337      17.577872     0.10249458
            110      10.916952    0.069670072      9.0645639     0.05677092      13.463405    0.090494118
            120      8.6142623    0.061612263      7.1651288     0.05029574      10.592967    0.079805579
            130      6.9362482     0.05530123       5.766061    0.045212008      8.5235414    0.071213778
            140      5.5927764    0.049307784      4.6515606     0.04043153      6.8587784    0.064019643
            150      4.6632276    0.045700389      3.8743054    0.037188168      5.7193127    0.059660366
            160       3.820907    0.041795313      3.1728436    0.033936508      4.6891461    0.054470649
            170      3.2219498    0.038784033      2.6780252    0.031453902      3.9478794    0.050999987
            180      2.6010086    0.034586926      2.1681316    0.031524992      3.1683497    0.056931765
            190      2.2879121    0.031520466      1.8939587    0.025879269      2.8128003    0.041561826
            200      1.9298443    0.029684003       1.589751    0.023974466      2.3879763    0.038656299
            210       1.614968    0.026853985       1.332031    0.021831484      1.9929442    0.035348997
            220      1.4611612    0.025448488      1.2141532    0.021112382      1.7856675     0.03435272
            230      1.2818945    0.025497446      1.0661311    0.020789293      1.5659826    0.035151247
            240      1.1054649    0.022524779     0.91629081     0.01835151      1.3557038    0.029782792
            250     0.95481823    0.020594656     0.78832571    0.016665877      1.1772426    0.026831919
            260     0.83811074    0.020905767     0.68935021    0.016612331      1.0386374    0.027709502
            270     0.78218387    0.020196757     0.64051354    0.015866539     0.97177882    0.027039459
            280     0.69475127    0.018277555     0.56916028    0.014509733     0.86458158    0.024284801
            290     0.61604941    0.016630958     0.50828558    0.013475499     0.75990361    0.021678753
            300     0.53414811    0.015421882     0.44124618    0.012445629     0.65665657    0.020069983
            310     0.47719917     0.01487957     0.39297487    0.011940672     0.59063898    0.019699948
            320     0.44373087    0.013856416     0.36579157    0.011239012     0.54759004    0.017950884
            330     0.38162759    0.012920275     0.31353131    0.010443602     0.47339459    0.016848296
            340     0.34465082    0.012444949      0.2849154    0.010071364     0.42448016    0.016395655
            350     0.30300455    0.011779155     0.25280573    0.009725897     0.36981768    0.015524308
            360     0.26411083    0.010955865     0.21608675   0.0087723872     0.32907071    0.014296562
            370     0.26051067    0.010686511     0.21351588   0.0085937425     0.32363213    0.014048628
            380     0.23348059    0.010702223     0.19066805   0.0084140693      0.2907287    0.014367672
            390     0.23993593    0.016184629     0.19763351    0.012053161     0.29598855    0.022946681
            400     0.19494998   0.0098095124     0.15903523   0.0078099605     0.24345998    0.012877709
            410     0.16292497   0.0086119936     0.13414884   0.0068963204     0.20063357    0.011250455
            420     0.15954576   0.0085914411     0.12890784   0.0068290221     0.20112458    0.011222281
            430     0.15862199    0.008471199     0.13073634   0.0068212843     0.19540268    0.011079757
            440     0.12485987   0.0078940784     0.10204832    0.006229615     0.15538682    0.010537854
            450     0.11529563   0.0076247683    0.095665329   0.0061344696     0.14040274    0.010074602
            460     0.11019601   0.0070012839    0.090369968   0.0056236623     0.13619996   0.0090620831
            470      0.1089097      0.0068585    0.086827431    0.005414706     0.13958717   0.0090887418
            480    0.094119279   0.0064427955    0.076749882   0.0051851378     0.11752612    0.008341162
            490    0.081510904   0.0061238014    0.067545293   0.0049708008    0.099339464   0.0079813019
            500    0.081510904   0.0061238014    0.067545293   0.0049708008    0.099339464   0.0079813019
