#  n_b_jets-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5       7067.542       5.171821      5693.5368      4.0458992      9086.7068      7.4171595
            0.5      2343.0627      3.0875456      1921.9895       2.491768      2916.1837      4.1651442
            1.5      333.93405      1.1851274      272.99362      0.9579806      419.48343      1.5534014
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
