#      m_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             60      30.477701     0.37006564      24.397976     0.28780998      39.473282     0.52468535
             61      33.799966     0.38941916      27.113709     0.30396966      43.670873     0.54992108
             62      37.542674     0.41119714      30.068021     0.31981729      48.651196     0.58251338
             63      41.309957     0.43358774      33.211975     0.33777028       53.25055     0.61313042
             64      46.435357      0.4577318      37.407261     0.36042299      59.613486     0.65291629
             65      52.731234     0.48813071      42.332621      0.3798555       68.18166     0.68893833
             66      60.764487     0.52368885      48.807668     0.40997823      78.449197     0.73632876
             67      69.757732     0.56142605       56.05437     0.43987352      89.968164     0.79989154
             68      82.528196     0.60818085      66.679331     0.47972859      105.64436     0.87156516
             69      97.888277     0.66316197      78.855442     0.52276225      125.87541     0.94363391
             70      117.99855     0.72937396      94.888348     0.56977031      152.04215      1.0274062
             71      146.16146     0.81116747      117.73394     0.63640206       187.7168      1.1433401
             72      184.17445     0.90791901      148.69253     0.72326984      236.05026      1.3136486
             73      239.98587      1.0333413      193.56268     0.81394274      308.12342      1.4566042
             74      323.91053      1.2032405      261.23064     0.94940023      415.98554        1.69494
             75      465.01876      1.4603345       375.5653      1.1447447      595.84822      2.0499609
             76      712.65197      1.7753598      575.82936      1.4240848       912.7756      2.5680589
             77      1233.7639      2.3258803      997.71299      1.8365074      1578.0768      3.2860868
             78      2520.4917      3.3060825      2037.1987      2.5982835      3227.6971      4.6571578
             79      6149.7919      4.8964298      4972.9618       3.849734      7869.8601      6.9534997
             80      9533.2851       5.828859      7712.8341      4.5906084      12190.563      8.3981801
             81      4991.0602       4.479996      4040.1855      3.5276389      6376.8917       6.339936
             82      2075.1476      2.9859193      1679.7837      2.3563633      2651.8894      4.1929954
             83      1044.6014      2.1816169      846.07827      1.7233757      1333.2628      3.0535424
             84      616.91464       1.655788      500.01603      1.3080122      787.07256      2.3082799
             85      406.83182      1.3570305      330.06776      1.0733521      518.18913      1.8986089
             86      286.86889      1.1284555      232.64285      0.9030495       365.6385      1.6090968
             87      211.59205     0.97396087      171.85575     0.77103051      269.00345      1.3559088
             88      162.21126     0.87117372      131.51907     0.68854416      206.84579      1.2183683
             89      128.51618     0.75921233      104.25844     0.60062383      163.76358      1.0567518
             90      103.00169     0.67751319      83.682078     0.53852009      131.06464     0.94685599
             91      85.971772      0.6213816      69.918657     0.49115978      109.29961     0.85833731
             92      71.396529     0.56341676      57.984555     0.44662737      90.786309     0.78371737
             93      60.915782     0.52584486      49.440094     0.41620044      77.560165     0.72856357
             94       53.17196     0.48836615      43.195135     0.38584308      67.608357     0.67375082
             95      45.120923     0.44736304      36.622778     0.35353896      57.543736     0.61410577
             96       39.51631     0.42052534      32.240417      0.3357176      49.974739     0.58866653
             97      34.189271     0.39242454      27.875915     0.31188605      43.226501     0.54382053
             98      31.351413      0.3727912      25.601467     0.29783734      39.601604     0.51526828
             99      27.759759     0.35082788      22.593981     0.27974485      35.316651     0.48415676
            100      24.819341     0.33246736      20.222309     0.26443634       31.47176     0.45529404
            101      22.014629     0.31473409      17.990085     0.25195523       27.78633     0.43774848
            102      20.382901     0.30000822      16.588776     0.23830904      25.879273     0.41011773
            103      18.566343     0.28661751       15.10338     0.22695497       23.55955     0.39140441
            104      16.853773     0.27481201      13.775353     0.21803906      21.275258     0.37900211
            105      15.412385     0.26310592      12.549457     0.20890721      19.579812     0.35854815
            106      13.924763     0.24954611       11.34801     0.19819013      17.641716     0.33882776
            107      13.292187     0.24316483      10.883464     0.19514222      16.766635     0.33496408
            108      12.470252     0.23471106      10.171881      0.1868174      15.818698     0.31906965
            109      11.246919      0.2250295      9.1958225     0.17997451      14.180241     0.30924888
            110      10.658777     0.21676606      8.6628625     0.17190442      13.519983     0.29554511
            111       9.850465      0.2087133      8.0635857     0.16620365      12.426958     0.28370483
            112      9.1146566     0.19894726      7.4104313     0.15888075      11.580794     0.26769042
            113      8.4662479     0.19975222      6.9649233     0.15822504      10.551981     0.27469441
            114      7.9279638     0.18783784      6.4960713     0.14999955      9.9769489     0.25548704
            115      7.8408347     0.18688821      6.3822733     0.14822271      9.9365879     0.25255374
            116      7.0476857     0.17509077      5.7458082     0.14000819      8.9276773     0.23803231
            117      6.9597398      0.1748684      5.6719488     0.13938788      8.8307011     0.23675341
            118      6.4878776     0.17000422      5.4327912     0.16748261      7.9072681     0.31067642
            119      5.8704872     0.16306188      4.8189609     0.13023539      7.3513049     0.22061148
            120      5.8704872     0.16306188      4.8189609     0.13023539      7.3513049     0.22061148
