#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      4.8977056     0.53427287      3.9596673     0.40865283      6.5265975     0.79998723
           -4.9      12.754984       0.827014      10.244609     0.63595204      16.774903      1.2447102
           -4.8      29.636112      1.2853781      24.123204     0.99513754      38.585527      1.8660548
           -4.7      66.255845      1.8485752      53.597649      1.4331091      86.895786      2.7978101
           -4.6      120.68137      2.5025802      97.356886      1.9407718      158.04031      3.6102868
           -4.5      202.27619      3.2646009      164.12059      2.5417231      261.72152      4.7212765
           -4.4      333.36945      4.1305281      269.90468       3.209844      434.06401      5.9114212
           -4.3      502.36017       5.050793      406.94123      3.9287581       653.6076      7.2577466
           -4.2      715.78139      5.9923611      577.90944      4.6612131      932.85959      8.5842128
           -4.1      950.35619      6.8788847      768.34574      5.3674082      1231.8197      9.8736224
             -4      1211.4672      7.7471965      978.05002      6.0243479      1571.9474      11.063025
           -3.9       1505.526      8.5745844       1216.731       6.690191      1948.1826      12.132284
           -3.8      1793.6559      9.3116677      1449.5793      7.2666205      2313.7094      13.265176
           -3.7      2079.1974      10.070921      1680.7388       7.866465      2681.3075      14.313207
           -3.6      2390.9162      10.738663      1932.6754      8.4018337      3083.1724       15.13542
           -3.5      2685.7044      11.267762      2169.5295      8.8327089      3461.8627      15.934864
           -3.4      2960.0183      11.781997      2391.4685      9.2337327      3807.1494      16.616954
           -3.3      3232.6755      12.276149      2611.5361      9.6179931      4157.1836       17.29669
           -3.2      3451.3127      12.666856      2789.0756      9.9200158      4432.8566      17.811814
           -3.1       3658.311      13.053132      2955.2928      10.248338      4699.1469      18.374759
             -3      3862.1763      13.378641      3121.6546      10.469199       4955.732      18.702095
           -2.9       4037.808      13.585684      3268.1569      10.697626       5168.099      19.126044
           -2.8      4187.6388      13.751352      3385.1793      10.811163      5366.5129      19.261181
           -2.7      4309.2162      13.930345      3486.5581      11.072332      5514.7073       19.88124
           -2.6      4413.3185      14.273882      3569.6561      11.210452      5648.8747      19.939031
           -2.5      4492.8399      14.163134      3634.8764       11.20579      5746.9985      19.951222
           -2.4      4567.5641      14.231665      3694.0824      11.234581      5840.5684      19.899453
           -2.3      4607.7541       14.30276      3728.1453      11.272469       5890.599      19.953434
           -2.2      4664.3622      14.513941      3776.6174      11.460176       5956.699      20.333065
           -2.1      4714.1931      14.439387      3809.8678      11.373039      6029.7587      20.084506
             -2      4727.1303      14.442321      3828.1808      11.420233      6029.6736       20.17949
           -1.9      4770.1329       14.48669      3865.1635      11.505026      6075.7938      20.436634
           -1.8       4770.461      14.420275       3856.963      11.379988      6096.0459      19.984072
           -1.7      4794.9155       14.44233      3879.4904      11.509659      6121.5891       20.37014
           -1.6      4798.4082      14.457377      3883.4086      11.454738      6121.5515      20.169714
           -1.5       4797.044      14.437383      3884.8614        11.4702      6113.7229      20.225782
           -1.4      4783.7224      14.404493      3869.7498      11.396916      6106.2017      20.004329
           -1.3      4805.1009      14.436041      3889.0887      11.429287      6125.6315      20.046288
           -1.2       4794.744      14.390814      3880.8112      11.433581      6114.5696      20.111597
           -1.1      4803.4191       14.47575      3884.8981      11.451688      6133.1362      20.042288
             -1      4784.2261      14.358972      3871.8631      11.370204      6101.0323      19.958023
           -0.9      4775.9329      14.400207      3864.1176       11.49837      6090.4795      20.279209
           -0.8      4802.1033      14.349993      3886.2945      11.419951      6124.8166      20.090084
           -0.7      4784.4769      14.317075      3871.5129      11.362174      6102.7508      19.924385
           -0.6       4802.633      14.324208       3882.721      11.346429      6133.4994      19.804434
           -0.5      4781.1934      14.316406      3864.7275      11.323542      6107.3428      19.811871
