# eta_bjet1-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
# -2bjet
              0      197.11761      1.4277573      160.66697      1.1529373      248.42153      1.8718283
            0.4      186.78401       1.415527      152.33808      1.1424153      235.17879      1.8595528
            0.8      162.83406      1.3085235      133.00165      1.0579185      204.70774      1.7143431
            1.2      133.37466      1.1968646      109.17699     0.96636878      167.27878      1.5660803
            1.6      95.509602      1.0062156      78.427644     0.81623836      119.46315      1.3212218
              2      59.215188     0.79663365      48.872721     0.64758795      73.658585      1.0347066
            2.4      59.215188     0.79663365      48.872721     0.64758795      73.658585      1.0347066
