# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      3808.8805      7.0546844      3048.8347      5.5776069      4854.9717      9.5561789
     0.31415927      4079.5907      7.2227335      3268.0779      5.7784965      5194.2939      9.9201375
     0.62831853      4265.0732       7.407081      3411.1311       5.858043      5441.7825      10.021431
      0.9424778      4543.2086      7.6248411      3630.1866      6.0213867      5803.9868      10.302812
      1.2566371      5004.1711      8.0190665      3998.6381      6.3401568      6392.8685      10.915353
      1.5707963      5769.6879      8.6948161      4613.1185       6.862171      7365.7854      11.786885
      1.8849556      6854.1272      9.3714091      5486.5631      7.4302762      8737.7928       12.82651
      2.1991149      8327.7597      10.327163      6679.7716      8.1474494      10588.233      14.006419
      2.5132741      10049.927      11.195157      8088.2771      8.9161169      12720.579      15.262053
      2.8274334      11510.525      11.968088       9292.497      9.5144396       14510.74      16.208364
      3.1415927      11510.525      11.968088       9292.497      9.5144396       14510.74      16.208364
