#    pt_Z-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      37.179036     0.17859468      29.762192     0.14045857      47.566933      0.2438501
              5      112.00966     0.30854841      89.650282     0.24261992       143.3214     0.42225102
             10      181.95832     0.39116197      145.58164      0.3074681      232.75926     0.53711068
             15      241.36993     0.44857477      192.98404     0.35259339      308.77355     0.61573894
             20      283.17494     0.48344921      226.31114     0.37996026      362.16373     0.66213097
             25       304.5954     0.49930304      243.45551     0.39264588       389.2812     0.68024916
             30      304.04423     0.49763932      243.24333     0.39603001      387.87803     0.68712729
             35      290.55963     0.49493482       232.4562     0.39140835      370.51103     0.67468567
             40       267.1944     0.46503323      214.06383     0.36822155      339.99389     0.63076717
             45      241.34537     0.44202589      193.37817     0.35019048      307.01872     0.59643552
             50      214.70391     0.41900486      172.16529     0.33213703      272.80681     0.56487989
             55      188.20436     0.39047499      151.03512     0.31211127      238.86515     0.53065566
             60      165.70223     0.37086448      133.05087     0.29357669      210.15101     0.49737551
             65      144.11976     0.34251784      115.82301     0.27328431      182.54358     0.46169181
             70      124.81473     0.31884884      100.33902     0.25334057       158.0279     0.42562013
             75      109.60561     0.29867907      88.208319     0.24061549      138.56899     0.40719219
             80      95.704902     0.28806827      76.982143     0.22824016      121.07362     0.38769539
             85      82.390728     0.25988321      66.351595     0.20691816       104.0746     0.34575194
             90      72.453738     0.24394304      58.377226     0.19465858      91.460067     0.32561735
             95      63.666403     0.22884583      51.251549     0.18228666      80.477782     0.30343939
            100      55.484349     0.21504079      44.734108     0.17183326      69.985674      0.2874007
            105      48.451143     0.19996013      38.953236     0.16013997      61.258112     0.27096929
            110        42.6149     0.18932578      34.276551     0.15005987      53.829991     0.25446288
            115      37.484402     0.17566272      30.186157     0.14484532      47.255872     0.24709745
            120      32.769552     0.16465234      26.320347     0.13034465      41.439777     0.22051415
            125      29.261091     0.15627926      23.440518     0.12335981       37.12224     0.21009292
            130      25.685113     0.14949295        20.5967     0.11750615      32.532529     0.20327036
            135      22.727301     0.13685056      18.209135     0.10845573      28.811438     0.18359102
            140      20.363651     0.13367605       16.29946     0.10497412      25.848618     0.18124762
            145       18.21765     0.12300172      14.564473    0.097210608      23.149615     0.16613302
            150      16.069353     0.11721117       12.86305    0.092637716      20.378382     0.16059352
            155      14.524914     0.11000491      11.609574    0.088429107      18.450867     0.15175725
            160      12.757725     0.10508691      10.195827    0.082760451      16.204988     0.14275843
            165      11.615643    0.098176939      9.2706962    0.077266528      14.773309     0.13265548
            170      10.276705    0.091841679      8.2047145    0.074705505       13.06725     0.13117194
            175      9.3457533    0.087563383      7.4676539    0.069418985      11.870206     0.11941949
            180      8.5412715    0.085346747      6.8075458    0.067004668      10.875505     0.11552502
            185       7.691402    0.079854122      6.1205585    0.063039348      9.8137887     0.10882366
            190       6.878963    0.075647177      5.4748231    0.059554079       8.770977     0.10311771
            195      6.2117827    0.071397286      4.9515816    0.056748436       7.898369    0.099667587
            200      5.6647923    0.068700044       4.506156    0.053833785      7.2267258    0.092819843
