#pt_bb-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      463.57244     0.64690244      368.70073     0.49602166      611.31933     0.97091038
              5      993.87624     0.91596286      793.79298     0.70641466      1300.2134      1.3574034
             10      1004.1133     0.90925277      805.69913     0.70682451      1301.3439      1.3182034
             15      834.13273     0.83203087      672.15838     0.65235594       1072.879      1.1837123
             20      655.23967     0.73788026      530.01842     0.58272394      837.00191       1.036375
             25      507.54922     0.65090269      411.60643      0.5157206      645.48818     0.89945461
             30      393.06907     0.57488225       319.4399     0.45782689      497.97429     0.79136929
             35      307.83838     0.50933635      250.84394      0.4062151      388.32572      0.6924252
             40      243.93077      0.4535251      199.12021     0.36329386      306.80218     0.61451235
             45      195.23811     0.40639938      159.58248      0.3269734      244.98871     0.55021618
             50      157.97321     0.36468479      129.24653     0.29394572      197.88478     0.49013862
             55      128.78353     0.33124214      105.48003     0.26670617      160.98883     0.44293159
             60      105.60245     0.30007094      86.664813     0.24182862      131.59789     0.40000516
             65      87.884227     0.27244588      72.155051     0.22081318      109.43782      0.3626762
             70      73.314259     0.24925513      60.293403     0.20253787      91.068961     0.33177877
             75      62.287997     0.22994451      51.317418     0.19784136      77.135655     0.33553119
             80      52.583181     0.21130188      43.285086     0.17185363      65.201412     0.28103633
             85      44.881684     0.19565925      37.016724     0.16567821      55.476295     0.27727634
             90      38.529133     0.18120131      31.856579     0.15118228      47.456245     0.24841076
             95      33.175752     0.16795203      27.385974     0.13678334      40.948047     0.22231313
            100      28.415943      0.1559051       23.42354     0.12645868      35.066324     0.20376674
            105      25.271552     0.14641035      20.782264     0.11905909      31.240286      0.1945525
            110      21.977623     0.13720467      18.071017     0.11118377      27.160125     0.18212961
            115      19.182537     0.12826701      15.752177     0.10421173      23.737796     0.17098013
            120      16.846473     0.12008201       13.84851    0.098313499      20.802673     0.16320234
            125      14.935953     0.11420432      12.272662    0.092712963      18.437249     0.15480587
            130       13.37873     0.10651647      10.940705    0.085730821      16.611282      0.1415899
            135      11.856103     0.10185062       9.702169    0.081645091      14.701891     0.13604473
            140      10.500897    0.095096806      8.5626671    0.076103371      13.067732     0.12687281
            145      9.2889663    0.089663914      7.6003874    0.071924239      11.502074     0.11973761
            150       8.212351    0.086884578      6.7608585    0.072560293      10.074451     0.12159715
            155      7.5243246    0.080785907      6.1541688    0.064538823      9.3178912      0.1074842
            160      6.7022494    0.075896789      5.5000775    0.064676308      8.2494498     0.11217718
            165      5.9943127    0.071962838      4.8940561      0.0574849      7.4339249    0.096085449
            170      5.6106447    0.069679731        4.56138    0.055570566      6.9975536    0.093309769
            175      5.0274826    0.066690769      4.1024073    0.053543951      6.2376403    0.090308853
            180      4.4741853    0.061799519      3.6374514     0.04939598      5.5743149     0.08252367
            185      3.9808318    0.059456509       3.247085    0.047160383      4.9356901    0.080287923
            190      3.7018051    0.058000101      3.0414265    0.046173819      4.5419744    0.079248337
            195       3.472988    0.055244531      2.8227771    0.043825799      4.3211901     0.07440804
            200      3.0631814    0.055125924      2.4828767    0.043053505      3.8264561    0.074590623
            205      2.8583192    0.050880167      2.3444033    0.040820376      3.5144399    0.070173484
            210      2.6341905    0.050129842       2.143431    0.039582206      3.2704224    0.067818449
            215      2.3284423     0.04608291      1.8969794    0.036549204       2.885618    0.062345909
