#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21061.757      16.030492      17230.869       12.78993       26414.16      22.580559
     0.31415927      16066.225      14.193055      13007.034      11.202976      20464.305      19.931218
     0.62831853      12641.918      12.844325      10192.432      10.085504      16217.995      18.064081
      0.9424778      10488.416      11.791103      8446.8941      9.2749957      13488.019      16.739209
      1.2566371      9083.8587      11.097041      7309.0005      8.6947947      11711.379      15.746153
      1.5707963      8172.8011      10.555017      6580.0552      8.3606469      10540.355      15.240968
      1.8849556      7596.4385      10.216558      6118.7582      8.0009131       9804.473      14.512526
      2.1991149      7269.8175      10.126214      5861.0684      7.9510969      9380.7704      14.433571
      2.5132741      7082.0675      9.9355536      5718.1198      7.7992788      9126.3854      14.167852
      2.8274334      7049.7322      9.9095055      5698.3585       7.786994       9075.538      14.121232
      3.1415927      7049.7322      9.9095055      5698.3585       7.786994       9075.538      14.121232
