#    y_j1-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      12.978428     0.73736393      10.313775     0.58415837      16.759026      1.0106397
           -4.9      18.062289     0.88869238      14.480881     0.69552204      23.046082      1.2289232
           -4.8      23.212203       1.023394      18.769527     0.80993962      29.269738       1.418856
           -4.7      34.629484      1.2293268      27.689822     0.95735912       44.41295      1.6750484
           -4.6       43.87123      1.3987309      35.141184      1.0841203      56.032482      1.9185341
           -4.5      154.60434      2.5884328      123.07875      2.0158906      198.98283      3.5636377
           -4.4      188.93664      2.8563072      150.56845      2.2269634      242.76259      3.9097633
           -4.3      241.24683      3.2129896      191.86722      2.5095364      310.69545      4.4168587
           -4.2      291.93483      3.5503343      232.25858      2.7624452      375.95024      4.8459968
           -4.1      347.43936      3.8737633      276.89597      3.0288742      446.13103      5.2962113
             -4      412.99492      4.2236355      330.04005      3.2997373      528.09798       5.755062
           -3.9      488.85949      4.5943165      390.27075      3.5928381      625.83576      6.2746524
           -3.8      579.52301      5.0045093      463.29253      3.9205825      740.24896      6.7970451
           -3.7      670.01789      5.3810244       536.0937      4.2032291      855.05288      7.2923961
           -3.6      754.68602      5.6833997       604.0071      4.4518865      962.64002        7.71896
           -3.5      875.22821      6.1267033       701.1602      4.8107097      1114.7281      8.3368837
           -3.4      990.01038      6.5218734       793.2244       5.129631      1260.7066      8.8924603
           -3.3      1111.7186      6.9045368      891.39601      5.4340501      1414.1799       9.389582
           -3.2      1245.6883      7.2844422      997.78761      5.7337439      1586.8179      9.8529738
           -3.1      1367.1139      7.6613585      1097.0622      6.0449813      1736.9123      10.430923
             -3      1495.6154       8.002526      1200.9189      6.2931946      1898.3907      10.815639
           -2.9      1638.9474      8.3656562      1316.9617      6.6132292      2077.8419      11.421618
           -2.8      1770.2801      8.8875606      1419.5972      6.9744397      2251.2749      12.051082
           -2.7      1909.3214      9.0001225      1533.7313      7.1127913      2422.0846      12.204623
           -2.6      2041.2549      9.3025017      1636.9567      7.3471444      2595.2037      12.595324
           -2.5      2171.9043      9.5803879      1744.5223      7.5820935      2754.4361      13.060259
           -2.4      2310.3115      9.8842366      1854.6305      7.8508877      2933.1753      13.397538
           -2.3      2442.5859      10.132127      1960.8023      8.0585898      3101.0761      13.848271
           -2.2      2557.9914      10.377006      2054.8118       8.220326      3244.7718      14.071659
           -2.1      2671.1097      10.569924      2145.3645      8.3640069       3389.473      14.234775
             -2      2808.4932      10.818182      2253.6821      8.6050114      3567.5735      14.692077
           -1.9      2883.8336      11.030741      2312.5665       8.736564      3667.2334      14.932577
           -1.8      3010.7621      11.221562      2416.4115      8.8814535       3823.711      15.162417
           -1.7      3103.8328       11.51647      2493.8164      9.4131268      3936.2888       16.36046
           -1.6       3188.169      11.578766      2556.7506      9.1396962       4053.938      15.583773
           -1.5      3270.5876      11.685053      2626.2663      9.2625423      4151.3381      15.743979
           -1.4      3340.7744      11.774771      2680.8531      9.3231815      4244.1914       15.80598
           -1.3      3429.9023      11.936047      2751.8181      9.4392652      4359.0157      16.055314
           -1.2      3507.8965      12.033232      2814.7489      9.5279196      4457.7183      16.132235
           -1.1      3574.9677      12.139929      2867.3011      9.6395649      4544.9458      16.372571
             -1      3618.4273      12.290413      2905.0744      9.7546099      4594.1528      16.570464
           -0.9      3675.7507      12.401634      2948.8199      9.8367638      4672.5694      16.693934
