# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      1704.7156      8.4147098      1394.1307      6.8173876      2141.6589      10.998141
            0.1      783.85543      5.8098706      637.67272      4.6721812      988.95258      7.6494671
            0.2      371.06644      3.9985624      302.79449      3.2178473      466.97967      5.2541456
            0.3       201.0482      2.9196663      164.82518      2.3607156      251.88495      3.8039485
            0.4      121.03593      2.2899667      99.791887      1.8597131      150.50247      3.0376069
            0.5      73.569005      1.7798153      60.920721      1.4577655      91.120474      2.3260541
            0.6      42.713159       1.357954       35.34033      1.0993493      53.037176       1.776915
            0.7       24.26276      1.0459947      20.158054     0.85084075      29.869321       1.358907
            0.8      8.5370098     0.43560412        7.15109     0.35770802      10.414367     0.56281749
              1      8.5370098     0.43560412        7.15109     0.35770802      10.414367     0.56281749
