#          y_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      239.38613      3.4760278      192.53513      2.6907197      313.98187      5.0296509
           -4.9      290.32712      3.8219313       234.0033      2.9526006      380.10654      5.5204673
           -4.8      347.13807      4.1959824      280.69862      3.2582768      452.58571      6.1052584
           -4.7      425.72631      4.6265714      343.65903      3.5717634      555.97718      6.6901203
           -4.6      495.59772      4.9811492      400.01008       3.859365      646.55653      7.2041391
           -4.5      582.19771      5.4870318      471.27865      4.2429918      755.43571      7.9255159
           -4.4      671.50643      5.7825844      542.81886      4.4796229      871.45259      8.3926055
           -4.3      778.56677       6.194329      628.17607      4.8130714      1012.1698      8.9050191
           -4.2      884.91295      6.5961809      715.46454      5.1211556      1146.5084      9.5366324
           -4.1      1006.1083      7.3203697      813.58867      5.6582912      1303.8301      10.528193
             -4      1129.7836      7.6678263      913.55889      5.9422666      1461.5436      11.013134
           -3.9      1267.6449      7.8203666      1024.3719      6.0714939      1641.6779      11.182666
           -3.8      1404.1084      8.2200849       1135.543      6.4098773      1811.7652      11.719811
           -3.7      1541.9781      8.6611537      1248.4179      6.7875398       1988.063      12.433021
           -3.6      1705.3448       9.020908      1380.7409       7.065104      2196.7857      12.914186
           -3.5      1866.5875      9.3888581      1510.9149      7.3279126      2403.9776      13.380168
           -3.4      2034.2773      9.7539868       1646.182      7.6327153      2618.5757      13.879355
           -3.3       2186.928      10.117916      1769.1238      7.9022798      2813.6189      14.295602
           -3.2      2352.5563      10.474954      1903.9751      8.1986147      3025.5691      14.866414
           -3.1      2518.8437      10.798786      2038.1992      8.4609274      3236.0103      15.210983
             -3      2684.8169      11.253587       2177.763      8.8629372      3433.3046      15.973242
           -2.9       2848.027      11.404627      2305.5622      9.0548876      3649.6585      16.444471
           -2.8       3039.669      11.778875      2461.1706      9.2942255      3895.6284      16.770301
           -2.7      3190.1259      12.055683      2583.8102      9.5016893      4085.9961      17.017681
           -2.6      3385.4487      12.382859      2739.3071      9.7712532      4339.9763      17.442313
           -2.5      3564.6074      12.811855      2881.3646      10.085454      4571.0437      17.862872
           -2.4      3706.7815      12.878168      3000.8043      10.349335      4744.2518      18.669826
           -2.3      3869.8828      13.206368      3132.0952       10.39944      4951.5821      18.481185
           -2.2      4060.0972      13.416322      3283.0791       10.56994      5199.0939      18.678341
           -2.1      4222.5264      14.391863      3417.0651      11.334181      5398.9445      19.905662
             -2      4342.4943      13.875185       3512.494      10.968193      5551.3691      19.421893
           -1.9      4492.2734      14.116586      3633.2034      11.152968       5741.414      19.697695
           -1.8      4666.3067      14.311127      3774.8094      11.331923      5963.4368      20.012589
           -1.7      4784.7218      14.444018      3872.9994      11.665449      6105.3723      20.725132
           -1.6      4924.9125      14.673063       3982.924      11.588891      6287.7053      20.381745
           -1.5      5054.2838       14.86159      4087.9688      11.755386      6450.3249       20.68569
           -1.4      5171.1007      14.979621      4183.0194      11.842042      6598.4216      20.703088
           -1.3      5305.8446      15.188834      4293.1317      12.038066      6768.0068      21.062478
           -1.2      5394.4094       15.27693      4357.9774      12.066161      6891.8748      21.059724
           -1.1      5529.9621      15.447677      4472.4753      12.214994      7056.0056      21.359903
             -1      5594.5216      15.618161      4524.4618      12.372275      7133.7812      21.668291
           -0.9      5673.9873      15.619086      4588.4491      12.389824       7238.487      21.658535
           -0.8      5765.4996       15.78657       4663.825      12.523393      7349.4489      21.866282
           -0.7      5778.5891      15.782968      4676.3228      12.497092      7360.9897      21.813288
           -0.6      5849.9643      15.867127      4736.8568      12.801502      7444.3747      22.535505
           -0.5      5937.1071       15.94445      4803.8779        12.7013      7563.5262      22.218821
           -0.4      5958.1024      16.040143      4819.5713      12.700056      7592.0529      22.139994
           -0.3      6007.5361      16.042572      4861.5105      12.770255      7649.2761      22.334878
           -0.2      6013.2997      16.091799      4865.1799      12.810291      7655.2643      22.413331
           -0.1      6026.1997      16.049587      4876.8992      12.796905      7672.8487      22.360728
              0      5986.4338      16.119915         4838.2      12.759877      7637.5752      22.269144
            0.1      6013.1811      16.092732      4860.1092      12.743439      7670.6821      22.208265
            0.2      6001.3043      16.056616      4852.8098      12.809996      7647.2578      22.398757
            0.3      5950.5723      15.994955       4815.295      13.111276      7578.9534      23.187219
            0.4      5967.6111      15.994619      4822.5904      12.716598      7614.8631       22.28599
            0.5      5886.6687      15.918758      4766.7377      12.757226      7487.2662      22.412965
            0.6      5832.6647      15.833998      4716.7695       12.54534      7436.8401      21.940013
            0.7      5736.5404      15.706408       4640.809      12.454633      7314.2604      21.814924
            0.8       5672.511      15.629527      4588.6097      12.440278      7232.6684      21.764399
            0.9      5598.0198      15.558845       4528.027      12.332611      7137.9214      21.613721
              1      5505.8597      15.481294      4453.8305       12.23705      7020.5034      21.501229
            1.1      5368.4484       15.26782      4341.3282      12.075451      6849.8053      21.240797
            1.2      5286.4049      15.178282      4276.8979       11.99908      6743.3756      21.084219
            1.3      5189.7072      15.016851       4197.501      11.952161       6622.663      21.146363
            1.4      5042.7777      14.859862      4075.4023      11.717085      6447.9198       20.67895
            1.5      4930.3493      14.684646      3986.7936      11.591452      6298.5189      20.446771
            1.6      4802.9305      14.550307       3880.346      11.476116      6144.7973      20.330003
            1.7      4642.1006      14.303131      3753.2976      11.284686      5937.3439      20.019037
            1.8      4507.9815      14.154148       3647.412      11.180564      5757.6226      19.923741
            1.9      4349.1262      13.917204      3520.5298      11.044293      5549.8189      19.787658
              2       4189.763      13.676814      3391.4107       10.76674      5354.3759      19.233441
            2.1      4025.7402      13.425654      3257.5229      10.569458      5147.4401      18.878045
            2.2       3866.237      13.192533      3127.3427      10.390541      4949.7377      18.631352
            2.3      3713.8456      12.918086      3003.8856      10.162387      4757.9861      18.246805
            2.4      3544.6043      12.956734      2870.3409      10.157078      4534.5514      18.408463
            2.5      3369.6698      12.434534      2726.0979      9.7502071      4317.4601      17.615503
            2.6      3199.0276       12.17817      2589.0487       9.550223      4100.1424      17.316977
            2.7      3024.8147      11.845674      2450.0032      9.3920673      3872.1271      17.100263
            2.8      2863.2489      11.576441      2318.1593      9.0534989      3670.5888       16.44235
            2.9      2708.5361      11.213851      2191.2852      8.8320536      3480.6711      16.137967
              3      2523.1729      11.004618      2039.1179      8.5710919      3246.9687      15.740686
            3.1      2368.8412      10.672393      1914.7293      8.3197774      3049.9861      15.271617
            3.2      2180.9981      10.245417      1764.7328      7.9963535      2802.9121      14.685299
            3.3      2001.3361       10.18228      1620.6995      7.9180141      2575.5728      14.803716
            3.4      1861.7376      9.6295819      1507.3993      7.5084839      2394.0978      13.905797
            3.5      1706.1712      9.1093552      1379.9029       7.082788      2201.8278      13.159192
            3.6       1557.905      8.7290997      1259.2239      6.7685869      2011.9056      12.619475
            3.7      1406.3035      8.3210189      1137.5638      6.4997941      1817.7511      12.204313
            3.8      1259.4448      7.9211666      1020.2728      6.1445837      1623.7148      11.549917
            3.9       1131.351      7.5182348      916.14017      5.8599268      1459.9008      11.130348
              4      1008.8654       7.123557      816.14127      5.5286912      1306.5595      10.395328
            4.1      889.99311      6.6895436      718.33733      5.1564297      1157.5439      9.7804364
            4.2      774.83354      6.2450422      625.56036       4.815181       1009.087      9.1348551
            4.3      675.75206      5.8650487       545.3437       4.515395      879.94103      8.5922237
            4.4      585.39733      5.4600344      473.54496      4.2111623      759.44657      8.0193785
            4.5      492.16972      5.0362041      398.71184      3.8894937      639.21498      7.4133689
            4.6       413.3781       4.630055      334.45945      3.5616366      536.45257      6.8039325
            4.7      363.54574      4.3033678      293.74076      3.3651126      474.33027      6.4736109
            4.8      294.38912      3.9010248      237.25999      3.0066898      385.47078      5.7369395
            4.9      238.33862      3.4997178      192.37885      2.6951679      312.09597      5.1521923
              5      238.33862      3.4997178      192.37885      2.6951679      312.09597      5.1521923
