#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      129.51042     0.89891302      100.87428      0.7053074      193.05228      1.7062905
              1      466.92295      1.7005551      364.29465      1.3339479      675.13856      2.9615312
              2      668.32482      1.9884988      537.50882      1.6128238      899.37197      3.1552541
              3      770.87909      2.0808184      636.98264      1.7328409        1012.86      3.1782188
              4      809.30786      2.0854131      671.08925      1.6238527      1049.8981      3.1331595
              5      819.38544       2.058396      674.09699      1.6022416      1058.1226       3.063563
              6      809.17605       2.014085      662.20321      1.5639507      1041.6896       2.953532
              7      800.65588      1.9775796      652.24414      1.5389935      1029.4883      2.8787386
              8      778.44988      1.9302463      632.58569      1.5024552      998.77059      2.7881949
              9      753.68256      1.8871693      611.10721      1.4678859      966.01272      2.7012185
             10      733.63616      1.8460426       594.0353      1.4362739       938.8075       2.623283
             11      713.67675      1.8113167       577.2756      1.4202785      912.25174      2.5865649
             12      690.10267      1.7665805       557.2534      1.3875889      882.32581      2.5170808
             13      668.26936      1.7330958      539.17281      1.3536806      853.75547      2.4297106
             14      645.39468      1.7055171      520.52914      1.3427857      823.69849      2.4100883
             15      629.91419      1.6712768      507.47877      1.3097855      804.04643      2.3322883
             16      608.36844      1.6356131      489.71012      1.2840235      776.62594      2.2751943
             17      590.71603      1.6076282      475.29465      1.2580512      753.67868      2.2265617
             18      573.99275      1.5818815      461.88853      1.2493635      731.64689      2.2049913
             19       554.8494      1.5630537      446.44301       1.232836      706.79238      2.1658894
             20      540.37501       1.528888      434.41829      1.2034943      688.74177      2.1024789
             21      523.85104      1.4965288      420.66462      1.1759803      668.30577      2.0504041
             22      510.21566      1.4805647      409.97541      1.1672317      649.84783      2.0420021
             23      494.98389      1.4507278      397.31168      1.1408184       631.1635      1.9836739
             24      479.40171      1.4306231      384.71543      1.1261582      611.22752      1.9533856
             25      465.73455      1.4025642      374.29577      1.1529622      592.41994      2.0364393
             26      451.55099      1.3813912      362.20127      1.0868217      575.71209      1.8817394
             27      438.66131      1.3604699       351.9862      1.0744258      558.85204      1.8556917
             28      426.67288      1.3394481      342.36918      1.0576068       543.3098      1.8271173
             29      415.95257      1.3220969      333.55004       1.042604      529.95994      1.7947272
             30       403.8931      1.3706529      324.13445      1.0831041      513.81097      1.8621259
             31      393.35948      1.2837503      315.61588      1.0148286      500.44697       1.745268
             32      381.32234      1.2625831      305.92271     0.99827534      485.11582      1.7126215
             33      370.89798      1.2444512      297.43968     0.98680375      472.06112      1.6916909
             34      360.86863      1.2412146      289.64434     0.98573601      458.54558      1.7012024
             35      351.28233       1.210132      281.77372     0.95660406      446.72411      1.6379765
             36      340.33826      1.1890952      272.95341      0.9414316      432.90558      1.6078282
             37      331.61187      1.1750328      265.88996     0.92881777      421.78943      1.5841423
             38      321.58574      1.1549907      258.25771     0.91691978      408.10121      1.5656456
             39      313.91412      1.1437532       251.7645     0.90317141      398.94086        1.53868
             40      305.53199      1.1227259       245.0037     0.88925706        388.368      1.5114973
             41      296.83731      1.1063437       237.9841     0.87846813      377.38817      1.4953723
             42       288.1147      1.0937521      231.08228     0.86437102      366.02676       1.469262
             43      280.26452      1.0735579      224.76616     0.85038206      356.03191      1.4458155
             44      272.47828      1.0651173      218.55131      0.8468424      346.08697       1.434029
             45      266.28524      1.0498179      213.53484     0.84366981      338.35975      1.4428802
             46      257.09754      1.0327796      206.18827     0.81719342      326.55291      1.3869188
             47      249.27766      1.0137702      199.98202     0.80261488      316.43336      1.3593802
             48      241.89686      1.0009625      193.83392     0.79297619      307.56765      1.3445354
             49      237.63351      0.9875562      190.56584     0.78318383      301.75308      1.3214206
             50      237.63351      0.9875562      190.56584     0.78318383      301.75308      1.3214206
