0.21           2              2                   ..a00                                                                         0. +-              0.
0.21           2              2                   NLO.QT.32                                                            20647.15873 +-         4.82310

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.22           0.5            0.5                 NLO.QCD.QT                                                           28503.03631 +-         7.65800
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.22           0.5            0.5                 ..a00                                                                         0. +-              0.
0.22           0.5            0.5                 NLO.QT.32                                                            28503.03631 +-         7.65800

0.22           1              1                   NLO.QCD.QT                                                           24014.70903 +-         5.98779
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.22           1              1                   ..a00                                                                         0. +-              0.
0.22           1              1                   NLO.QT.32                                                            24014.70903 +-         5.98779

0.22           2              2                   NLO.QCD.QT                                                           20649.90617 +-         4.79065
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.22           2              2                   ..a00                                                                         0. +-              0.
0.22           2              2                   NLO.QT.32                                                            20649.90617 +-         4.79065

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.23           0.5            0.5                 NLO.QCD.QT                                                           28508.30363 +-         7.60792
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.23           0.5            0.5                 ..a00                                                                         0. +-              0.
0.23           0.5            0.5                 NLO.QT.32                                                            28508.30363 +-         7.60792

0.23           1              1                   NLO.QCD.QT                                                           24018.92568 +-         5.94877
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.23           1              1                   ..a00                                                                         0. +-              0.
0.23           1              1                   NLO.QT.32                                                            24018.92568 +-         5.94877

0.23           2              2                   NLO.QCD.QT                                                           20653.33505 +-         4.75983
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.23           2              2                   ..a00                                                                         0. +-              0.
0.23           2              2                   NLO.QT.32                                                            20653.33505 +-         4.75983

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.24           0.5            0.5                 NLO.QCD.QT                                                           28512.86582 +-         7.56025
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.24           0.5            0.5                 ..a00                                                                         0. +-              0.
0.24           0.5            0.5                 NLO.QT.32                                                            28512.86582 +-         7.56025

0.24           1              1                   NLO.QCD.QT                                                           24022.59437 +-         5.91163
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.24           1              1                   ..a00                                                                         0. +-              0.
0.24           1              1                   NLO.QT.32                                                            24022.59437 +-         5.91163

0.24           2              2                   NLO.QCD.QT                                                           20656.32946 +-         4.73050
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.24           2              2                   ..a00                                                                         0. +-              0.
0.24           2              2                   NLO.QT.32                                                            20656.32946 +-         4.73050

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.25           0.5            0.5                 NLO.QCD.QT                                                           28516.60880 +-         7.51456
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.25           0.5            0.5                 ..a00                                                                         0. +-              0.
0.25           0.5            0.5                 NLO.QT.32                                                            28516.60880 +-         7.51456

0.25           1              1                   NLO.QCD.QT                                                           24025.60823 +-         5.87605
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.25           1              1                   ..a00                                                                         0. +-              0.
0.25           1              1                   NLO.QT.32                                                            24025.60823 +-         5.87605

0.25           2              2                   NLO.QCD.QT                                                           20658.79231 +-         4.70241
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.25           2              2                   ..a00                                                                         0. +-              0.
0.25           2              2                   NLO.QT.32                                                            20658.79231 +-         4.70241

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.26           0.5            0.5                 NLO.QCD.QT                                                           28521.38300 +-         7.47106
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.26           0.5            0.5                 ..a00                                                                         0. +-              0.
0.26           0.5            0.5                 NLO.QT.32                                                            28521.38300 +-         7.47106

0.26           1              1                   NLO.QCD.QT                                                           24029.43419 +-         5.84218
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.26           1              1                   ..a00                                                                         0. +-              0.
0.26           1              1                   NLO.QT.32                                                            24029.43419 +-         5.84218

0.26           2              2                   NLO.QCD.QT                                                           20661.90481 +-         4.67567
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.26           2              2                   ..a00                                                                         0. +-              0.
0.26           2              2                   NLO.QT.32                                                            20661.90481 +-         4.67567

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.27           0.5            0.5                 NLO.QCD.QT                                                           28526.33085 +-         7.42944
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.27           0.5            0.5                 ..a00                                                                         0. +-              0.
0.27           0.5            0.5                 NLO.QT.32                                                            28526.33085 +-         7.42944

0.27           1              1                   NLO.QCD.QT                                                           24033.39359 +-         5.80976
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.27           1              1                   ..a00                                                                         0. +-              0.
0.27           1              1                   NLO.QT.32                                                            24033.39359 +-         5.80976

0.27           2              2                   NLO.QCD.QT                                                           20665.12158 +-         4.65009
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.27           2              2                   ..a00                                                                         0. +-              0.
0.27           2              2                   NLO.QT.32                                                            20665.12158 +-         4.65009

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.28           0.5            0.5                 NLO.QCD.QT                                                           28530.91491 +-         7.38943
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.28           0.5            0.5                 ..a00                                                                         0. +-              0.
0.28           0.5            0.5                 NLO.QT.32                                                            28530.91491 +-         7.38943

0.28           1              1                   NLO.QCD.QT                                                           24037.08610 +-         5.77861
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.28           1              1                   ..a00                                                                         0. +-              0.
0.28           1              1                   NLO.QT.32                                                            24037.08610 +-         5.77861

0.28           2              2                   NLO.QCD.QT                                                           20668.13935 +-         4.62550
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.28           2              2                   ..a00                                                                         0. +-              0.
0.28           2              2                   NLO.QT.32                                                            20668.13935 +-         4.62550

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.29           0.5            0.5                 NLO.QCD.QT                                                           28535.44219 +-         7.35105
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.29           0.5            0.5                 ..a00                                                                         0. +-              0.
0.29           0.5            0.5                 NLO.QT.32                                                            28535.44219 +-         7.35105

0.29           1              1                   NLO.QCD.QT                                                           24040.72590 +-         5.74873
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.29           1              1                   ..a00                                                                         0. +-              0.
0.29           1              1                   NLO.QT.32                                                            24040.72590 +-         5.74873

0.29           2              2                   NLO.QCD.QT                                                           20671.10882 +-         4.60193
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.29           2              2                   ..a00                                                                         0. +-              0.
0.29           2              2                   NLO.QT.32                                                            20671.10882 +-         4.60193

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.3            0.5            0.5                 NLO.QCD.QT                                                           28540.31018 +-         7.31412
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.3            0.5            0.5                 ..a00                                                                         0. +-              0.
0.3            0.5            0.5                 NLO.QT.32                                                            28540.31018 +-         7.31412

0.3            1              1                   NLO.QCD.QT                                                           24044.65526 +-         5.71998
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.3            1              1                   ..a00                                                                         0. +-              0.
0.3            1              1                   NLO.QT.32                                                            24044.65526 +-         5.71998

0.3            2              2                   NLO.QCD.QT                                                           20674.32490 +-         4.57925
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.3            2              2                   ..a00                                                                         0. +-              0.
0.3            2              2                   NLO.QT.32                                                            20674.32490 +-         4.57925

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.31           0.5            0.5                 NLO.QCD.QT                                                           28544.00439 +-         7.27846
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           0.5            0.5                 ..a00                                                                         0. +-              0.
0.31           0.5            0.5                 NLO.QT.32                                                            28544.00439 +-         7.27846

0.31           1              1                   NLO.QCD.QT                                                           24047.63164 +-         5.69222
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           1              1                   ..a00                                                                         0. +-              0.
0.31           1              1                   NLO.QT.32                                                            24047.63164 +-         5.69222

0.31           2              2                   NLO.QCD.QT                                                           20676.75975 +-         4.55735
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.31           2              2                   ..a00                                                                         0. +-              0.
0.31           2              2                   NLO.QT.32                                                            20676.75975 +-         4.55735

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.32           0.5            0.5                 NLO.QCD.QT                                                           28549.27375 +-         7.24407
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           0.5            0.5                 ..a00                                                                         0. +-              0.
0.32           0.5            0.5                 NLO.QT.32                                                            28549.27375 +-         7.24407

0.32           1              1                   NLO.QCD.QT                                                           24051.84679 +-         5.66546
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           1              1                   ..a00                                                                         0. +-              0.
0.32           1              1                   NLO.QT.32                                                            24051.84679 +-         5.66546

0.32           2              2                   NLO.QCD.QT                                                           20680.18571 +-         4.53625
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.32           2              2                   ..a00                                                                         0. +-              0.
0.32           2              2                   NLO.QT.32                                                            20680.18571 +-         4.53625

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.33           0.5            0.5                 NLO.QCD.QT                                                           28553.84687 +-         7.21087
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           0.5            0.5                 ..a00                                                                         0. +-              0.
0.33           0.5            0.5                 NLO.QT.32                                                            28553.84687 +-         7.21087

0.33           1              1                   NLO.QCD.QT                                                           24055.55095 +-         5.63961
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           1              1                   ..a00                                                                         0. +-              0.
0.33           1              1                   NLO.QT.32                                                            24055.55095 +-         5.63961

0.33           2              2                   NLO.QCD.QT                                                           20683.22901 +-         4.51587
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.33           2              2                   ..a00                                                                         0. +-              0.
0.33           2              2                   NLO.QT.32                                                            20683.22901 +-         4.51587

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.34           0.5            0.5                 NLO.QCD.QT                                                           28557.91207 +-         7.17876
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           0.5            0.5                 ..a00                                                                         0. +-              0.
0.34           0.5            0.5                 NLO.QT.32                                                            28557.91207 +-         7.17876

0.34           1              1                   NLO.QCD.QT                                                           24058.83920 +-         5.61462
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           1              1                   ..a00                                                                         0. +-              0.
0.34           1              1                   NLO.QT.32                                                            24058.83920 +-         5.61462

0.34           2              2                   NLO.QCD.QT                                                           20685.92540 +-         4.49617
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.34           2              2                   ..a00                                                                         0. +-              0.
0.34           2              2                   NLO.QT.32                                                            20685.92540 +-         4.49617

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.35           0.5            0.5                 NLO.QCD.QT                                                           28561.80565 +-         7.14765
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           0.5            0.5                 ..a00                                                                         0. +-              0.
0.35           0.5            0.5                 NLO.QT.32                                                            28561.80565 +-         7.14765

0.35           1              1                   NLO.QCD.QT                                                           24061.98284 +-         5.59042
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           1              1                   ..a00                                                                         0. +-              0.
0.35           1              1                   NLO.QT.32                                                            24061.98284 +-         5.59042

0.35           2              2                   NLO.QCD.QT                                                           20688.50027 +-         4.47709
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.35           2              2                   ..a00                                                                         0. +-              0.
0.35           2              2                   NLO.QT.32                                                            20688.50027 +-         4.47709

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.36           0.5            0.5                 NLO.QCD.QT                                                           28565.90627 +-         7.11757
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           0.5            0.5                 ..a00                                                                         0. +-              0.
0.36           0.5            0.5                 NLO.QT.32                                                            28565.90627 +-         7.11757

0.36           1              1                   NLO.QCD.QT                                                           24065.29632 +-         5.56702
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           1              1                   ..a00                                                                         0. +-              0.
0.36           1              1                   NLO.QT.32                                                            24065.29632 +-         5.56702

0.36           2              2                   NLO.QCD.QT                                                           20691.21623 +-         4.45865
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.36           2              2                   ..a00                                                                         0. +-              0.
0.36           2              2                   NLO.QT.32                                                            20691.21623 +-         4.45865

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.37           0.5            0.5                 NLO.QCD.QT                                                           28570.56952 +-         7.08834
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           0.5            0.5                 ..a00                                                                         0. +-              0.
0.37           0.5            0.5                 NLO.QT.32                                                            28570.56952 +-         7.08834

0.37           1              1                   NLO.QCD.QT                                                           24069.07177 +-         5.54429
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           1              1                   ..a00                                                                         0. +-              0.
0.37           1              1                   NLO.QT.32                                                            24069.07177 +-         5.54429

0.37           2              2                   NLO.QCD.QT                                                           20694.31562 +-         4.44075
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.37           2              2                   ..a00                                                                         0. +-              0.
0.37           2              2                   NLO.QT.32                                                            20694.31562 +-         4.44075

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.38           0.5            0.5                 NLO.QCD.QT                                                           28574.12086 +-         7.06001
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           0.5            0.5                 ..a00                                                                         0. +-              0.
0.38           0.5            0.5                 NLO.QT.32                                                            28574.12086 +-         7.06001

0.38           1              1                   NLO.QCD.QT                                                           24071.97779 +-         5.52226
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           1              1                   ..a00                                                                         0. +-              0.
0.38           1              1                   NLO.QT.32                                                            24071.97779 +-         5.52226

0.38           2              2                   NLO.QCD.QT                                                           20696.72223 +-         4.42338
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.38           2              2                   ..a00                                                                         0. +-              0.
0.38           2              2                   NLO.QT.32                                                            20696.72223 +-         4.42338

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.39           0.5            0.5                 NLO.QCD.QT                                                           28577.45348 +-         7.03253
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.39           0.5            0.5                 ..a00                                                                         0. +-              0.
0.39           0.5            0.5                 NLO.QT.32                                                            28577.45348 +-         7.03253

0.39           1              1                   NLO.QCD.QT                                                           24074.68324 +-         5.50088
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.39           1              1                   ..a00                                                                         0. +-              0.
0.39           1              1                   NLO.QT.32                                                            24074.68324 +-         5.50088

0.39           2              2                   NLO.QCD.QT                                                           20698.94861 +-         4.40654
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.39           2              2                   ..a00                                                                         0. +-              0.
0.39           2              2                   NLO.QT.32                                                            20698.94861 +-         4.40654

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.4            0.5            0.5                 NLO.QCD.QT                                                           28580.77475 +-         7.00578
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.4            0.5            0.5                 ..a00                                                                         0. +-              0.
0.4            0.5            0.5                 NLO.QT.32                                                            28580.77475 +-         7.00578

0.4            1              1                   NLO.QCD.QT                                                           24077.40628 +-         5.48008
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.4            1              1                   ..a00                                                                         0. +-              0.
0.4            1              1                   NLO.QT.32                                                            24077.40628 +-         5.48008

0.4            2              2                   NLO.QCD.QT                                                           20701.20701 +-         4.39016
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.4            2              2                   ..a00                                                                         0. +-              0.
0.4            2              2                   NLO.QT.32                                                            20701.20701 +-         4.39016

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.41           0.5            0.5                 NLO.QCD.QT                                                           28584.62267 +-         6.97975
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.41           0.5            0.5                 ..a00                                                                         0. +-              0.
0.41           0.5            0.5                 NLO.QT.32                                                            28584.62267 +-         6.97975

0.41           1              1                   NLO.QCD.QT                                                           24080.52816 +-         5.45984
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.41           1              1                   ..a00                                                                         0. +-              0.
0.41           1              1                   NLO.QT.32                                                            24080.52816 +-         5.45984

0.41           2              2                   NLO.QCD.QT                                                           20703.77465 +-         4.37421
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.41           2              2                   ..a00                                                                         0. +-              0.
0.41           2              2                   NLO.QT.32                                                            20703.77465 +-         4.37421

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.42           0.5            0.5                 NLO.QCD.QT                                                           28588.01617 +-         6.95444
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.42           0.5            0.5                 ..a00                                                                         0. +-              0.
0.42           0.5            0.5                 NLO.QT.32                                                            28588.01617 +-         6.95444

0.42           1              1                   NLO.QCD.QT                                                           24083.30141 +-         5.44016
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.42           1              1                   ..a00                                                                         0. +-              0.
0.42           1              1                   NLO.QT.32                                                            24083.30141 +-         5.44016

0.42           2              2                   NLO.QCD.QT                                                           20706.06864 +-         4.35871
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.42           2              2                   ..a00                                                                         0. +-              0.
0.42           2              2                   NLO.QT.32                                                            20706.06864 +-         4.35871

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.43           0.5            0.5                 NLO.QCD.QT                                                           28591.81355 +-         6.92981
-----------------------------------------------------------------------------------------------------------------------------------------------------
