#  n_light_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      552.24116      1.3665391      435.50888     0.97905925      1147.1521       11.71596
            0.5        6654.29      3.8029066      5290.9927      2.8332983      10317.413      23.373766
            1.5      34082.418      5.3263694      27091.774      3.9516402      46779.752      23.478745
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
