# pt_Z-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      269.87855       0.371198      208.58139     0.26787371      486.25497      2.5290125
              5      673.52704     0.56330704      523.20485     0.40921569      1150.6034      3.4813326
             10      831.24682     0.60245592      650.27807     0.44462995      1310.1405      3.2036473
             15      831.37849     0.58476523      654.45512     0.43828073      1236.3233      2.6381176
             20      764.31186     0.54842726      604.80426     0.41576822      1089.8731      2.1665169
             25      673.64696      0.5065133      535.24294     0.38963373      929.04844      1.7716337
             30      584.20956     0.46553067      465.56099     0.36046292      788.62537      1.4640313
             35      499.66708     0.42545199      399.35857     0.33193631      662.22569      1.2093426
             40      427.18266     0.39008221      341.89123     0.30581055       559.9729      1.0401518
             45      363.71578     0.35784735      291.67327     0.28172876      472.72651     0.87656912
             50      308.82035     0.32791226      247.99075      0.2582086      397.92266      0.7895159
             55      263.64719     0.30134145      211.81685     0.23806183       337.1654     0.67296765
             60      223.82414     0.27640169      180.03778     0.21883363      286.26816      0.5720234
             65      191.56925     0.25355829      154.20545     0.20079208      243.21504     0.50946434
             70      163.38352     0.23369351      131.65352     0.18532851      207.08976     0.47336747
             75      140.69334     0.21656241      113.44095      0.1726016      177.95327      0.3919733
             80      120.61112     0.20078323      97.340125      0.1599829      152.44752     0.37447067
             85      104.03126     0.18508766      84.008079     0.14754204      130.99807     0.33730055
             90      89.788053     0.17320407      72.548865     0.13810267       113.1625     0.29614725
             95      77.821666     0.16019355      62.882345     0.12827146      97.847419     0.29607054
            100      67.465711      0.1484011       54.53583     0.11846495      84.883491     0.25981273
            105      58.806629      0.1392555       47.55399     0.11101467      74.080867     0.22427666
            110      51.248693     0.12965125      41.495125     0.10362468      64.488008     0.21480987
            115      44.804062     0.12045805      36.247326    0.096875973      56.307412     0.16617479
            120      39.199279     0.11243859      31.668852    0.090294716      49.313446     0.15463007
            125      34.597794     0.10548456       27.92409    0.084438139      43.621728     0.14662233
            130      30.695671    0.099527012      24.751634    0.079732605      38.654376     0.13898295
