# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      97.074248     0.81036318      74.701127     0.59702082      128.89745      1.1782774
     0.31415927      103.01934     0.72682085      79.429712     0.54654532      136.48124      1.0395168
     0.62831853       106.7608     0.72227998      81.925832     0.54910108      142.29574      1.0373487
      0.9424778      111.99299     0.76711151      85.793861     0.57339417      149.58283      1.1072022
      1.2566371      123.74941     0.76808951      94.390009     0.57761632      166.24588      1.1018249
      1.5707963      150.07783     0.87940984      114.12491     0.65396649      202.32299      1.2648871
      1.8849556      190.12804      1.0859749      144.55087     0.79942877      256.44263      1.5900255
      2.1991149      262.89601      1.1485232      199.70747     0.85535918      354.86208       1.657524
      2.5132741      398.72132      1.4916218      305.45847      1.1105668      532.11777      2.1602703
      2.8274334      632.41052      1.8197946      491.95104       1.372577      826.59975      2.6260953
      3.1415927      632.41052      1.8197946      491.95104       1.372577      826.59975      2.6260953
