# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      354.38105       1.354617       277.5581      1.0390335      460.98102      1.8947081
     0.31415927       382.5063      1.3541006      299.70496      1.0497324      497.27574      1.8905489
     0.62831853      396.97448       1.356707      310.12456      1.0507981      518.13687      1.8815916
      0.9424778      420.32813      1.4105305      327.78247      1.0983352      549.79114      1.9924994
      1.2566371      466.66844      1.4656061      362.93708      1.1295144      612.62058      2.0424535
      1.5707963      561.88632      1.6242894      435.90591      1.2464457      739.88178      2.2660108
      1.8849556       714.8518      1.8906462      554.55581      1.4457305      941.27188      2.6651139
      2.1991149      973.55038      2.1543361      756.05556      1.6567958      1279.8202      3.0249462
      2.5132741      1409.5073      2.6677629      1101.2824      2.0481272      1837.4555       3.761628
      2.8274334      1987.2594      3.1058107      1565.1235      2.3997305      2561.5993       4.349684
      3.1415927      1987.2594      3.1058107      1565.1235      2.3997305      2561.5993       4.349684
