#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10       2993.805      0.9589988      2369.0269     0.71894753      4364.9596      4.8413336
             15      1798.7269     0.78466439      1424.2538     0.59360761      2573.5404      3.4847809
             20      1003.9169      0.6081477      796.85359      0.4648868      1411.6487      2.4244674
             25      613.69692     0.48359822      488.11345     0.37014495      852.36793      1.7975633
             30      404.02952     0.39711804      322.21153     0.30658261      549.99588      1.3710912
             35      281.12872     0.33283416      224.64661     0.25855552      379.42782      1.0747648
             40      204.16709     0.28424953      163.47847     0.22082462      274.67789     0.86484625
             45      153.32265     0.24633267      122.98083     0.19193867      202.12618     0.75199884
             50      118.36391     0.21696947      95.154474     0.16973544      155.39654     0.64981906
             55      93.268695     0.19401292       75.05338     0.15207276      122.90039     0.55796816
             60      74.673422     0.17303556      60.198683     0.13582046      96.618748     0.47994912
             65      61.263832     0.16190759       49.45284     0.12652773      79.740544     0.43867672
             70       50.75269     0.14327768      41.019386     0.11541531       65.52539     0.37922711
             75      42.294541       0.130477      34.217943     0.10312598      54.850417     0.33542896
             80      35.844419     0.12068888      29.036403    0.095174325      45.855353     0.30591411
             85      30.555295      0.1128475      24.821007    0.091926075      38.933378      0.2816038
             90       26.33467      0.1032218      21.363173    0.081629706      33.837233     0.24542432
             95      22.878322    0.095817602      18.572041    0.075969335      29.068162     0.21742729
            100      22.878322    0.095817602      18.572041    0.075969335      29.068162     0.21742729
