# pt_bjet1_2-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
             30       75.70772    0.084327646      60.979314    0.066323034      99.128785     0.24574264
             50      34.100812    0.056422612      27.721344    0.044843533      42.894293      0.1401874
             70      18.478835    0.041469149       15.12959    0.033205743      22.960456    0.090064562
             90       11.03782    0.032073531      9.0799068    0.025964878      13.590058    0.048341083
            110      5.9217375    0.016570522      4.8724801    0.013555327      7.3042885    0.023803357
            150      2.6257536   0.0098931232      2.1525991     0.00793886        3.23507    0.013656905
            200      2.6257536   0.0098931232      2.1525991     0.00793886        3.23507    0.013656905
