# dy_bbZ-j1-ptj        central        num_err    min (scale)        num_err    max (scale)        num_err
# 30
             -8      2.5724993     0.20651001      1.9646506     0.15740679      3.5099145     0.29978939
           -7.9      3.3387246     0.25031709      2.5680765     0.18883433      4.5124987     0.35490226
           -7.8      3.3690258     0.27498037      2.5568521     0.20085141      4.6470893     0.40423637
           -7.7      4.9549364     0.31462503      3.7941054     0.23387181      6.7441895     0.45478759
           -7.6      5.1569145     0.30056313      3.9517455     0.22684322      7.0114995     0.42729173
           -7.5      5.8518216     0.35033353      4.4317684     0.25939611      8.0715214     0.50470326
           -7.4      6.7929297     0.38548791       5.242092     0.28583971      9.1657542     0.55780137
           -7.3      8.7566649     0.40404522       6.787582     0.31058877      11.731343     0.57485114
           -7.2      9.7612518     0.45507705      7.4551094     0.33540966      13.339345     0.66030584
           -7.1      11.789948     0.47603743      9.0467919     0.35316934      15.996014      0.6870915
             -7      14.771905      0.5167033      11.344591     0.39275363      20.012592     0.73250474
           -6.9      16.105048     0.55061209      12.387135     0.41780311      21.792291     0.79552319
           -6.8      19.154471     0.58652484      14.720556      0.4457052      25.849887     0.83763662
           -6.7      22.613775     0.66241973      17.430938     0.49689117      30.418706      0.9536714
           -6.6      25.249104       0.691994       19.47675     0.52103943      33.890615     0.98870005
           -6.5       30.21061     0.74205796      23.181259     0.55935127      40.828386       1.046262
           -6.4       36.19871     0.81886806      27.735842     0.61301618       48.96169      1.1640781
           -6.3       41.47174     0.89651676      32.071195     0.68616914      55.393554      1.2615803
           -6.2      45.992684     0.92526097      35.434912     0.69843803      61.764063      1.3152536
           -6.1      52.875042     0.96865207      40.797941     0.73834659       70.77562      1.3574875
             -6      59.714477      1.0504537       46.25557     0.80142494      79.450464      1.4940685
           -5.9      68.684215      1.0993436      53.131097     0.83509509      91.661441      1.5408542
           -5.8      80.105388      1.1777314      61.871768      0.8941826      107.14726       1.649493
           -5.7      90.642872      1.2688811      70.391176     0.97286567      120.37506      1.7808642
           -5.6      101.57161      1.3479852      78.520842      1.0210405      135.66007        1.88895
           -5.5      113.94632      1.3969349      88.653951      1.0736074      150.76134      1.9485777
           -5.4      127.37907      1.4720962      98.795789      1.1235971      169.17641      2.0563643
           -5.3      145.37997      1.5794736      113.29531      1.2406578      191.87909      2.1897864
           -5.2       162.7893      1.7373773      126.71814      1.3231117      215.11698      2.4358008
           -5.1      183.99757      1.7589415      143.33229      1.3655284      242.91145      2.4315136
             -5       207.7922      1.8609676      162.37904      1.4464662      273.12099      2.5716587
           -4.9      233.44267      1.9731235       182.4353      1.5338911      306.56359      2.7306918
           -4.8      260.02456       2.134064      202.82893      1.6368306      342.43066      2.9570756
           -4.7      287.54585      2.1854908      225.07556      1.6882086      376.84415      3.0077432
           -4.6      318.74655      2.2755304      249.36181      1.7721891      418.00789      3.1357537
           -4.5      348.57509      2.3805794      273.45116      1.8548478      455.49195      3.2576959
           -4.4      389.07736      2.5571298      305.06949      1.9735091      508.59412      3.5275701
           -4.3      425.67429      2.6180603       334.6293      2.0398159      554.53545      3.5784588
           -4.2      472.55243      2.7881062      371.49618      2.1822241      615.28175      3.8185058
           -4.1       517.4706      2.9105773      407.71001      2.2945005      671.80366      3.9990607
             -4      569.41948      3.0158602      448.32021      2.3622799      739.43336      4.1641239
           -3.9      622.66726      3.1504789       491.4767      2.5419157      806.31102      4.5559258
           -3.8      677.48169      3.2728139       534.1177      2.5552735      878.57391      4.4395149
           -3.7      737.41213      3.4777077      583.97408      3.0575522      950.96544      4.8037049
           -3.6      800.52501      3.5650241      634.04772      2.8158394      1031.5581      4.8698567
           -3.5       867.7735      3.6972182      687.25019      2.9149334      1118.7657      5.0083979
           -3.4      941.87787       3.917502      747.29515       3.140609      1210.8712      5.3170485
           -3.3      1013.8233      3.9823747      804.07517      3.1375596      1304.2578       5.381511
           -3.2      1089.4442      4.1855497      865.12954      3.3164783      1398.9716      5.6535262
           -3.1      1170.2299      4.2647004      930.35616      3.3703449      1501.7363      5.7234253
             -3         1260.5      4.4798076       1003.445      3.6125424      1616.6312      5.9640499
           -2.9      1340.4877      4.7786532      1067.2784      3.7386782      1719.7487      6.4258638
           -2.8      1443.1067       4.724523      1149.6598      3.7384377       1850.344      6.3025059
           -2.7      1530.5674      4.8794421      1219.3236      3.8644696      1961.8247      6.5193418
           -2.6      1631.2946       5.037642      1300.4071      4.0726317      2089.4275      6.8605658
           -2.5      1725.6298      5.1884638      1376.6306      4.3903185      2207.2575      7.3163941
           -2.4      1814.2244      5.2829979      1445.6976      4.1818163      2323.4107      7.0657184
           -2.3      1918.4323      5.4260015      1528.6159      4.2947809      2456.4225      7.2445402
           -2.2      2018.6188      5.7209432      1608.5309      4.5032971      2583.8846      7.6698171
           -2.1      2118.6906      5.6700189      1687.3732      4.4827084      2713.1951       7.577234
             -2      2211.3285      5.7687862      1763.3715      4.5910851      2825.2645      7.7901063
           -1.9      2312.8927      5.9015495      1843.8676      4.6781497      2956.7606      7.8832005
           -1.8      2415.7344      6.1135371      1925.3579      4.8480336      3088.2646      8.1565211
           -1.7      2491.2859      6.0988366      1987.3961       4.843869      3179.6418      8.1625749
           -1.6      2584.2595      6.2070658      2060.7646      4.9108275      3299.6183      8.2701333
           -1.5      2679.5681      6.4010841      2137.6523       5.059585       3418.494       8.560991
           -1.4      2754.4009      6.3931991      2198.2922      5.1526609      3511.2467        8.79438
           -1.3      2841.1296      6.4680255      2268.5228      5.1313205      3619.2483      8.6052689
           -1.2      2913.6995      6.5468245      2327.5031      5.2253081      3709.0721      8.7540011
           -1.1      2974.9062      6.6658137      2376.3217      5.2988825      3786.0075      8.9312899
             -1      3049.4475      6.6836222       2438.867      5.3371829       3873.333      9.2010328
           -0.9      3107.0473      6.7293019      2484.0615      5.3674975      3948.6578      8.9465021
