#      n_b_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      682.87166      1.2470307      531.04647     0.91093704      1084.7914      6.8175729
            0.5      6581.7167      3.4601067      5308.6258      2.6852063      9034.7258      13.765637
            1.5      34024.361      5.5967379      26978.603      4.0923235        48124.8      31.553403
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
