#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      15.546593    0.036865039      12.573167    0.029610283      19.616152    0.077281948
             20      35.281696     0.08127605      28.520904    0.063817273      45.589493     0.21422432
             30      40.246033    0.090755899      32.602598    0.072365051         52.843     0.30360117
             40      35.412469    0.085454683      28.730415    0.067046138      46.494785     0.26641398
             50      28.684083    0.061873634      23.325316     0.04888725      36.749927     0.16950909
             65      22.405762    0.053230696      18.254289    0.042221982      28.014868     0.12703652
             80      16.945655     0.04585601      13.826468    0.036582044        21.2045    0.092630322
             95      12.730274    0.039082902      10.388104    0.031314969      15.802343    0.079716016
            110      9.1619747    0.028484052      7.4834363    0.022883935      11.433501     0.04967512
            130      5.6557159    0.016853458      4.6050327    0.013716559       7.057711    0.024626485
            165      3.1084399    0.012365384      2.5153532   0.0099486108      3.8948775    0.017117686
            200      1.7315221   0.0086592053      1.3924984    0.006863017      2.1848373    0.011901064
            240     0.86122069   0.0050763634     0.69013492   0.0039738664        1.08851   0.0071724399
            300     0.15596606  0.00099009267     0.12382987  0.00077105815     0.19899803   0.0013285313
            600     0.15596606  0.00099009267     0.12382987  0.00077105815     0.19899803   0.0013285313
