#   pt_Z-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.26612992   0.0091935415     0.19963192   0.0067654676     0.36525144    0.013177719
              5     0.75510739    0.014918249     0.57459835    0.011245798      1.0176691     0.02184685
             10      1.2336335    0.019616501     0.93537673    0.014579421      1.6693996     0.02848309
             15      1.6751516    0.023403999      1.2681912    0.017280738      2.2722057    0.033747394
             20      2.0877295    0.031368791       1.582451    0.022417736      2.8273802    0.048691359
             25      2.4197305    0.028665853      1.8347669    0.021202946      3.2765152    0.041361664
             30      2.7240334    0.041344272      2.0708868    0.029386046       3.674599    0.061924301
             35      2.9567683    0.033354859      2.2381364    0.024233705      4.0127087    0.049176806
             40      3.0283865    0.031209321      2.3047041    0.023562911       4.081474    0.046633398
             45      3.0911602    0.030506224      2.3497502    0.022833358      4.1720517    0.043740886
             50      3.2701705    0.036919274      2.4770494    0.026775806      4.4327149    0.054263953
             55      3.3124868    0.032195088      2.5089037    0.023864564      4.4913727    0.046347302
             60      3.2553188    0.031979611      2.4703994    0.024180171      4.4038148    0.047192449
             65      3.2422195    0.031875175      2.4662688    0.024385499      4.3726746     0.04795585
             70      3.1729323    0.031869378      2.4029673    0.023694012      4.3032527    0.045874182
             75      3.1978995    0.033199646      2.4260721    0.024397095      4.3288824    0.048533441
             80      3.0431358    0.030694522      2.3155105    0.022938774       4.102745    0.044604828
             85      2.9709986    0.030168056      2.2582693    0.022601361      4.0115255    0.043328305
             90      2.9384741    0.032035549       2.230141     0.02358131       3.975626    0.046739755
             95      2.8433857    0.033017432      2.1580016    0.024206182      3.8470183    0.048007879
            100      2.7821576     0.02903627      2.1096173    0.021692083      3.7673048    0.041527011
            105      2.6797116    0.028798973      2.0359143    0.021471493      3.6198256    0.041256203
            110      2.5905186    0.030559783      1.9640582    0.022465526      3.5086836    0.044375078
            115      2.5404797    0.029060986      1.9328582    0.021488505      3.4261058     0.04229716
            120      2.4618761    0.027958461      1.8718697    0.020889867      3.3221662    0.040231204
            125      2.3126376    0.026841628       1.756095    0.019963708      3.1255304    0.038594084
            130       2.300694    0.026728826      1.7514588    0.020055858      3.0997795     0.03848658
            135       2.209938    0.026176547      1.6928581    0.020367706      2.9555849    0.039016562
            140      2.1872616    0.025752078      1.6629527    0.019257164        2.95159    0.036978358
            145      2.1380304    0.030067356      1.6300254    0.021878883      2.8751795    0.044287096
            150      2.0660697    0.025102968      1.5798753    0.018823006      2.7669535    0.035826157
            155      1.9849921    0.024240637      1.5151721    0.018230422       2.664144    0.034883025
            160      2.0430574      0.0261989      1.5576802    0.019489195      2.7459486    0.037353208
            165      1.9594893    0.024284454      1.5076249    0.018442022      2.6032343     0.03447722
            170      1.9199721    0.023398336      1.4780494    0.017861037      2.5486835    0.033195219
            175      1.9031643    0.023447235      1.4624874    0.017765883      2.5320332    0.032967117
            180      1.8647451    0.023434386       1.439938    0.017879253      2.4639619    0.033153634
            185      1.9006766    0.023848183      1.4749027      0.0182194      2.4952857    0.033635475
            190      1.8910679    0.023582673      1.4628314     0.01796749      2.4924795    0.033494139
            195      1.8909778    0.023423892      1.4683583    0.017888487      2.4796986    0.032745642
            200      1.8641938     0.02353785      1.4504264    0.017898665      2.4378769    0.033017489
            205      1.9157153    0.026396277      1.4959548    0.019858759      2.4919819    0.038099035
            210      1.8420188    0.022892329      1.4349202     0.01778302      2.4044881    0.032727927
            215      1.8293573    0.023180121      1.4290486    0.017761877      2.3786517    0.032333327
            220      1.8110516    0.037733054      1.4125345    0.026962906      2.3592456    0.055368146
            225      1.7030952    0.022019019      1.3317571    0.016887174      2.2108645    0.030676817
            230      1.6477469    0.021695502      1.2877339    0.016677721      2.1404657    0.030038464
            235      1.5516212    0.021176178      1.2212611     0.01648463      1.9951707    0.030223178
            240      1.4581317    0.020945765      1.1469168    0.016035393      1.8767936    0.029386789
            245      1.4135061    0.021351198      1.1105584    0.016360301      1.8213656    0.030283278
            250      1.3850959    0.019865743      1.0864482    0.015359148      1.7889065    0.027438575
            255      1.2908679    0.019097231      1.0206251    0.015048597      1.6489997    0.027019805
            260      1.2347837    0.020888035     0.96401171     0.01562768      1.6046814    0.029743715
            265      1.1505806    0.018119987     0.90250626    0.013956783      1.4866116     0.02515578
            270      1.0903989    0.017609606     0.85329555    0.013557969      1.4122878    0.024457994
