# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      4364.3684      4.6085585      3486.0063      3.6478265      5568.9749      6.2025713
     0.31415927      4678.9277      4.7516626      3739.9381      3.7752017      5966.1355      6.4208817
     0.62831853      4889.9921      4.8455472      3903.4196      3.8468165      6244.6769      6.5089567
      0.9424778      5176.2856      4.9921252       4126.214      4.0304948      6623.7061      6.7089192
      1.2566371      5718.8968      5.2199268      4555.2095      4.1350083      7326.3784      7.0385467
      1.5707963      6585.0415      5.5866839      5242.4911      4.4364515      8442.3567      7.5340145
      1.8849556      7847.8986      6.0865626      6251.8448      4.8414464      10056.129      8.2398033
      2.1991149      9553.5791       6.650406      7617.2907      5.2870236      12226.578       9.004546
      2.5132741      11531.418      7.2871413      9214.7614       5.836912      14714.594      9.9183308
      2.8274334      13219.661      7.7375807      10589.724      6.1692967      16816.344      10.510502
      3.1415927      13219.661      7.7375807      10589.724      6.1692967      16816.344      10.510502
