#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
            3.7      1900.1802      6.5623199       1501.002      4.8875251       2833.651      30.416451
            3.8      1721.9674       6.255748      1361.6923      4.6789347      2576.2209      30.131533
            3.9      1568.0747      6.1039539      1237.1017      4.5799657      2341.7806      26.875225
              4      1393.3105      5.6302507       1099.815      4.2089864      2062.2019      25.640319
            4.1      1248.2397      5.3893782      984.97668      4.0156277      1866.2313      26.225299
            4.2      1116.1628      5.0580487      879.00085      3.7603216      1682.9341      24.106095
            4.3      986.67825       4.813092      776.91084      3.5775815      1468.2025       23.77347
            4.4      854.72173      4.4964029      674.00557      3.3442872      1290.0443      21.900834
            4.5      754.83474      4.2041521      594.35543      3.1103658      1132.6357      20.671972
            4.6      645.35912       3.880927      507.92347      2.8709141      971.82577      19.523414
            4.7      548.63422       3.581063      432.42595      2.6584566      831.48738      17.627477
            4.8      471.53818      3.3012993      371.11074      2.4537771      712.59905      15.696247
            4.9      394.77597      3.0316159      310.15806      2.2496965      607.46468      15.406033
              5      394.77597      3.0316159      310.15806      2.2496965      607.46468      15.406033
