#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      17.238458     0.19233427      13.689845      0.1502183      24.461586     0.82118699
              1      51.905994     0.32436405      41.083798     0.24660282      73.597968      1.4506135
              2       87.07638     0.41813848      68.884988     0.31629705      123.90179      1.9054729
              3      121.79604     0.49505864      96.618384     0.37675135      170.74464      2.0502966
              4       156.8558     0.56173666      124.33032     0.42647127      223.60598        2.37612
              5      192.13274      0.6199539      152.29205     0.47085659      272.52314      2.5473168
              6      229.35381     0.67473594       181.9781     0.51417242      323.91919      2.7365488
              7      265.72825     0.72912992      210.92724     0.55500844      377.68639      2.9970857
              8      303.40471     0.78045705      240.82258     0.59692859      429.10144       3.175414
              9      341.79002     0.82351591      271.08192     0.62748077      485.69951      3.3043472
             10      381.22232     0.86710392      302.56185     0.66554781      544.25295      3.5123511
             11       417.4104      0.9110518      331.50967     0.69435716      588.73721      3.7154358
             12      458.79771      0.9527716      364.24963     0.72607837      647.78652      4.0053648
             13       498.4077     0.99254745      395.81732     0.75892671       702.4992      4.0072375
             14       542.3138       1.032531        430.529     0.79983705      767.20317      4.1419128
             15      584.14969      1.0705827       463.4118     0.81641766      832.44022       4.247201
             16      620.78128      1.1085359      493.30074     0.84929834      874.70535      4.4956921
             17      662.09433      1.1465412      525.61574     0.87511888      942.65756      4.6030442
             18       700.8132      1.1776527      556.57092     0.90264859       995.6546      4.9034994
             19      738.43141      1.2057152      585.93269     0.92237908      1050.1966      4.9006327
             20      778.06312      1.2457757       617.8185     0.96296046      1104.0821      4.9748032
             21      814.86934      1.2699256      646.97647     0.96824167      1154.5083      5.0133035
             22       852.4904      1.2993311      676.61874     0.99240364      1204.0515      5.3021748
             23      890.91001      1.3330733      706.96686      1.0235314      1271.6693      5.5594554
             24       919.1646      1.3582821      728.88738      1.0398181      1315.0543       5.537285
             25      947.01415       1.380718      751.49576      1.0596362      1350.6446      5.7370816
             26      979.93901      1.4019324      776.90573      1.0693291      1409.3192      5.7571121
             27      1005.7144       1.424965       796.9622      1.0840496      1444.3255      6.1024041
             28       1026.764      1.4505463       813.8173      1.1247242      1477.2779      6.0646442
             29      1050.4953      1.4630579      831.83481      1.1113485      1529.1695      6.2733683
             30      1061.8871      1.4733164      840.36198      1.1160183      1545.3236      6.3599608
             31      1074.5083       1.486202      850.13989       1.125739      1558.8268      6.3392013
             32      1082.8509      1.4983748      856.37785      1.1387216      1579.6945      6.6685593
             33      1081.5541        1.50594      855.33716      1.1430899      1582.3602      6.6071999
             34      1081.9136      1.5104054      854.76022      1.1522365       1595.798       6.817185
             35      1066.2683      1.4983984      842.05438      1.1282346      1579.0246      6.9064379
             36       1044.561      1.4837504       824.6392      1.1135058      1548.8723      6.9375054
             37      1014.9669      1.4658216      801.40167      1.1025587      1507.3485      6.9499272
             38      982.15261      1.4388349      775.66676      1.0845867      1446.8862      6.6900619
             39      938.17688      1.4086321      740.84939        1.06057      1394.3677      6.4995854
             40      889.09311      1.3658271      702.66098       1.027937      1315.8945      6.1468237
             41      835.02519      1.3179825      660.91109     0.99974802      1214.1443      5.7602702
             42      781.62247      1.2706944      618.93589     0.96141378      1126.3666      5.4258322
             43      727.06739      1.2194312      576.50255     0.93262101      1041.5547      5.0872531
             44      675.63547      1.1720549      536.38258     0.89306631      952.54378      4.7042058
             45      623.39704      1.1164953      495.42994      0.8514334      869.36358      4.3387162
             46      578.28533      1.0716872       460.1377     0.82047436      797.30677      4.0117984
             47      536.22624      1.0277754      426.76093     0.79629443      739.89339      3.6095943
             48      495.51887     0.98738771      394.94791     0.76229741      674.35423      3.4206873
             49      459.15073      0.9417981      366.30455      0.7257854       621.9287       3.083158
             50      423.96912     0.90167429      338.82195     0.69863564       567.9713      2.8917701
             51      395.06549     0.86634027      315.82053     0.67351021      529.03027      2.5546775
             52      368.48095     0.83256671       294.6959       0.646842      493.25856      2.5408912
             53      341.37836     0.80548908      273.33741      0.6272188      454.32822      2.4501643
             54      318.58136     0.76930467      255.08959     0.59960126      422.23507      2.1211427
             55      297.13231     0.74372113      238.28457     0.59297157      389.07956      2.0160265
             56      276.90933      0.7160931      222.23184     0.56481741      364.30625      1.9400084
             57      260.43069     0.69010024      209.03834      0.5443315      340.56318      1.7659661
             58      241.87862     0.66900186      194.20262     0.52359197      315.77196       1.647264
             59      227.26565     0.64393845      182.44367     0.50446677      293.39553      1.6812269
             60      214.39736     0.61973942      172.24191     0.48847845      277.03001      1.4637897
             61      200.28417      0.5993676       160.8681     0.47058049      260.08387       1.474679
             62      189.31476     0.58195636      152.14702     0.45713439      245.57248      1.3263362
             63      177.29923     0.56168054      142.68506     0.44216366       228.9166      1.2811484
             64       166.1988     0.54463747      133.75994     0.43339084      212.73772      1.3853419
             65      157.95773      0.5330836      127.18552     0.42347822      203.43022      1.1195433
             66      148.35926     0.51092877      119.54564     0.40367769      189.73019      1.0903924
             67       140.3244     0.49659754      113.06447     0.39147476      178.14756      1.0991387
             68      131.85273     0.48202323      106.20581     0.38053614      168.64835      1.0541523
             69      125.14529     0.46890061      100.87562     0.37014283      158.71925      1.0989066
             70      119.26539     0.45448991      96.189448     0.35926913      151.93677     0.89870053
             71      112.35162     0.44510451      90.612353     0.35284402      142.29102      0.9479703
             72      106.59042     0.42812613       86.02461     0.33976625      135.37338      0.7786679
             73      101.88194     0.42014291      82.184379     0.33406587      129.09079     0.78518834
             74      95.977703     0.40723104       77.53169     0.32303434      122.32178     0.82306657
             75      91.672042     0.39670251      74.004693     0.32110804      116.28541     0.79809916
             76      86.028882     0.38485495      69.511143     0.30608335      108.92184     0.88530993
             77      81.422234     0.37619044      65.898594     0.30315597      102.76118     0.76273756
             78      78.106888     0.36574671      63.127313     0.29243168      98.923231     0.70058887
             79      74.229211     0.35513825      59.879716     0.28153952      94.280845     0.65018394
             80      70.811181     0.34708769      57.180898     0.27588686      89.558708     0.68510275
             81      67.696597     0.34048409      54.738767     0.27043691      85.949032     0.71520367
             82      64.438961     0.32981438       52.12192     0.26863081      80.895486      0.6255409
             83      60.992687      0.3261234      49.354368     0.25912757      76.877691     0.56928542
             84      58.664363     0.31712706      47.409111     0.25179533      74.701699     0.59553035
             85      56.268829     0.30864434      45.606812     0.24643778       70.61933     0.60027528
             86      54.013388     0.30250631      43.715148     0.24089537      68.438489     0.50671661
             87      51.382555     0.29383727      41.522648     0.23382895      64.420702     0.41820749
             88      48.718239     0.28641466       39.49711     0.22907615      61.627152     0.45205989
             89       46.83364     0.28083893      37.960008     0.22471997      58.572465     0.39297047
             90       44.32908     0.27450156      35.899555      0.2189573      56.066144     0.41799344
             91      42.429949     0.26840784       34.39847     0.21324546      53.100147     0.49325368
             92      40.655608     0.26070646      32.944103      0.2079113      51.010138     0.46293738
             93      39.479736      0.2597129       31.98535     0.20815886       49.59454     0.44726099
             94      37.297113     0.24994272      30.226558     0.19928507      46.890422     0.43685087
             95      35.881901     0.24558873      29.076425      0.1963555      44.867843     0.37806634
             96      34.579119     0.24359038      28.077106     0.19502021      43.335265     0.39523976
             97      33.093012     0.23462142      26.802989     0.18691594       41.84899     0.41205798
             98       31.29019     0.22930181      25.366429     0.18246457      39.569251     0.35402639
             99      30.848354     0.22745184      24.992225     0.18083601      39.431084     0.48933445
            100      30.848354     0.22745184      24.992225     0.18083601      39.431084     0.48933445
