#   total-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      17581.363      4.1191952      14036.883      3.2758262      22428.893      5.6951073
              1      17581.363      4.1191952      14036.883      3.2758262      22428.893      5.6951073
