#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      468.06831     0.44258875      364.43604     0.32330819      738.93865      2.5011126
            105      483.53909     0.44784322      378.07777      0.3305115      747.41068      2.3528679
            110      460.79874     0.43535418      361.35863      0.3227251      696.75053      2.1394987
            115      424.27459     0.41657162      333.72801     0.31087689      632.13289      1.9453981
            120      385.02527     0.39579224      303.58483     0.29721309      564.22975       1.770331
            125      347.55103       0.375518      274.70064     0.28254749       502.5936      1.6270795
            130      313.47513     0.35532546      248.22238     0.26844367      446.31122      1.4788304
            135      283.81695     0.33692053      225.04296     0.25602656      401.28732       1.354779
            140      256.37355     0.31927926      203.60033      0.2431589      357.60414      1.2537527
            145      233.37169     0.30438053      185.56324     0.23390714      324.58245        1.14027
            150      212.69677     0.28934819      169.32888     0.22198979      292.79124      1.0497253
            155      195.24726     0.27642096       155.5427     0.21215243      266.70127     0.96179397
            160      179.58602     0.26471592      143.24569     0.20518214      244.93206      0.9187755
            165      165.83506     0.25417815      132.42765     0.19655106      225.23338      0.8262858
            170      152.85092     0.24269741      122.10759     0.18758641      206.79489      0.7638422
            175      142.47371     0.23374512      113.90239     0.18133183      190.92622     0.73927454
            180      132.00934     0.22486129      105.66146     0.17503587      175.81496     0.68882034
            185      123.48747     0.21705358       98.88238     0.16949052      164.09658     0.62693753
            190      115.11744     0.21014453      92.193608     0.16441358      153.83841     0.61448609
            195      108.40126     0.20238247      86.833644     0.15827749      144.12234     0.58062281
            200      101.65841     0.19520606      81.514517     0.15298324      134.89472     0.53330142
            205      95.663607     0.18944659      76.733067      0.1489714      125.95304     0.49888042
            210      90.255146     0.18354584      72.414842     0.14410457      118.79709     0.45762129
            215      85.096921     0.17854533       68.31213     0.14061944      111.86505     0.47699531
            220       80.36014     0.17309026      64.561633     0.13616447      105.59106     0.44836461
            225       75.85438     0.16899009      60.944269     0.13252594      99.754478     0.41195092
            230      72.133973     0.16430622      57.934293     0.12888188      94.389239      0.4061482
            235      68.710155     0.15907104      55.224264     0.12556993      90.328138     0.37191745
            240      65.077834       0.154666       52.33728     0.12215382      85.051254     0.38590768
            245      61.651736     0.15059674      49.604081     0.11903476      80.538415     0.36716929
            250      61.651736     0.15059674      49.604081     0.11903476      80.538415     0.36716929
