# pt_bbZ-mbbZ10        central        num_err    min (scale)        num_err    max (scale)        num_err
# 00
            415     0.29247547   0.0093054322     0.22805429   0.0070214441     0.37919101    0.013265234
            420     0.27205334   0.0090322135     0.21268328   0.0068860819     0.35137437    0.012847632
            425      0.2521863    0.008728302     0.19652397   0.0065580328     0.32736203    0.012440138
            430     0.25946875   0.0088316651     0.20252274   0.0067036079     0.33581258    0.012673081
            435     0.23480968   0.0083360204     0.18436233   0.0063571566     0.30158173     0.01184858
            440     0.22051902   0.0080060708     0.17193863   0.0060951082     0.28609048    0.011278026
            445     0.22827451   0.0083857086      0.1801283   0.0065282879     0.29090591    0.012454184
            450     0.19600072   0.0077187997     0.15540891   0.0060401367     0.24788051    0.011367348
            455      0.1934244   0.0076857288     0.15024308   0.0057770146     0.25216063    0.011046314
            460     0.17080477   0.0072507882     0.13255487   0.0054237681     0.22266961    0.010332348
            465        0.16582   0.0070268226     0.12904135   0.0052619692     0.21529424    0.010151837
            470     0.16027375   0.0067902366      0.1244763   0.0051389685     0.20903001   0.0095479772
            475     0.15906782   0.0068530966     0.12457406   0.0052524203     0.20446847   0.0096359407
            480     0.14586984   0.0066512498     0.11456893   0.0050039101     0.18660661   0.0094825152
            485     0.12596723   0.0066013429     0.10072464   0.0050088367     0.15710846   0.0096521125
            490     0.13021738   0.0068946204     0.10185494   0.0051016698     0.16780013    0.010189672
            495     0.12326133   0.0062304494    0.095804827   0.0046406341     0.16012917   0.0088691554
            500     0.12387937   0.0065790775    0.096548578   0.0048805667     0.16040779   0.0095104261
            505     0.11285953   0.0056886433    0.087445154   0.0042644369     0.14735926   0.0081062584
            510     0.10155252   0.0056267688    0.080026423   0.0042565491     0.12942362   0.0079385127
            515     0.10164953   0.0060771019    0.078102723   0.0044408795     0.13430946   0.0090467868
            520    0.094125194   0.0053093081    0.074003146    0.003967833     0.12008569   0.0077191968
            525    0.098034987   0.0062070671    0.075846856   0.0045650009     0.12806212   0.0089035567
            530     0.09087687   0.0051157134     0.07065962   0.0038798277     0.11803025   0.0073211004
            535    0.073848539   0.0050160188    0.059058559   0.0037428153     0.09205082   0.0076098802
            540    0.085279745   0.0052447102    0.067096517   0.0039241691     0.10859488   0.0075563678
            545    0.077136806   0.0047367992    0.061104422   0.0037933523    0.097456291   0.0070080321
            550    0.070071904    0.004572303    0.055193546   0.0034350042    0.089117913     0.00668065
            555    0.063278524   0.0044522541     0.05037643   0.0033493645    0.079165407   0.0066182215
            560    0.059291929   0.0043427992    0.049116602   0.0039253671    0.069758302   0.0086518646
            565    0.061670962    0.004649114    0.048295935   0.0034387098    0.079227222   0.0066597847
            570    0.063963401   0.0042655731    0.050825653   0.0032716969    0.080275608   0.0061982836
            575    0.055239192   0.0041137768    0.043795751   0.0030830531    0.069570684   0.0059069949
            580    0.050945577   0.0045829901    0.039740928   0.0033159855    0.065862843   0.0067093055
            585    0.049752266   0.0038596889      0.0387542   0.0028903355    0.064251498   0.0055791366
            590    0.042615834   0.0036334785     0.03345794    0.002725926     0.05443154    0.005288945
            595    0.041488852   0.0036016874    0.033006321   0.0027024367    0.052089289   0.0052376317
            600    0.046890327   0.0036300404     0.03581869   0.0027393863    0.062281087   0.0051198808
            605    0.043954829   0.0036399818     0.03367083   0.0027126227    0.058112477   0.0052039136
            610    0.039023599   0.0034206117    0.031332553   0.0027725136    0.048016681   0.0051693135
            615    0.034875402    0.003239843    0.026987111   0.0024131641    0.045620839   0.0045993993
            620    0.034900941    0.003431987    0.027450029   0.0024986772    0.044437872   0.0050936692
            625    0.032353704   0.0031471679    0.026175288   0.0025575739    0.039375478    0.004695661
            630    0.032502505   0.0031259061    0.025296941   0.0023762835    0.042094908   0.0044328654
            635    0.031404655   0.0030792317     0.02435008    0.002296037    0.040776585   0.0043862404
            640    0.031926486   0.0029361811    0.024757328   0.0022193512    0.041512051   0.0041988464
            645    0.029877322   0.0031661881    0.022996267   0.0023145406    0.039192903   0.0045713119
            650    0.028685424   0.0029123141    0.021967536   0.0021576285    0.037930588   0.0041729803
            655    0.022891771   0.0027114294    0.018306614   0.0020319147    0.028364731   0.0038774045
            660     0.02493228   0.0027932297     0.01905345   0.0020351883    0.033015738   0.0040687894
            665    0.021612331   0.0027242179    0.017482308   0.0020012863    0.026335205   0.0040725751
            670     0.02448428   0.0027305825    0.019576209   0.0020739045    0.030388216   0.0038699924
            675    0.025248082   0.0027789817    0.019985921   0.0020961037     0.03184268   0.0040060936
            680    0.021569837   0.0024978249    0.016468343   0.0018696177    0.028639594   0.0035854257
            685    0.019647898   0.0024127938    0.014636477   0.0017323121    0.026965246   0.0035739926
            690    0.018318302   0.0025006688    0.014400248   0.0018710743    0.023343888    0.003556106
            695    0.020318938   0.0030770849    0.015398092   0.0022236454    0.027257266    0.004480056
            700    0.017394645   0.0024255832    0.014147994   0.0018066595    0.020904833    0.003552913
            705    0.017074906   0.0023178595    0.013329208   0.0017229803    0.022014824     0.00331977
            710    0.013805278   0.0022029025    0.010717132   0.0015849023    0.017846169   0.0032740097
            715    0.014975485    0.002153948    0.011474422   0.0015835161    0.019739275   0.0031545784
            720    0.015337081   0.0021673578     0.01186647    0.001581404    0.019976725   0.0032042915
            725    0.012746035   0.0021053816    0.010797624   0.0015491019    0.014229179   0.0033738605
            730    0.015967593   0.0022523688    0.012284312   0.0016454266    0.020997227   0.0032858682
            735    0.011720655   0.0020610274   0.0096162035   0.0015238718     0.01390594   0.0030175969
            740    0.013036407   0.0018757882    0.010164839   0.0014331885    0.016740782    0.002615571
            745    0.012490378   0.0020277747    0.010257787   0.0015060172    0.014781049   0.0031983729
            750   0.0082426072   0.0015992308   0.0064755282   0.0011656093    0.010404897    0.002422848
            755   0.0083817423   0.0016326253   0.0062208712   0.0011788681     0.01153151   0.0023956006
            760   0.0093085913   0.0018212679   0.0073735943   0.0013224358    0.011710067   0.0026891666
            765   0.0062458759   0.0014778277   0.0050683288   0.0010478267   0.0075417043   0.0023009905
            770    0.010052407   0.0017466376   0.0074812846   0.0012690454    0.013808827   0.0025185869
            775    0.012253431   0.0018071754   0.0091505183   0.0013571556    0.016762289   0.0025252007
            780   0.0083403561   0.0019152579   0.0061241843   0.0013587878    0.011649698   0.0028252997
            785   0.0068213481   0.0015338633   0.0058402353   0.0012085014   0.0074345946   0.0021286256
            790   0.0079922352   0.0015794101   0.0059780731   0.0011375109    0.010904127   0.0023311482
            795   0.0091198791   0.0016805367   0.0069908178   0.0012319841    0.011967459   0.0024498105
            800   0.0075964705   0.0014337996   0.0055285087   0.0010466002    0.010706995   0.0020725068
            805    0.010873545   0.0017779118   0.0088069252    0.001449872    0.013203898   0.0025523432
            810   0.0058700031   0.0015353835   0.0046898633    0.001136816   0.0073197584   0.0022093785
            815   0.0069193067   0.0015641826   0.0053323815   0.0011378816    0.009101469   0.0022767378
            820   0.0050418378   0.0013244965   0.0039787663  0.00098281775   0.0064064292   0.0019099102
            825   0.0058521716   0.0013219229    0.004631256   0.0010148878    0.007351864   0.0018230138
            830   0.0050616788   0.0012387672    0.004074849   0.0009527734   0.0061947536   0.0017181855
            835   0.0061006295   0.0013898388   0.0045363561  0.00098927914   0.0084231225    0.002067156
            840   0.0073152114   0.0014609557    0.005811523   0.0011506893   0.0091445367   0.0019806044
            845     0.00780255    0.001529594   0.0060962735    0.001144192   0.0099531002   0.0021696535
            850   0.0039961081   0.0011168889   0.0029291511  0.00078981366   0.0055732019   0.0016571653
            855   0.0045431796   0.0010712736   0.0035128966  0.00083846852   0.0058990092   0.0014262398
            860   0.0034968648  0.00093452974   0.0026916185  0.00072925258    0.004567345    0.001255217
            865   0.0034966041   0.0011168931   0.0028039008  0.00081266605   0.0042892281   0.0017218816
            870   0.0024975644  0.00099898024   0.0019896407  0.00070882186   0.0030866137    0.001497953
            875   0.0050621176   0.0012385809    0.004031752  0.00094614939   0.0063109946    0.001742932
            880   0.0053791987   0.0013293591   0.0041295326    0.000960047   0.0070723815   0.0019449493
            885    0.004495612   0.0011168875   0.0034031797  0.00082950074    0.006016159   0.0015725751
            890    0.004245876   0.0011977264   0.0033886614  0.00087466233   0.0051947345   0.0017482899
            895   0.0032468298   0.0010297216   0.0023321145  0.00071525905   0.0046196566   0.0015706666
            900   0.0024975835  0.00086514319   0.0019792178  0.00065811879   0.0030791288   0.0012205204
            905   0.0029971128  0.00093446172   0.0022069444  0.00066299049   0.0041410111   0.0013765501
            910   0.0024976026  0.00093445833   0.0018351924  0.00063838604   0.0034522544   0.0014514722
            915   0.0030192432   0.0010649319   0.0024378499  0.00073426275   0.0036474213   0.0017822499
            920   0.0026791414   0.0011242327   0.0019836121  0.00077091967   0.0037277965   0.0017300096
            925   0.0032947662  0.00098037478   0.0025068553  0.00073788021   0.0043679047   0.0013649665
            930   0.0032505246  0.00090149501   0.0025662385  0.00072441565   0.0040958836    0.001184736
            935   0.0012487758    0.000749228  0.00098034976  0.00051517149   0.0015901494   0.0011543578
            940   0.0029971001  0.00099898024   0.0025141558  0.00079364662   0.0033870843   0.0014292427
            945   0.0027484197  0.00082863894   0.0019787917  0.00060169985   0.0039188553   0.0011972959
            950   0.0020051955  0.00086722232   0.0016972464  0.00064761999   0.0022303656   0.0012262858
            955   0.0015084388  0.00086805934   0.0012220248  0.00057261504   0.0018024419   0.0014664648
            960   0.0017482989  0.00066076181   0.0012669952  0.00048114417   0.0024669443  0.00093983264
            965   0.0023478855   0.0022277858   0.0016544674   0.0014017611   0.0034652594   0.0036993018
            970   0.0027473322  0.00090046707   0.0021642862  0.00066109401   0.0034431161   0.0013076362
            975   0.0022478219  0.00074923651   0.0017199618  0.00057950996    0.002950442   0.0010072649
            980    0.002997081   0.0008651395   0.0021100096  0.00061032201    0.004401876   0.0012742388
            985   0.0030950397  0.00089780391   0.0024418251  0.00072295994   0.0039328013   0.0011607312
            990  0.00099902701  0.00049948852  0.00080579968  0.00041337387   0.0012164324  0.00064935684
            995   0.0011940159  0.00092903178  0.00061806033   0.0015430327   0.0013521272   0.0008424282
           1000   0.0011940159  0.00092903178  0.00061806033   0.0015430327   0.0013521272   0.0008424282
