#  y_bbZ-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5              0              0              0              0              0              0
           -4.4    0.012486169    0.012485545   0.0070104928   0.0070101424    0.023751986    0.023750799
           -4.3    0.024973609    0.017658125    0.014700477    0.010394292    0.044690303    0.031599268
           -4.2    0.062433704    0.027919805    0.039270589    0.017829913     0.10594436    0.048205811
           -4.1    0.024507472    0.025208008    0.015177106    0.015036573    0.042888395    0.045385997
             -4     0.14984324    0.046719603     0.10290652     0.03192278     0.22831319    0.073647925
           -3.9     0.13833291    0.041717309    0.087958665     0.02676381     0.23138347    0.070430898
           -3.8      0.3278779    0.070134016     0.21838028    0.046036422     0.51906836     0.11578424
           -3.7     0.64896407    0.089991276     0.40941717    0.057278856      1.0953488     0.15331972
           -3.6       1.013075     0.11393944     0.66745819    0.075414074      1.6255901     0.18554822
           -3.5      1.7414798     0.15706315      1.1900086     0.10637412      2.6913606      0.2499042
           -3.4      3.1667042     0.31050619      2.2061334     0.20596007      4.7547348     0.49575849
           -3.3      4.3914676     0.27832104      3.0774372     0.19225441      6.5644739     0.43343986
           -3.2      6.4815385      0.3155322      4.5425151     0.21820346       9.671925     0.48919903
           -3.1      8.7079807     0.35182984      6.2916469     0.25214942      12.538802     0.53592666
             -3      12.727369     0.75907712      9.1192946     0.51343683      18.484098      1.1806284
           -2.9       15.93337     0.50622911      11.467808     0.35807622      23.042079     0.76721534
           -2.8      20.435858     0.52818627      15.000161     0.38632341      28.819752     0.79150566
           -2.7      28.145346     0.62467815      20.636276     0.45372633      39.757331     0.92555475
           -2.6      34.720516     0.69616705      25.609232     0.50954953       48.70201      1.0268535
           -2.5      41.474082     0.77499884      30.830469     0.56832682      57.575571      1.1273421
           -2.4      50.128154     0.85804269      37.317514     0.62877365      69.491087      1.2616736
           -2.3      59.169461     0.91604518      44.424351     0.68011202      81.109431      1.3254516
           -2.2      69.869585      1.0076695      52.817666     0.75456409       94.99229       1.480012
           -2.1      76.663079      1.0589806      58.121389     0.79259724      103.78973      1.5474636
             -2      87.126959      1.7781201      65.997691      1.2560442      118.08821      2.6554585
           -1.9      96.247992      1.2128342      73.380697     0.90914521      129.36552      1.7668516
           -1.8      105.52236      1.2297047      80.309083     0.92197186      142.15196      1.7522127
           -1.7      115.63048      1.5349877      88.123948       1.098718       155.4896      2.3122098
           -1.6      125.54903      1.3748941         95.856      1.0303743      168.40268      1.9642669
           -1.5      132.44722      1.3964694      102.06263      1.0623071      175.48827      1.9972819
           -1.4      140.24044      1.5386633      107.73759      1.1489215      186.53154      2.2132482
           -1.3      147.43278      1.5360502      113.72272      1.1553734      195.09657       2.200004
           -1.2      150.75487      1.5427825       116.6228      1.1925417      198.70371      2.2881615
           -1.1      157.18347      1.5757521      121.34302      1.1896887       207.6959       2.247359
             -1      161.10623      1.6241524      124.61785      1.2199769       212.3371      2.3132612
           -0.9      164.89858       2.222447      127.63382      1.5950431       216.9996      3.2985937
           -0.8      168.53577      1.6052776      131.18483      1.2328118      220.14834      2.3179491
           -0.7      173.99893        1.66372      135.05087       1.265552      228.17207      2.3715459
           -0.6      173.48567      1.6863392      134.57839      1.2726998      227.59809      2.3877369
           -0.5       178.2719      1.7350471      137.73912      1.3003474      235.14512      2.4622971
           -0.4      176.75155      1.7018141      136.87036      1.2811621      232.39565      2.4069261
           -0.3      179.59989      1.6898578      139.52403      1.2850602      235.18948       2.384481
           -0.2       179.4749       1.709291      139.73949      1.3032589      234.26724      2.4471594
           -0.1      179.95324      1.7193274      139.13496      1.2855466      237.09838       2.446966
              0      178.19769      1.6934961      138.37593      1.2917393      233.40974      2.4207614
            0.1      182.03899      1.7331426      141.13198      1.3240927      239.00932      2.5064041
            0.2       178.2151      1.6527197       138.7209      1.2709007      232.68007       2.367177
            0.3      176.61274      1.7475357      136.82166      1.3138132      232.12607      2.4960356
            0.4      176.70246      1.6824954       136.4766      1.2645259      233.10388      2.3783312
            0.5      173.08816      1.6243571      134.57187      1.2455565      226.34917      2.3092989
            0.6      169.89659      1.7343302      131.33682      1.2920009      223.96846      2.4764436
