#         m_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
            100       475.8037     0.30905352      371.25691     0.22638718      743.17467      1.7143827
            110      442.53667     0.29607186      347.54332     0.21973153      664.44171      1.4434363
            120      366.28815     0.26886653      289.14273     0.20178338      533.41168      1.2003573
            130      298.64604     0.24192695      236.63267     0.18307083      423.79927      1.0013723
            140      244.87262      0.2183932      194.58179     0.16691045      341.09329     0.84627675
            150      203.97202      0.1984251      162.43579     0.15216208      279.74625     0.71098613
            160      172.71054     0.18220007      137.83667     0.14100168      235.08272     0.61712886
            170      147.66232      0.1674469      118.00499     0.12960072      198.86055     0.53091212
            180       127.7484     0.15543353      102.27192     0.12114066      169.95577     0.46521192
            190      111.75935     0.14519459      89.513626     0.11355014      148.98037     0.42228679
            200      98.661009     0.13544091      79.123792     0.10629986      130.42388      0.3647639
            210      87.676034     0.12755315      70.363486     0.10028143      115.33107     0.33018792
            220       78.10726     0.12055108      62.752951    0.094675346      102.67277     0.30416473
            230      70.422064     0.11400094      56.579279    0.089686717      92.358688     0.27510755
            240      63.364785     0.10764052      50.970681    0.085037959      82.794835     0.26613122
            250      57.592902     0.10283436      46.368686    0.083692349      75.196597     0.22960625
            260      52.275269    0.097589788      42.076173    0.077067141      68.048772     0.21269943
            270      47.898143    0.093545411      38.594126    0.076094751       62.19908     0.19904752
            280      43.839089    0.089168965      35.327797    0.070610394      56.738638     0.19875204
            290      40.092126    0.085049414      32.330135     0.06807097      51.981256     0.17134515
            300      37.055634    0.081845886      29.901688     0.06496771      48.016227     0.16839947
            310      34.137605    0.079017575       27.54613    0.062974522      44.193916     0.14917043
            320      31.479337    0.075590657      25.422477    0.060501461      40.651043     0.14632178
            330      29.260635    0.072761828      23.646116    0.058598774      37.784292     0.14043755
            340      27.108012    0.071431833      21.921858    0.058077189      34.882265     0.13527173
            350      25.170558    0.067406958      20.344457    0.054252292      32.397358     0.12255389
            360      23.476096    0.065747587      18.946182    0.052516484       30.14542     0.12537969
            370      21.754695    0.062555458      17.559343    0.050323219      27.867409     0.11484315
            380      20.381922    0.061273498      16.423407    0.049085828      26.303377     0.11908304
            390      19.013937    0.058449998      15.308259    0.046885348      24.436104      0.1063009
            400      17.829836    0.056810936      14.346246    0.045393112      22.939809     0.10190442
            410      16.618282    0.054942452      13.357622    0.043841612      21.313218    0.079646827
            420      15.603327    0.052875139      12.528946     0.04216694      20.098765    0.074941614
            430      14.735318    0.051657594      11.831266     0.04175098      18.976955     0.07317405
            440      13.737198    0.052615515      11.039731    0.049997825       17.64097    0.074004912
            450      12.858437    0.048269528      10.306626    0.038815876      16.570997    0.068441442
            460      12.209221    0.046907154      9.7880799    0.037912806      15.716474    0.067482589
            470      11.436707    0.045463657      9.1584384    0.036060111      14.779414    0.064662548
            480      10.734164    0.044199631      8.5863587    0.035033358      13.848753    0.064836477
            490       10.17792    0.042691439      8.1422814    0.034040016       13.16258    0.059828143
            500       9.616178    0.041759438      7.6894437    0.033134908      12.424765    0.058204282
            510      9.0579527    0.040476262      7.2357243     0.03210988      11.722206    0.059255783
            520      8.5713924     0.03960675       6.843755    0.031658528      11.093518    0.056806927
            530      8.1368957    0.043313404      6.4875619    0.033359811      10.555544    0.061948703
            540      7.6080958    0.037443802      6.0671197     0.02957905      9.8793601    0.052529462
            550      7.2412141     0.03641031      5.7634574     0.02864447      9.4119609    0.050829926
            560      6.8330068    0.035671549      5.4441724    0.028063783      8.8575187    0.049813749
            570      6.5339566     0.03459366      5.2003037    0.027223718      8.5078424    0.050338578
            580      6.1888744    0.034271649      4.9329487    0.030474356      8.0329751    0.048809888
            590      5.8533355    0.032872347      4.6519439    0.025969144      7.6217907    0.047096385
            600      5.5773695    0.032183468      4.4318357    0.025246862      7.2720824    0.045474818
            610      5.2728294    0.030913459      4.1883447    0.024460258       6.881225     0.04374956
            620       5.003546    0.030450335      3.9754478    0.023967757      6.5064101    0.042963305
            630      4.7460378    0.029718497      3.7611806    0.023288254      6.2071894    0.041374826
