# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0       73.98928      0.3256078      58.803496     0.25573825      94.722997     0.45660848
              1      235.40241     0.75323562      187.89203     0.59400195       299.4573      1.0786603
            1.6      404.07249      1.2235539      324.18604      0.9739592      512.47618      1.8651729
              2      664.32881      1.6236224      535.79302      1.2896619      838.79393         2.5502
            2.4      1012.6131      2.9438414      821.23593      2.3828538      1269.3302      6.0645302
            2.6      1419.3116      3.5797071      1154.2831      2.8458791      1790.3687      7.1151138
            2.8      2089.1584       4.515119      1705.1323      3.5691407      2620.5711      11.710328
              3      2946.7598      5.6676407      2416.2775      4.4636401      3786.6098      18.085796
            3.2      1665.9538      4.2359789      1363.7542      3.3446389      2134.9351      13.169555
            3.4       1086.134      3.3250855      886.86091        2.65353      1390.9368      8.7343232
            3.6      682.69151      1.8280885       556.8201       1.505453      870.65208      4.5522008
              4      390.92007      1.3551114      317.73669      1.0840968      499.84551      2.6715469
            4.4      192.71482     0.76443275      156.39067     0.61225232      246.19006      1.4759371
              5      72.313463     0.46664671      58.476926     0.37505114      92.065024     0.66181584
            5.6      72.313463     0.46664671      58.476926     0.37505114      92.065024     0.66181584
