# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      16.442115     0.23305992      13.337818     0.18405764      21.073615     0.48921189
            0.6      54.669522     0.42854869      44.442203     0.33922271      68.604228     0.78511714
            1.2      102.88141     0.59767357      84.082687     0.47329257      127.69825     0.86405633
            1.8      161.24835     0.74390895      131.51631     0.59025067      202.21812       1.636985
            2.4      203.48336      1.1688442      165.23417     0.93004942      258.27204      2.4337152
            2.7      227.76047      1.2571192      185.30512      1.0000783      285.81004      2.7688734
              3       148.2646      1.0657673      120.87925     0.87957322      185.94636      1.7659989
            3.3      53.443417     0.37801669      42.710494     0.30116788      68.907757     0.53164507
              4      12.112352     0.14774949      9.5415288     0.11599935      15.743629     0.22655486
              5      12.112352     0.14774949      9.5415288     0.11599935      15.743629     0.22655486
