#           y_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      420.75356      3.0388247       329.1085      2.2784013      642.63476      16.439104
           -4.9      495.74728      3.3147932      386.94888      2.4763323      765.55994      16.056255
           -4.8      578.73216      3.5628872      452.85265      2.6446383      899.59961      17.597368
           -4.7      669.09004      3.8390891      523.85672      2.8448494      1051.1207      19.149598
           -4.6      773.90256      4.1310483       606.5526      3.0674944      1199.6724      21.251749
           -4.5      896.75689      4.4479838      702.16652      3.2986766      1389.4814      20.667946
           -4.4      1017.6525      4.7198555      798.66584       3.530264       1545.705      23.114827
           -4.3      1145.9357      5.0367049      900.73971      3.7820546      1734.8151      24.174545
           -4.2      1285.5046      5.4573205      1010.9569      4.1433825      1934.0052      24.265258
           -4.1      1427.1512      5.5797825      1121.9922      4.1703941       2183.109      25.048274
             -4      1583.2627      5.8804052      1247.4702      4.4290605      2351.5433      26.227373
           -3.9      1751.9902      6.1916439      1380.5289       4.644628      2621.8959      28.603683
           -3.8      1908.2855      6.4302881      1506.2499      4.8260384      2772.0291       29.12252
           -3.7      2108.8386      6.7516801        1663.79      5.0765701      3141.9459      30.567603
           -3.6      2267.7207       6.972194      1792.1293      5.2403782      3312.7695      31.878626
           -3.5      2459.8941      7.2696256       1944.957      5.5088844      3599.6294       32.20242
           -3.4      2640.4064      7.4767724      2089.1192      5.6422075       3854.236      32.433035
           -3.3      2837.6424      7.7481761       2245.483      5.8403707      4186.1132      33.840112
           -3.2      3027.0116      7.9929213      2397.1616      6.0356941      4396.9232      34.243866
           -3.1      3228.8013      8.2221436      2557.1571      6.2082599      4718.9641      33.986316
             -3      3424.0491      8.4881028      2717.0929      6.4365154      4891.3181      34.308302
           -2.9      3624.6602      8.7568756      2875.8354      6.9404292      5279.7053      35.623529
           -2.8      3819.2972      9.0134034      3030.5987      6.8294179      5462.1687      37.352496
           -2.7      4022.3624      9.0774916      3194.0774      6.9081847      5737.3643      36.397036
           -2.6      4207.7489      9.2851057      3342.1625      7.0645789      5968.9313      37.677187
           -2.5      4395.5218      9.4422628      3491.4303       7.186144      6307.7567      38.921257
           -2.4      4599.0959      9.6281186       3654.474      7.3499739      6505.3006      38.862728
