#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0        56.5018     0.38611271       43.64059     0.27473837      97.766675      2.7110898
              1      168.93109     0.66519226      130.46564     0.47804116      308.53933      4.5381471
              2      277.41302      0.8485513      214.29532     0.60808254      503.32357      5.8382669
              3      379.70922     0.99091989      293.69764     0.71844479      685.60583      6.6859611
              4      471.23014      1.1012226      364.53369     0.80132129      841.91373      7.3049102
              5      554.49474      1.1805998      429.67694     0.85377185      982.07948      7.6768426
              6      627.05041      1.2460086      486.32368     0.90134617      1081.1068       7.892366
              7      686.17023      1.2973184      533.40171     0.94684746      1170.4627      7.7580416
              8      737.00909      1.3362399      573.37328     0.98082546      1238.9086      7.8868048
              9      774.60201      1.3579451      603.17751     0.99328241      1295.3025      7.7665697
             10      804.08329      1.3749224      627.54748      1.0077092      1303.0412      7.6528934
             11      827.11438      1.3824081      646.26855      1.0246724      1317.2318       7.284379
             12      839.40688       1.389245      656.93428      1.0345812      1325.9522      7.2378011
             13      849.24031      1.3859467      665.07934      1.0266622      1322.9301      6.9819885
             14      852.14793      1.3797156      668.89479      1.0253029      1301.3617      6.7135262
             15      849.51194      1.3733241      667.49703      1.0240988      1285.4829      6.4974613
             16      847.10528      1.3588105      665.79944      1.0151703      1279.9968      6.1521969
             17      837.64108      1.3450904      659.77769      1.0123055      1235.0652      5.8293222
             18      827.26936      1.3289873      652.31016      1.0001087      1216.5226      5.5611603
             19      812.67762      1.3142208       641.4664      1.0011629      1186.3299      5.4836364
             20      799.11027      1.2946035      631.28748     0.97930865      1152.4491      5.2387774
             21      784.03662      1.2798449       620.0502     0.96958283      1123.9888      5.1084596
             22      769.43672      1.2631212       609.0167     0.95925668       1103.186        4.78873
             23      753.68201      1.2387631      597.14896     0.94349601      1065.3653      4.5876108
             24      732.61028      1.2186945       581.0472     0.93330875      1025.9908      4.5439073
             25      713.54664      1.2048826      566.33075      0.9406289      995.59549      4.1519299
             26      694.67283      1.1781764      551.75015     0.90380601      965.28767      4.1609259
             27      677.47667      1.1599199      538.46962      0.8888311       933.2628      4.0121374
             28      658.21167      1.1398128      523.53152     0.87565752      899.26818      3.8114003
             29      640.99302      1.1212251      510.09148     0.86358001      872.51204      3.7306436
             30      623.56079      1.1000539      496.58507     0.85277117      846.50644      3.4375937
             31      603.73755       1.081281      480.97571     0.83362025      817.22461      3.3420923
             32      588.25957      1.0643097      468.96722     0.82288862      795.07891       3.411813
             33      569.73325      1.0417429      454.33788     0.81967226      766.70112      3.2075417
             34      551.56145      1.0359649      440.16972     0.79992654      737.22687      3.0202989
             35      534.92711      1.0052993      427.01629     0.78160229      717.90633      2.8866661
             36      517.23872     0.98653173      413.39978     0.76729748      682.86048      2.6915973
             37      500.98429       0.970497      400.64298     0.75920003      660.25545      2.8008037
             38      488.98074     0.95481783      391.20469      0.7518256      646.91055      2.5735746
             39       470.5258     0.93650366      376.47537     0.73159934      621.01057       2.616534
             40      458.06582      0.9230817      366.46684     0.72186498      604.87622      2.4208752
             41      442.89815     0.90140851      354.51215      0.7144333      579.01068      2.4635346
             42      429.54282     0.88980305      343.96308     0.69799461      563.07034      2.3105707
             43      416.00423     0.87269366      332.95135     0.68252266      542.68295      2.2508382
             44      403.09291      0.8559285      322.97034     0.66937747      527.23043      2.2277521
             45      389.92045     0.84256887      312.66762     0.66020457      506.73622      2.1835446
             46      377.92436     0.82572446       303.0227     0.64964638      490.65323      2.0066833
             47      365.60978      0.8124564      293.10074     0.63911611      476.47494      1.9184962
             48      353.86513      0.7992681      283.91166      0.6372306      458.99963      1.9119283
             49      343.60296     0.78758126       275.9249     0.61897387      446.10681      1.8061307
             50      343.60296     0.78758126       275.9249     0.61897387      446.10681      1.8061307
