#          m_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      2396.2659     0.54611327      1896.6404     0.40457021        3469.25      2.9524522
             20      808.80692     0.37567764      642.48352     0.28652857      1132.0083      1.5027279
             30      342.57912     0.25556753      273.42907     0.19763694      464.71185     0.86915834
             40      178.74487     0.18673993      143.22965     0.14519436      238.40204     0.57226111
             50       105.8163      0.1449266      85.103927     0.11344844      139.14846     0.42789564
             60      67.968627     0.11817855      54.825761    0.092557127      88.179646     0.32492312
             70      46.523615     0.09671642      37.618665    0.077243825      60.187903     0.25303013
             80      33.199857    0.082508688      26.928705    0.066073332      42.394365     0.20782832
             90      24.606496    0.070351666      19.967607    0.055698979      31.452698     0.16389428
            100      18.653444     0.06153754      15.172649    0.048892621       23.61429     0.16062777
            110      14.427534    0.054128608      11.758096    0.043124926      18.363333     0.12257429
            120      11.457486    0.048901047      9.3368327     0.03912075      14.467954    0.074804613
            130      9.0448184    0.043429656      7.3722968    0.034812744      11.408712    0.067958665
            140      7.4411638    0.039175848      6.0587127    0.031742545      9.4267099    0.056489958
            150      6.1083216    0.035279746      4.9728182    0.028393558      7.7011537    0.050987862
            160      5.0577284    0.033227915      4.1116612    0.026628526      6.3957511    0.047933409
            170      4.2921988    0.029998428      3.4837461    0.023899478      5.4453442    0.043203515
            180      3.6227842    0.027455854      2.9409874    0.021912922      4.5657573    0.041485847
            190      3.0541977     0.02528639      2.4790437    0.020088558       3.848903     0.03661372
            200      2.6087772    0.023726061      2.1136521    0.018823496      3.3097639    0.033555949
            210      2.2593003    0.022267536      1.8360375    0.017970424      2.8502693    0.030852534
            220      1.9565582    0.020148631      1.5888336    0.016197229      2.4697397    0.028165013
            230      1.6899301    0.018818533      1.3720584    0.015161938       2.130241    0.029029786
            240      1.4927209    0.018100792      1.2093513    0.014296351      1.8891946    0.025554896
            250      1.2963137    0.017187976      1.0524053     0.01359277      1.6363249    0.024086274
            260      1.1244554    0.015485741      0.9075698    0.012235253      1.4249754    0.021204285
            270     0.99978918    0.014467717     0.81124008    0.011804426       1.254644    0.022433047
            280     0.89664256    0.014410848     0.73843707    0.015562473      1.1087917    0.029796032
            290     0.80207238    0.013657892     0.64599353    0.010527158      1.0011495    0.019519475
            300     0.71474574     0.01288406     0.57671324    0.010071961     0.90043628    0.018789404
            310     0.62106664    0.011574484     0.50284897   0.0091579392     0.78538489    0.015834388
            320     0.59250972    0.011362933     0.47885225   0.0089872199     0.75435253    0.015784305
            330     0.52687795      0.0112432     0.42646066   0.0088614418     0.66654086    0.015462264
            340     0.44797002   0.0096772381     0.36188297    0.007669487      0.5719169    0.014373842
            350     0.41393194   0.0093429343     0.33450876   0.0074841764     0.52408958    0.012894328
            360     0.38412706   0.0091049669     0.31064785   0.0072782188     0.48455245    0.012385844
            370     0.34639076   0.0086346914         0.2785   0.0068139747     0.44736866     0.01346479
            380      0.3021276    0.008198288     0.24231135   0.0064042401     0.38569923    0.011287319
            390     0.29629922   0.0080784948     0.24154045   0.0064930029     0.37125424    0.011297083
            400     0.26185917   0.0076106669     0.21087743   0.0059976073     0.33379336    0.010445395
            410     0.24515296   0.0073522585     0.19840238   0.0058688496     0.31361512    0.010369145
            420     0.21261025   0.0069476746     0.17182646   0.0055252884     0.27134264    0.010412013
            430      0.1970242   0.0064396148     0.15948888    0.005100212     0.24439449    0.009516415
            440     0.19686704   0.0072607689     0.15837784   0.0056598244     0.25077297   0.0097622546
            450     0.17788022   0.0086305029     0.14203452   0.0063179385     0.22908722    0.012618955
            460     0.16493633   0.0060798782     0.13190635   0.0047304573     0.21067379   0.0083832771
            470     0.15289528   0.0056420004     0.12272011   0.0044623788     0.19448951   0.0075186105
            480     0.12850807   0.0052061296     0.10297313   0.0040957852     0.16385149   0.0069717066
            490     0.12354548   0.0051165852    0.099606515   0.0040776492     0.15713977   0.0068264759
            500     0.12354548   0.0051165852    0.099606515   0.0040776492     0.15713977   0.0068264759
