# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj60
              0      1335.6981      2.5147182       1064.984      1.9836232      1702.7263      3.3857776
     0.31415927      1442.8143      2.5858253      1150.8773      2.0531565      1838.3717      3.4959827
     0.62831853      1507.6006      2.6366137      1200.0828       2.092905      1926.0369      3.5649945
      0.9424778      1603.5547       2.715107      1274.2281      2.1504104      2053.1457      3.6820046
      1.2566371      1798.7693      2.8811166      1426.4714      2.2709647      2309.2586      3.8991518
      1.5707963      2132.8928      3.1352313      1689.5927        2.49517      2741.7159      4.2693254
      1.8849556      2663.7935      3.5368351      2109.7918      2.8121009      3424.1753      4.8297434
      2.1991149      3483.3138      4.0048429      2760.8044      3.1514852      4472.3594      5.4539091
      2.5132741      4626.6565      4.6554395      3676.7286      3.7043929      5917.4825      6.4040442
      2.8274334      5804.5197      5.1839588      4628.5667      4.0990892      7385.1987      7.1138853
      3.1415927      5804.5197      5.1839588      4628.5667      4.0990892      7385.1987      7.1138853
