#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      458.99751     0.96113177      360.08097      0.7223149      698.45824       5.075119
              1      1290.2455      1.5992187      1011.7478      1.1982226      1959.7183      8.3080333
              2      1884.2396       1.917658       1477.545      1.4372336      2854.1396      9.7366032
              3      2220.2298       2.076934      1741.8029      1.5545394      3332.7345      10.298088
              4      2349.6761      2.1349737      1845.0784      1.5999462      3500.7229      10.344234
              5      2338.0937      2.1345365      1838.1198      1.6187469      3456.0472      9.9734662
              6      2244.6539      2.0909564      1767.1464      1.5831443      3299.5529      9.5351981
              7      2103.6442      2.0300963      1658.3136      1.5369087      3062.9195      8.8659352
              8      1948.5965      1.9536781       1538.502       1.474293      2830.2633      8.2341441
              9      1794.6651      1.8796004       1418.487      1.4246318      2577.1031      7.9828124
             10      1637.1572      1.7979785      1295.9254      1.3725723      2339.0147      7.4764605
             11      1491.8579      1.7184676      1182.4808      1.3047326      2120.7295      6.8376611
             12      1364.1027      1.6467228      1082.6065      1.2561281      1921.5018      6.4533483
             13      1244.9186      1.5711013      989.36167      1.2008275      1746.6942      6.1573508
             14      1133.7773      1.5085808      901.66668      1.1637099       1592.907       5.559048
             15       1035.324      1.4338026      824.13523      1.0975406      1436.9256      5.2652894
             16      948.44943      1.3743206      755.38983      1.0529795      1313.2616      4.8745247
             17      868.95435      1.3130968      693.01389      1.0090483      1201.0729      4.5799135
             18      795.68801      1.2607242      635.32056     0.97372779        1093.03       4.362704
             19      732.69211      1.2065758      585.28337     0.92717619      1004.3305      4.1485443
             20      673.87563      1.1576709      538.76338     0.90462233       923.5513      3.8520015
             21      620.35192       1.111591      496.73954     0.85858656      836.27216      3.6774847
             22      574.00908      1.0688824      459.74429     0.82520927      772.05826      3.4788582
             23      529.40119       1.025699      424.31909     0.79990455      714.93141      3.2941234
             24      491.01514     0.98839194      393.75501     0.76631725      662.70335      3.0818407
             25        455.481     0.95436732      366.06685     0.75436806      610.15073      2.9990859
             26      421.80794     0.91595938      339.09029      0.7149175      565.37628      2.7812798
             27      392.71418      0.8817836      315.67883     0.68844164      522.45961      2.6908116
             28      367.17342     0.85333354      295.33446     0.66724545      491.05737      2.5713618
             29        341.153     0.82356674      274.64956     0.64300493      453.23805      2.4777085
             30      321.21574     0.79804405      258.55874     0.62108422      425.84625      2.4086666
             31      297.78029     0.78074967      239.99663      0.6091114      394.11685      2.2782524
             32      280.18468     0.74163223      225.87641     0.58003542      368.63347      2.1868183
             33      261.57399     0.71944714      211.14328     0.56192412      342.26292      2.1972168
             34      246.69058     0.69805079      199.17434     0.54575386      319.82598      1.9263152
             35      230.99666     0.67804472      186.47732     0.53101553      300.83704      1.9119746
             36      216.94271     0.65340274      175.35113     0.51318904      283.19754        1.82723
             37      204.63995      0.6334545      165.32384     0.49840233      265.72916       1.770642
             38      192.34046     0.61596651      155.55163     0.48223838      249.45024      1.8386126
             39       181.9166     0.60544486      147.27016      0.5064851      235.32727      1.5984637
             40      171.97325     0.58153254      139.08652     0.45620256      223.35743      1.4102882
             41      161.98693     0.56369291      131.08611     0.44651556      209.15412      1.5600342
             42      153.13934     0.54985101      124.19881     0.43421916      198.26344      1.3590059
             43      144.87086     0.53157172      117.45135     0.41789758      187.13657      1.3943195
             44      137.37223     0.52141739      111.43008     0.41183751       175.8855      1.4033113
             45      130.23307     0.50722789       105.8155     0.40020736      166.58922        1.29548
             46      124.12089     0.49104734      100.73357     0.38721048      158.76453      1.2177192
             47      117.73547     0.47867975      95.540044     0.38862081      150.36074      1.3760345
             48      111.69242     0.46667525      90.652109      0.3692816      143.58314      1.0257872
             49      105.43026     0.45408808      85.744953     0.35840432      132.96011      1.1472582
             50      105.43026     0.45408808      85.744953     0.35840432      132.96011      1.1472582
