#  pt_Z-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      241.74054     0.35473031      186.13629       0.252999      445.54943      2.5009095
              5      598.07469     0.53829105      462.84042     0.38764856         1045.4      3.4503769
             10      730.40504     0.57373216      569.39209     0.42009555      1174.2228      3.1785799
             15      721.63249     0.55334898      566.27408     0.41089205      1090.3729      2.6101738
             20      653.89229     0.51476419      515.92769     0.38732584      945.54959      2.1357476
             25       568.2022     0.47092291      450.23842      0.3578771      792.19382        1.73638
             30      485.24597     0.42863716      385.70539     0.32864389      660.93836      1.4252579
             35      408.09743     0.38851327      325.38601     0.30119354      544.44314      1.1733479
             40        343.193     0.35234221      273.97627     0.27375075        452.229     0.99931873
             45      287.24473     0.31913733      229.76809     0.24871724      375.04911     0.82667381
             50      239.54488     0.28941715      191.83933     0.22597334      309.74942     0.74674769
             55      200.96489     0.26331542      160.97363     0.20612549      257.39453     0.62803255
             60      167.43229     0.23826302      134.26644     0.18784562      214.91035     0.53170664
             65      140.25065     0.21566895      112.51627      0.1698836      178.40931     0.44930868
             70      117.08272     0.19598681      94.008279     0.15448923      148.89406     0.41181884
             75      98.471697     0.17871289      79.084389     0.14209351      124.96366      0.3365639
             80      82.488987     0.16331516      66.261487     0.12964435       104.5394     0.30962417
             85      69.129667     0.14745868      55.554799     0.11721182      87.364119     0.26982016
             90      57.977284     0.13424914      46.589903     0.10677289      73.276993     0.22813537
             95        48.7148     0.12198417      39.112281    0.097035551      61.568104     0.21186426
            100      40.843449      0.1106222      32.787458    0.087702191      51.721558     0.17262479
            105      34.419421     0.10050546      27.616381    0.079839549      43.584112     0.14194426
            110      28.856383    0.091071976      23.166988     0.07245203      36.432272     0.12271758
            115      24.417489    0.083359187      19.592005    0.066404626      30.841375     0.11207126
            120       20.80565    0.076009637      16.669217    0.060604442      26.326953     0.10188161
            125        17.8544    0.070315839      14.315107    0.055907678      22.565547    0.093978974
            130      15.294984    0.064819553      12.256637     0.05160937      19.344289    0.086458287
            135      13.149966     0.06011766      10.549907    0.048334696      16.602919    0.083000201
            140      11.295513    0.055698057      9.0248797    0.044243617      14.336524     0.07560686
            145      9.8291188    0.051630768      7.8452291    0.040845936      12.486617    0.069412956
            150      8.5954449    0.048510911      6.8719115    0.038662479      10.891228     0.06659108
            155      7.4959028    0.045322276      5.9969084    0.036811111      9.4848472     0.06465756
            160      6.5057296    0.042565861      5.1988438    0.034127483      8.2441425    0.059012437
            165       5.721782    0.039449608      4.5517966    0.031024905      7.2931401    0.053290098
            170      5.0246371     0.03691406      4.0003028    0.029152697      6.3950846    0.050469302
            175      4.3464538    0.034315905      3.4688275    0.027048824      5.5105199     0.04672121
            180      3.8958796    0.032628721      3.1033137    0.025889353      4.9514782    0.045228612
            185      3.4557591    0.030580569      2.7505691     0.02409192      4.3950256    0.041817551
            190      3.0752182    0.028882912      2.4378948    0.022738152       3.931373    0.039542563
            195       2.705898    0.027300664      2.1459433    0.021350063      3.4571318     0.03744843
            200       2.391553    0.025671924      1.9001329    0.020042379      3.0465003    0.035275393
            205      2.1315803    0.024224617      1.6924226    0.019011562      2.7163685     0.03364556
            210      1.9086462    0.022660311      1.5155809    0.018002656      2.4315738    0.032076308
            215      1.7131591    0.021601551      1.3628586    0.017099422      2.1762934    0.030171529
            220      1.5292816    0.020441774      1.2073927    0.015880991      1.9633048    0.027988856
            225      1.3383562    0.019107509      1.0541866    0.014780669      1.7229306    0.026525272
            230      1.2578763     0.01850877     0.99911384    0.014516679       1.600489    0.025510318
            235      1.0910175    0.017229947     0.86732194    0.013652726      1.3847765    0.024581413
            240     0.96491526     0.01648504     0.76616691    0.012841076      1.2269746    0.023126849
            245     0.89366374    0.015529713     0.70913322    0.012209989      1.1372346     0.02187715
            250     0.83068325    0.015168669     0.65970191    0.011883554      1.0555316    0.020971638
            255     0.73613353     0.01411556     0.58628219    0.011229074     0.93117902    0.019787474
            260     0.64988401    0.013558613     0.51675213    0.010532769     0.82378105    0.019161261
            265     0.60462615    0.012958427     0.47719607   0.0099975759      0.7746889    0.017978931
            270     0.55670356    0.012298288     0.43829282   0.0095313038      0.7151278    0.017087263
            275     0.50178192      0.0119082     0.39612648   0.0091812987     0.64206155    0.016664191
            280     0.46468318    0.011728493     0.36775218   0.0090671369     0.59230675    0.016822932
            285      0.4114165    0.010887941     0.32355653   0.0083487367     0.52904024    0.015303952
            290     0.35995979   0.0099508191     0.28609416   0.0077250742     0.45603505    0.014209655
            295     0.32554385   0.0095723815     0.26139568   0.0075113462     0.40584638    0.013811551
            300     0.29644518   0.0091362352      0.2342334   0.0070353753     0.37815307    0.012715499
            305     0.30369041   0.0095072185     0.24224061   0.0075819007     0.38189682    0.014583894
            310     0.26607249   0.0085534479     0.20915967   0.0065831961     0.34196067    0.011903934
            315     0.22964787    0.007887257     0.17824239   0.0059947569     0.30085385    0.011151918
            320     0.22438885   0.0083038507     0.17799973   0.0063117234     0.28450102    0.011922596
            325     0.20976541   0.0076473309     0.16510878   0.0059032123      0.2686255     0.01078406
            330       0.175052   0.0070445765     0.14065347   0.0055609845     0.21716341    0.010077184
            335     0.17674892   0.0070474348     0.13822581    0.005330574       0.228628   0.0099418441
            340     0.15703025   0.0066101485     0.12482601   0.0051041227       0.198029   0.0092634597
