# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ1000
              0      235.75988      1.2795409      176.10857     0.80586241       734.8848       20.64648
              1      881.41573       2.313768      659.80981      1.5153634      3607.8768      23.790749
              2       1133.882      2.1711994      874.92143      1.5196415      2532.0649      11.268895
              3      1203.9456      1.9955122      942.05893      1.4483041      2049.3047      5.9944244
              4      1206.3436      1.8497597      949.49839      1.3707543       1823.471      4.1567989
              5       1170.333      1.7305587      924.05216      1.2970418      1677.0049      3.3111508
              6      1130.7776      1.6357768      894.68528      1.2378135      1571.3841      2.8780416
              7      1086.3998      1.5588987      860.59377      1.1927329      1484.2041      2.5776761
              8      1041.2357      1.4868338      824.97468      1.1386993      1403.9406      2.3566089
              9      1001.5925      1.4324015      794.33911      1.1135914       1339.632      2.2086573
             10      956.66267      1.3760219      759.37285      1.0635057      1269.5473      2.1236653
             11      916.95955      1.3308958      728.37132      1.0345921      1209.6753      1.9601032
             12      881.33204      1.2887516      700.21305      1.0048317      1157.9006      1.9396366
             13      848.14009      1.2508365      674.25275     0.97288485      1111.1306      1.9021372
             14      815.29497      1.2164537      648.23214     0.94630431      1064.2943      1.7392449
             15      787.85782      1.1863293      626.65451     0.92655094      1025.9528      1.6994718
             16      756.88716      1.1560163      602.34059     0.90814103      982.85613      1.6153807
             17      730.67976      1.1358316      581.72515      0.9119225      946.71661      1.5734875
             18       706.9551      1.1056629      562.94832     0.87636807      914.22651      1.5610319
             19      681.79477      1.0817554      543.45732      0.8707315      879.61767      1.5022367
             20      660.07934      1.0585155      525.94736     0.83521276      851.33513      1.4547631
             21      637.78358      1.0360682      508.47614     0.81896186      821.33898      1.4377305
             22      616.23555       1.015425      491.38655     0.80601109       792.7028      1.3913332
             23      595.53143     0.99358592      474.66364     0.78453936      765.78184      1.3526437
             24      577.10338     0.97581165      460.28083     0.77097229      741.09256      1.3347783
             25      557.55651     0.95559278      444.67441     0.75559889      715.67469      1.2920531
             26      540.41953     0.94002148      431.18657      0.7479786      692.97529       1.303386
             27      523.20959     0.92069365      417.51654      0.7290952      670.47865      1.2555843
             28      506.91868     0.90417923      404.40145      0.7177145       649.5071      1.2215578
             29      491.62943     0.88940158      392.37156      0.7046939      629.26452      1.2052712
             30      475.56457     0.87371826      379.58513     0.69281184      608.42504      1.1736179
             31      460.27665     0.85753629      367.38589     0.67925371      588.52363      1.1825102
             32      446.85586      0.8441597      356.51888      0.6683371      571.59647      1.1367791
             33       433.2189      0.8276751      345.74632     0.65926671      553.84165      1.1081342
             34      419.97061     0.81294248      335.18819     0.64410869      536.69824      1.0924687
             35      406.88275     0.80068903      324.85757     0.63866738      519.60827      1.0743374
             36      394.46251     0.78512556       314.9705     0.62698938      503.57292      1.0549793
             37      382.03725     0.77115784      304.94118     0.61379149      487.92591        1.02844
             38      371.00304     0.75826268      296.23107     0.60266895      473.52435      1.0155049
             39       358.7484     0.74477819      286.49265     0.59111374      457.74397     0.99342373
             40      348.23057     0.73270829      277.89272     0.58122287      444.87538      0.9839565
             41      338.01601     0.72112969      269.92902     0.57176887      431.35569     0.98806278
             42      328.65373     0.71334617      262.53033     0.56653282      418.83964     0.97375049
             43      318.23001     0.69857659      254.21228     0.56367482      405.69257     0.95671242
             44      308.26462     0.68528515       246.0991     0.54541929      393.24879      0.9132227
             45      299.46971     0.67585467      239.29765     0.54457625       381.5422     0.91345475
             46      291.31859      0.6675958      232.81221     0.53440043       371.0586     0.89722511
             47      283.14416     0.65609385      226.31277      0.5262231      360.54022     0.87258288
             48      272.63196     0.64126549      217.79003     0.51075854      347.45707     0.85762412
             49      266.33501     0.63460931      212.83227     0.50583416      339.18299      0.8486419
             50      266.33501     0.63460931      212.83227     0.50583416      339.18299      0.8486419
