#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5       36.06878     0.81257598      29.102787      0.6510782      46.031795      1.2000073
           -4.9      38.512226      0.9286969      30.800036     0.70401997      50.995854      2.4812312
           -4.8      47.724061     0.93329344      38.411257     0.74143055      61.349539      1.2688702
           -4.7      55.223671      1.0052568      44.211518     0.79181772      72.664886      1.7051036
           -4.6      64.218936      1.0885406       51.89584     0.87752391      82.194183      1.4925386
           -4.5      73.359397       1.157283      59.064759     0.91633722      93.433067      1.8289926
           -4.4      84.035611      1.2479204      67.752578     0.99459849      108.87458      2.6901265
           -4.3      99.833904      1.3634805      80.357986      1.0799206      127.62093      3.3346205
           -4.2      112.82731      1.4385611      91.003861      1.1387578      143.69276      2.5978742
           -4.1      126.73707      1.5199119      102.44235       1.214734      160.93549      2.2392745
             -4      147.01605      1.6566834      118.98099      1.3530048      188.22985      4.1585065
           -3.9      170.50221      1.7785718      137.79556      1.4128606      228.41117      5.7389134
           -3.8      192.66224      1.8865102      156.44885      1.5146828      253.57719      4.3739468
           -3.7      214.45766      1.9909596      174.72001      1.7737112      274.68397      6.8213896
           -3.6      242.04406      2.1330317       196.1324      1.7071207      308.43933      6.5826805
           -3.5       278.3856      2.3106656      225.15543      1.8516084      364.24666       6.306963
           -3.4      307.19026       2.402556      248.59309      1.9146303      404.59673      6.4822904
           -3.3      352.56083      2.5566352      284.99698      2.0347311      461.27254      6.9209986
           -3.2      391.84971      2.9009073      317.32713      2.6013417      515.23443      7.6079235
           -3.1       438.9449      2.8908676      354.29733      2.2829565      574.32908      7.1705531
             -3      497.51862      3.0657056      401.12438      2.4335959      650.44181      8.9397167
           -2.9      553.02697      3.2687627       445.9962      2.5852077      731.69337      9.8192941
           -2.8      624.16147      3.4558427      502.74402      2.7283037      831.47365      10.674763
           -2.7      706.49822      3.6666143      568.50005      2.8862963      950.35471      10.823906
           -2.6      787.89365      4.0479427      633.67569      3.1698307      1024.8449      13.109584
           -2.5      892.67882      4.2552864      716.70316      3.3204511      1201.8242      13.713632
           -2.4      1002.4869      4.4017407      804.58623      3.4421396      1359.4172      15.790972
           -2.3      1136.5212      4.7150841      911.47985      3.7094542      1548.4011      14.827115
           -2.2      1296.1685      5.0540568       1037.638      3.9415376      1767.4586      19.394337
           -2.1      1481.6492      5.3879903      1184.6098      4.1960661      2037.3316       20.05213
             -2      1704.9013      5.7754061      1360.4008      4.4977199      2363.6332      21.658842
           -1.9      1955.8032      6.2039988      1559.3885      4.8157449      2718.1642       23.73411
           -1.8       2271.734      6.7036649      1807.4774       5.160286      3217.9011      25.835282
           -1.7      2632.5799       7.239785      2090.8576      5.5401858      3722.2559      30.096331
           -1.6      3079.9985        7.82858      2443.6451      6.0174655      4424.2249      32.031449
           -1.5      3602.4674      8.4625812       2855.698      6.4830844      5149.4523       34.86999
           -1.4        4228.96      9.1829249      3350.5459       7.045709       6074.419      38.928223
           -1.3      4937.9057      9.9760181      3905.2423      7.6045235      7098.9688      42.772391
           -1.2      5802.8431      10.827478      4583.9786      8.2205988      8337.3401      43.384945
           -1.1      6800.9079      11.637408      5370.6882      8.8182356      9852.1799      49.154837
             -1      7943.1162      12.575544      6273.9046      9.5493896      11529.814      52.972872
           -0.9      9252.8763      13.570214      7309.2635      10.311851      13312.371      57.553354
           -0.8      10730.766      14.618889       8474.484      11.092026      15464.332      61.845432
           -0.7      12405.953      15.666652      9808.6246      11.893181      17741.318      65.436929
           -0.6      14230.981      16.764139      11258.137      12.709089      20336.021      70.648505
           -0.5       16236.61      17.820893      12862.149      13.546325      22972.827      71.888166
           -0.4      18371.806      19.002652       14585.89      14.605959      25942.738      75.470204
           -0.3      20592.267      20.016367      16378.074      15.275723      28981.721      79.919337
           -0.2      22686.664      20.985449      18114.689       16.07932      31532.894      81.318974
           -0.1       24312.26       21.71131      19498.637      16.678462      33573.694      82.306243
              0      24310.103      21.720086      19498.701      16.711069      33462.944      81.901311
            0.1      22676.409      20.969047      18109.912      16.133734      31603.729      82.362809
            0.2       20601.17      19.999124      16393.451      15.280114      29030.083      79.455738
            0.3      18367.427      18.930359       14575.66      14.409609      25960.309      75.328212
            0.4       16268.27      17.897412      12888.929      13.769735      23123.455      72.915686
            0.5      14242.199      16.769535      11266.937      12.756896      20369.286      69.882801
            0.6      12389.906      15.664632      9792.9436      11.927301      17751.819      65.294507
            0.7      10746.689      14.657899      8490.1907      11.162936      15566.601      61.181511
            0.8      9229.6129       13.59679      7292.3582      10.428398      13288.198      57.790446
            0.9      7937.4156      12.619542      6271.2919      9.6383853      11331.624      54.640892
              1       6788.339      11.605692      5363.8803      8.8029853      9732.8754      49.818895
            1.1      5799.0607      10.785418      4585.2637      8.2965812      8328.1739      46.294437
            1.2      4943.3468      9.9642452      3910.1395       7.604265      7120.5587      42.152197
            1.3      4220.6906      9.1656136      3340.3487      6.9891408      6098.1897      39.715956
            1.4      3603.8054      8.4862117      2857.9911      6.4758149      5103.6361      36.109699
            1.5       3084.114      7.8832712      2445.9661      6.0217645      4432.1112      32.962641
            1.6      2649.0951      7.2866803      2103.2616      5.5861974      3769.0982      29.112295
            1.7       2267.408      6.7052154      1805.6887      5.1908172      3156.8328      27.028034
            1.8      1956.2174      6.2371502      1559.5624      4.8235328      2712.6116      24.523666
            1.9      1689.1842       5.762188      1347.7217      4.4646416      2335.7834      20.465307
              2      1491.0855      5.4443109      1191.6542      4.2851274      2055.1361      19.869238
            2.1      1295.4188      5.0149841      1035.6279      3.9135354      1786.3011      18.681293
            2.2      1143.4037      4.7354119      915.40382      3.7357009      1573.5903      17.343709
            2.3      1005.1688      4.4339775      807.28815      3.5111857      1345.0002       15.63859
            2.4       896.9406       4.197122      719.95142      3.2915009       1204.418      14.199284
            2.5      785.06452      3.9127803      630.74559      3.0648195      1056.9708      13.348598
            2.6      703.35386      3.7131657      566.13092      2.9480934       923.9397       12.02477
            2.7      628.09766      3.4725738      505.21039      2.7280116      838.31867      10.608912
            2.8      561.77069      3.2615738      452.58353       2.577345      732.99457       9.543293
            2.9      493.95216      3.0485207      398.82201      2.4334719      645.03386      9.2967942
              3      444.10704      2.9455411      358.82234      2.3756363      585.40344      9.5398153
            3.1      393.45316      2.7689428      318.11633      2.1966131      506.63732      7.3440111
            3.2      352.42275      2.6583843      284.67768      2.1044218      461.14596      6.0550903
            3.3      313.55835      2.4334024      253.34552      1.9337088      406.66829      7.6172213
            3.4      276.80938       2.367621      224.07919      1.8876849      357.32673      7.0601467
            3.5      250.54082      2.1853635      202.55696      1.8093838      332.16014      5.5172012
            3.6      216.18935      2.0040889      175.29924       1.609551       283.4663      4.3466124
            3.7      188.94066      1.9059509      152.70024      1.5482843      251.80861      6.0713757
            3.8      169.52597      1.7967152      137.51788      1.4540654      226.52231      3.9974401
            3.9      150.02763      1.6726953      121.37025      1.3435205      201.94612      4.5889809
              4      126.65246      1.5393771      102.59881      1.2270179      164.38881      3.9612129
            4.1      114.11636      1.4544943      92.008216      1.1537504      147.47202      2.4322024
            4.2      99.635256      1.3754674      80.432986      1.0912979      130.24883      3.2185629
            4.3       86.86526      1.2790862      70.142734       1.024507      110.74096      1.7810806
            4.4      74.688528      1.1762269      60.103014     0.93104138      95.330026      1.7873007
            4.5      63.615759      1.1423935      51.071327      0.8897349       84.12218      2.6721062
            4.6      55.114595     0.99837198       44.30061     0.79543013      70.687106       1.369731
            4.7      48.257285     0.97154475      38.830878      0.7946865      62.611248      1.8327919
            4.8       40.82587     0.92191455      32.897801     0.72028193       51.24743      1.4010785
            4.9      33.732187     0.79117717      27.171774     0.63670956      43.154492      1.0859671
              5      33.732187     0.79117717      27.171774     0.63670956      43.154492      1.0859671
