# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2197.1418      6.7178737      1784.3084      5.3823685      2769.6482      14.769872
            0.1      980.04031      4.3736015       793.1863      3.4719051      1243.3719      8.8702082
            0.2      461.30436      3.0996463       376.1552      2.4581153      574.42305      4.6504521
            0.3      257.98691      2.3295877      211.19326      1.8479293      323.67917       3.625524
            0.4      156.17465      1.8381001      128.38156        1.45934      195.80299       3.108771
            0.5      98.603266      1.4694836       81.27592      1.1701751      120.17116      2.1622684
            0.6      56.122772      1.1650673      46.239945     0.92367094       70.14853      2.6146532
            0.7      33.206308     0.87443265       27.52083     0.69541557      41.974967      1.9350654
            0.8       10.98592     0.35691499      9.1428499     0.28493996      13.308833     0.70071188
              1       10.98592     0.35691499      9.1428499     0.28493996      13.308833     0.70071188
