# dR_bb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            0.4      234.58718     0.72766811      188.11341     0.59054612       299.4925      1.0721569
            1.2      101.50985     0.49321418       81.71026     0.39079721      130.70347     0.97319574
              2      93.392227     0.70442612      76.383294     0.55988299      117.35279      1.5246996
            2.4      119.76826     0.69522963      99.475688     0.55328971      146.55043      1.6208977
              3       95.96535     0.79478161      80.274591     0.63068704      116.00612      1.9752279
            3.4      13.661684     0.24967063      11.457895      0.1992476      16.802337      0.4846558
              4      2.1199646    0.099945249      1.7626771    0.082029266      2.7207061     0.17814669
            4.5      0.2692856    0.037799789     0.22271695    0.029581291      0.3307268    0.054492562
              5      0.2692856    0.037799789     0.22271695    0.029581291      0.3307268    0.054492562
