#         pt_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1640.6777     0.75883119       1287.251     0.56544597      2469.1547      3.9946445
              5      2085.9307     0.83997156      1644.1138     0.63171926      3045.1772      3.9731128
             10      1374.3627     0.70556818      1090.4082     0.53693112      1944.1695      2.9032414
             15      876.22159     0.57367894      698.62858      0.4395519      1209.7241      2.0763111
             20      577.73059     0.47056352      462.66426      0.3648495      781.90329      1.5546809
             25      395.66591     0.39163651        318.164      0.3065022      528.45641       1.209039
             30      281.48906     0.33172662      226.94988     0.25877598       370.1371     0.98439421
             35      205.36728      0.2833483      165.99481     0.22497448      266.90825     0.80049853
             40      153.86852     0.24475991      124.65057     0.19291758      198.75941     0.63742737
             45      117.84242     0.21379473      95.697237       0.169721      150.45155     0.54437681
             50      91.751594     0.19015683      74.592433     0.15025235      115.76484      0.4615373
             55      72.355355       0.166938      58.959072     0.13366435      91.570536      0.3857686
             60      58.546217     0.14962771      47.705589     0.11896619      73.267871     0.31651938
             65      47.475122     0.13656829      38.764935     0.10861449       59.32098     0.20694508
             70      38.890785      0.1219742      31.806488    0.097595222      48.758319     0.25309561
             75      32.272001     0.11263398      26.373109    0.090482911      40.415941     0.16921699
             80      26.769394      0.1015456      21.873205    0.082008983      33.381141     0.14959631
             85      22.525181     0.09303251      18.383376    0.074772956      28.202575     0.13625801
             90      19.369331    0.085505167       15.80052    0.068724177      24.179042     0.12427802
             95      16.270733     0.07901665      13.269301    0.063824384      20.301753     0.11857874
            100      14.053692    0.074917637      11.432651    0.059500505      17.574299     0.10716609
            105      12.079425    0.068328981      9.8407488    0.054815079      15.132306     0.10126167
            110      10.449534    0.062861164      8.4927711    0.051696526      13.103167    0.092206691
            115      9.0997892    0.058399374      7.3920548    0.046639778      11.368222    0.081504151
            120      7.8793947    0.055296098      6.4143104    0.044320436      9.8602024    0.079177032
            125      6.9066021    0.050967585         5.6053    0.040572975       8.652399    0.071871686
            130      6.0376143    0.047366507      4.9003958    0.037659415      7.5489901    0.064531893
            135      5.3172935    0.045215045      4.3228908    0.035799837      6.6316451    0.062934122
            140      4.7323989    0.042800238      3.8433796    0.034075573      5.9048237    0.059355961
            145      4.2121049    0.039903977      3.4198707    0.031922492      5.2595077    0.054868155
            150      3.7362347    0.037483738      3.0371638    0.029968433      4.6450902    0.054871011
            155      3.3290887    0.037634523      2.6904334     0.02948224      4.1904632    0.052993865
            160      2.9977031    0.033828856      2.4297587    0.026703955      3.7440567    0.046501734
            165      2.6882596    0.032752568      2.1835262    0.025902396      3.3488583    0.045165692
            170      2.4631519    0.030815056      1.9947152     0.02451419      3.0813371    0.042622044
            175      2.1230519    0.028419402      1.7208913    0.022542955      2.6549427    0.038753801
            180      1.9789721    0.034347701      1.5994747    0.026171301      2.4819413    0.048763486
            185      1.7734632    0.026261981      1.4261306    0.020571896       2.237005    0.035690924
            190      1.6041089      0.0246797      1.3012331    0.019800123      1.9977792    0.034906714
            195      1.4426893    0.023282418       1.167633    0.018511672      1.8050523    0.032083375
            200      1.3179489    0.022320262      1.0724644    0.017751519      1.6383924    0.030552288
            205      1.1761656    0.021114709     0.94879999     0.01658191      1.4779263    0.028946769
            210      1.1106707    0.020766618     0.89707571    0.016300477       1.391267    0.028403305
            215      0.9925042    0.019453272     0.79933313    0.015369735      1.2487227    0.026574441
            220     0.93590676    0.018860695     0.75599503    0.015689087      1.1732372    0.027777213
            225     0.85021161    0.018047975     0.68546635    0.014189403      1.0696449    0.025005239
            230     0.80377324    0.019275997     0.66130942    0.017804725     0.98194616    0.033384707
            235     0.69459092    0.016258597     0.55762911    0.012683638     0.87670034    0.022115979
            240     0.65858095    0.016335568     0.52660863    0.012707328     0.83375749    0.022569972
            245     0.63330629      0.0152598     0.50646191    0.011882906     0.80231324    0.020716849
            250     0.56104265     0.01433523     0.45270907    0.011319015     0.70314178    0.019891239
            255     0.48389227    0.013905885     0.39373736    0.010923411     0.59902055    0.019563394
            260     0.49415548    0.015492508     0.39535057    0.011780234     0.62491119    0.021616925
            265     0.44172526    0.012958312     0.35526778    0.010150935     0.55542718    0.017515589
            270     0.40511461    0.012570909     0.32551764   0.0098424149     0.50910016    0.017153378
            275     0.37638135    0.011840065     0.30463869   0.0093914441     0.46520458    0.017282196
            280     0.36859155    0.011956201      0.3000625   0.0094506099     0.45596788    0.016763738
            285     0.29442295    0.011130549      0.2392011   0.0086316364       0.363551    0.015641573
            290     0.32076747    0.010964184     0.25652399   0.0084776179     0.40580986    0.015210906
            295      0.2645386    0.010244402     0.20999604   0.0078676717     0.33737847    0.014077572
            300     0.24866579   0.0098549928     0.19944762   0.0076779623     0.31361005    0.013583059
            305     0.24015774   0.0094095821     0.19100487   0.0072742549     0.30619783     0.01289523
            310     0.22686417   0.0093951617     0.18688661   0.0080749013     0.27680143    0.015851716
            315     0.21564374   0.0094712622      0.1740788   0.0073532964     0.26933568    0.013058237
            320     0.19017244   0.0090602914     0.15091024   0.0068302786     0.24296195    0.012717507
            325     0.18404803   0.0083070113     0.14884455   0.0064710297     0.22957752    0.011474798
            330     0.17100293   0.0093341087     0.13721469   0.0070131854     0.21507961    0.013386017
            335      0.1538804   0.0077148357      0.1234839   0.0060039503     0.19380971    0.010542714
            340     0.14471782   0.0073435578     0.11501197   0.0057283035     0.18500174    0.010053384
            345     0.15043855    0.008830951     0.11884847   0.0065820662       0.193423     0.01262598
            350     0.13540275   0.0072842868     0.10843453    0.005659192     0.17092749    0.010006851
            355      0.1204671   0.0068392959     0.09570344   0.0052840805     0.15407571   0.0094209191
            360     0.10656934   0.0063608594    0.084589158    0.004898424     0.13584176   0.0088113299
            365     0.10701279   0.0071261471    0.086395185   0.0053468917     0.13385181    0.011410312
            370     0.10214837   0.0069081574    0.083539602   0.0055441328     0.13117879    0.012893393
            375    0.090815529   0.0059090913    0.073318241    0.004574273     0.11317364   0.0081501076
