#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20       4.103757    0.015570238      3.2973177    0.012544767      5.2425737    0.031492842
             50      3.1701885    0.015612946      2.5474539    0.012335352       4.084932    0.031774907
             75      2.6864751    0.015311342      2.1775539    0.012065651      3.4271181    0.035247567
            100      1.8409782    0.012668244      1.5045114    0.010056055      2.2877774     0.01887016
            125      1.1761907    0.010169547     0.96506702   0.0080759376       1.467999     0.01432437
            150      0.6652394   0.0055159846      0.5511228   0.0044218458     0.81515588   0.0082840567
            200     0.32807072   0.0039509657     0.27358811   0.0031938881     0.40276563    0.005678669
            250     0.17528777   0.0029070429     0.14585844   0.0023448966     0.21286433   0.0043122629
            300    0.088877979   0.0014662162    0.074043639   0.0011871938     0.10820271   0.0020908071
            400    0.040636616    0.001163114    0.033895024  0.00091893674    0.049959625   0.0016622002
            500    0.040636616    0.001163114    0.033895024  0.00091893674    0.049959625   0.0016622002
