# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      3140.0365       3.873155      2508.0953      3.0685556      4001.2569      5.1693455
     0.31415927      3375.7844      3.9959864      2698.2965      3.1777845      4298.2297      5.3387104
     0.62831853      3535.2811      4.0793691      2821.4652      3.2399826      4509.7561      5.4564705
      0.9424778      3755.1476       4.195433      2992.0992      3.3254945      4801.0085      5.6147542
      1.2566371      4184.4872      4.4286124      3331.9107      3.5122578      5355.6233      5.9589979
      1.5707963      4878.9688      4.7755108      3882.8577      3.8031213      6249.5967      6.4134319
      1.8849556      5911.8164      5.2584246      4708.7611      4.1920188      7566.1117      7.0904942
      2.1991149      7361.9114      5.8156467      5869.1408      4.6167511      9410.8615      7.8463088
      2.5132741      9126.7113      6.4790465      7295.8812      5.2010306      11626.714      8.7947266
      2.8274334       10693.07      6.9612724      8572.2783      5.5462806      13574.226      9.4290773
      3.1415927       10693.07      6.9612724      8572.2783      5.5462806      13574.226      9.4290773
