#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      23.941541    0.069341408      18.855046    0.052227144      34.610577     0.30912122
             60      68.523622     0.11695571      54.179198    0.089383672      98.173584     0.48989905
             70      1491.2856     0.47914229      1184.5006     0.36336085      2109.1664      2.1509293
             80      2401.5652     0.54709888      1909.8627     0.40979882      3381.9627      2.6794903
             90      68.167379     0.11643597      54.429418    0.089345123      95.013216     0.44621773
            100      21.015955    0.064575281      16.813254    0.049827281      29.334932     0.22587134
            110      9.8060683    0.044123703      7.8742571    0.034137787      13.431669      0.1703112
            120      5.5522036    0.033184976      4.4667431    0.025758316      7.6898838     0.11818265
            130      3.4707192    0.026343168      2.8010012    0.020781683      4.7039478     0.09200039
            140      2.3113089    0.021364636      1.8684244    0.016771646      3.1156692    0.059805902
            150      2.3113089    0.021364636      1.8684244    0.016771646      3.1156692    0.059805902
