# pt_bb-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
            360    0.097435242   0.0062477346    0.078526606   0.0047873932     0.12074003   0.0089997815
            365    0.090240062   0.0051907704    0.071777297   0.0040398623     0.11417668   0.0072646139
            370    0.083757957     0.00526329    0.068041444   0.0040163346      0.1026234   0.0074745172
            375    0.079855935   0.0049645899    0.064777822   0.0038498724    0.098016472   0.0070406576
            380    0.071252348   0.0045768139    0.058405113   0.0037268236    0.085637524     0.00679624
            385    0.068041328   0.0045584561    0.053478143   0.0035031211    0.087471733   0.0065592099
            390    0.058555191   0.0043192065     0.04747072   0.0033126107    0.071853309   0.0062484053
            395    0.057662078    0.004300585    0.047095393   0.0033889361    0.070009173     0.00628485
            400    0.061355585   0.0045305482    0.047673952   0.0033675429    0.079990693   0.0064620679
            405    0.044913754   0.0038267107    0.036131044   0.0028970035    0.055784636   0.0054108958
            410    0.046149201   0.0039334362     0.03616676   0.0028976577    0.059413824    0.005707427
            415    0.040681373    0.003556822    0.031587036   0.0026368683    0.053006226   0.0051150196
            420    0.039575477   0.0034012035    0.030748274    0.002584033    0.051587269   0.0047742897
            425    0.036435115   0.0035616303    0.028848247   0.0026192371    0.046308456   0.0051939075
            430     0.03240613   0.0031748308     0.02631334    0.002465289    0.039650601    0.004502862
            435     0.03062826   0.0031293333    0.024341405   0.0023895683    0.038723898   0.0043862575
            440    0.027235694   0.0028713702    0.021206773   0.0021622638     0.03539806   0.0040198502
            445    0.028769678   0.0031821145    0.022800384   0.0023162419    0.036396318   0.0047154297
            450    0.022670683   0.0028119181     0.01914835   0.0021338508     0.02595897   0.0041581773
            455    0.019723497   0.0028085848    0.017252876   0.0020868046    0.021505304   0.0040618996
            460    0.021930066   0.0025324872    0.017002486   0.0019228211    0.028587771    0.003548663
            465    0.019291624   0.0026592091    0.015411453   0.0019329375    0.024088445   0.0039335116
            470    0.015815968   0.0022570074    0.012379423   0.0016642308    0.020372635   0.0032933262
            475    0.019312165   0.0024204194     0.01515307    0.001819686    0.024821475   0.0034091463
            480    0.016122842   0.0022248249    0.013189061   0.0016782496     0.01949657    0.003589525
            485    0.014332966   0.0021169488    0.012230771   0.0017918826    0.016069914    0.003198538
            490    0.013938842   0.0021544061    0.011184655   0.0016342004    0.017304227   0.0030398005
            495   0.0098588678   0.0019047914   0.0084854118   0.0014680142    0.010823954   0.0026626061
            500    0.016257125   0.0021845105    0.012503802   0.0016327244    0.021457596   0.0031003243
            505    0.015227345   0.0023010966    0.011581431   0.0016805759    0.020439949   0.0033211335
            510    0.013059777   0.0028672639   0.0098135644   0.0019882244    0.017727072   0.0043382468
            515    0.010005202   0.0020326637   0.0087645978   0.0015420914    0.010691994   0.0029772763
            520    0.011752903   0.0019449745   0.0099552871   0.0015594326    0.013392527    0.002716974
            525   0.0084916944   0.0015395141   0.0064893291   0.0011291526    0.011256579   0.0022527989
            530    0.011747605   0.0017848164   0.0092121653   0.0013806808    0.014973786    0.002421199
            535   0.0090770236   0.0017446717   0.0072214435   0.0012878374    0.011388025   0.0025337533
            540   0.0072559045   0.0016052733   0.0054696725   0.0011511348   0.0097920254    0.002374422
            545   0.0080229123   0.0015845749   0.0066436203   0.0011473169   0.0095405787   0.0028584744
            550   0.0085342001   0.0016634457   0.0073259465    0.001340079   0.0094491516   0.0025607593
            555   0.0065468552   0.0014658283   0.0058121208   0.0011877572   0.0067630144    0.001573048
            560   0.0058599553   0.0017104944   0.0045939523   0.0011953203   0.0075290494   0.0026176259
            565    0.006516674    0.001417011   0.0050041908   0.0010168489    0.008605717   0.0021526693
            570   0.0045659585   0.0013365989   0.0035163434  0.00093290675    0.006007186   0.0020312537
            575   0.0037465945   0.0011977742   0.0030762098  0.00088309549   0.0044809793    0.001754093
            580   0.0059305373   0.0016069507   0.0048906264   0.0012139837   0.0070064166   0.0023525666
            585   0.0063011254   0.0014013659   0.0052640255    0.001104129   0.0073219904    0.001956736
            590    0.003746321   0.0010297139   0.0028256344  0.00075863355   0.0050468299   0.0014577968
            595   0.0032469507   0.0010886337   0.0026200064  0.00075481991   0.0040025374   0.0017186761
            600   0.0037769283   0.0011994987    0.003000655  0.00088795504   0.0047764261   0.0017542365
            605    0.002584426   0.0010241454   0.0020453546  0.00070769906   0.0032529729   0.0015963826
            610   0.0022478346   0.0011444647   0.0017123498   0.0020283942   0.0023016916   0.0010278618
            615   0.0022478092   0.0010297185   0.0019679873  0.00076059215   0.0024656534   0.0013898859
            620   0.0029462639   0.0010848153   0.0026086232  0.00084741465   0.0030614988   0.0015769803
            625   0.0029970683   0.0009344532   0.0024710779  0.00074305704   0.0034743847   0.0012129971
            630   0.0039960762   0.0011168818   0.0029327886  0.00079332962   0.0056050112     0.00168183
            635   0.0022528711  0.00075093473    0.001643682  0.00055049002   0.0031815072   0.0010675223
            640   0.0029978059   0.0011170498   0.0022412083  0.00074349344   0.0041276566    0.001776472
            645   0.0022478219  0.00090046707     0.00194524  0.00070946444   0.0024355548   0.0012101641
            650  0.00099901427  0.00049948216  0.00077326549  0.00038809182   0.0013014817  0.00065589844
            655   0.0009990143  0.00078974964  0.00090321785   0.0005816631   0.0010182957   0.0010651412
            660   0.0012487758  0.00066075699  0.00099540221  0.00048914038   0.0015452019  0.00092895964
            665   0.0020492273   0.0009494125   0.0014935771  0.00063339321     0.00289876   0.0015015566
