#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      122.01225     0.50324035      94.841221     0.37306346      187.83895      2.8291981
              1       360.4773     0.86296487      280.04538     0.64467683       564.3896      4.6621307
              2      582.92891      1.0927782      452.85202     0.80824312      919.00138      5.9637515
              3      779.81371      1.2714927      605.92809     0.93680616      1224.6717      6.9872187
              4       947.6415      1.3878136      737.06002      1.0270733       1478.346      7.4862117
              5       1070.333      1.4761468        833.801      1.0920923        1660.86      7.9153454
              6      1168.9828      1.5397712      911.46945      1.1397559      1803.4437      7.9585583
              7      1232.3797      1.5790697      962.24391      1.1736285      1889.6685      8.0053714
              8      1272.4262      1.6062792      994.56022      1.1968491      1945.4162       8.005421
              9      1286.0661      1.6158295      1006.5887      1.2128712      1953.8836      7.9022735
             10      1287.0067      1.6142534      1008.7537      1.2239739      1935.2058      7.5952016
             11      1270.0676      1.6046894      997.05557      1.2113074      1890.9363      7.5842747
             12      1243.9834      1.5867379      977.49171      1.1999064      1841.7953      7.3278879
             13      1207.5897      1.5587099      950.05621      1.1708223      1783.8554      7.0350546
             14      1167.4361      1.5340588      919.81571       1.155324      1702.5321      6.7427016
             15      1126.0578      1.5035161      888.05361      1.1324289      1638.7277      6.4532026
             16      1081.3983      1.4755986      854.16414      1.1251567      1561.1093      6.0322175
             17      1035.3086      1.4403571      818.67929      1.0943835       1488.977      5.9307598
             18         988.98      1.4073461      782.61262      1.0720452      1411.0149      5.5922098
             19      944.33706      1.3781917      748.24781      1.0476421      1347.5909      5.4332753
             20      898.89724      1.3474862      713.34223      1.0286536      1267.7348      5.2873463
             21      858.30545      1.3092511      681.44401       1.000789      1210.8668      5.0217049
             22      817.07247      1.2793967      649.20025     0.97590607      1145.5957      4.8794294
             23      776.11381      1.2472689      617.06491     0.95344018      1083.4262      4.5667356
             24      736.72443       1.210773       586.9337     0.93169766      1026.1374      4.2683827
             25      702.58434      1.1845802      559.80445     0.91294197      973.74441      4.2329761
             26      668.07242      1.1524364      532.73229     0.88612288      922.05689      4.1172879
             27      630.93883      1.1208847      503.61686     0.86256735      861.30579      3.8758954
             28      601.10402      1.0922144       480.0371     0.84085976      823.37984      3.6250819
             29      572.12064      1.0679291      457.31762     0.82403861      777.74227      3.5664596
             30      544.28636      1.0398747       435.2406     0.80067091      737.93021      3.5168173
             31      519.17773      1.0126831      415.52172     0.78392647      704.69986       3.376455
             32      493.57551     0.98761915      395.18426     0.76285439      669.11718      3.2276585
             33      470.97869     0.96684654      377.70507     0.75129718      632.92418      3.0610379
             34      446.15001      0.9392118      358.06259     0.72850745      597.07188      3.0868929
             35       425.5616     0.91491421      341.69134     0.71050118      565.44616      2.6748882
             36      406.18919     0.89490503      326.41233     0.70481322      540.42077      2.6771594
             37      386.81975     0.87199246      311.05473      0.6809084      512.34525      2.5330066
             38      368.91209     0.85336586      296.84689     0.66791825      489.91079      2.5467166
             39      352.84836     0.83240309      284.07136     0.65052605       467.9394      2.4940828
             40      336.79808      0.8108925      270.95409      0.6309617       441.3861      2.4041133
             41      321.96736     0.80750934      259.20256     0.63089426      424.01901      2.3056671
             42      306.14105     0.77363867      246.82089      0.6117451      399.78572      2.1970144
             43      292.88742     0.75972571      236.28747      0.6013707      384.30643      2.2294068
             44      280.50823     0.73903522      226.31418     0.58425334      365.27804      2.0905892
             45      268.04786     0.72053337      216.24991     0.56457075      351.71483      2.0463015
             46      256.59406     0.70734379       207.1698     0.55367292      334.16518      1.9276508
             47       245.1058     0.68686863      197.91012     0.53797793      319.57602      1.8201803
             48      234.75607      0.6766647      189.98027     0.55408337      305.06806      1.7815169
             49      225.00336     0.65950636      181.89946     0.51723905      290.45837       1.857029
             50      225.00336     0.65950636      181.89946     0.51723905      290.45837       1.857029
