#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      41288.949      5.3710557      32818.275      3.8197123      58244.317      34.640964
              1      41288.949      5.3710557      32818.275      3.8197123      58244.317      34.640964
