#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      179.98388      1.8767907      142.06928      1.4232666      251.45403      6.3559111
           -4.9      223.23315      2.1050268      176.04743      1.5943464      324.06441      8.9329141
           -4.8      269.85992      2.3447941      213.38388      1.8029472      386.61415        9.27649
           -4.7      329.92939      2.5659007      260.31497      1.9398467       466.2791      11.217876
           -4.6      402.57083      2.8356317      317.98081      2.1637685      582.29883      10.959643
           -4.5      496.60087       3.117584      391.51479      2.3690722      717.14598      12.693485
           -4.4      598.75869      3.4970981      471.91622      2.6659424      872.12227      14.441423
           -4.3      725.87607         3.7995      571.65325      2.8855721      1080.0872       15.28032
           -4.2       866.1272      4.1640151      682.89636       3.157335      1252.6433       17.45718
           -4.1      1025.6256      4.5395143      809.07551      3.4422178      1460.2376      18.761211
             -4      1211.9515      4.9302054      956.07661      3.7494271      1747.0478      18.992402
           -3.9      1432.9577      5.3696888      1130.7886      4.0871938      2069.1937      21.460151
           -3.8      1656.6799      5.7772902      1308.8139      4.4399566      2390.3111       22.04182
           -3.7      1925.1886      6.2207105      1521.2446      4.7280405      2726.1761      25.379166
           -3.6      2182.4695      6.6531861      1723.6269       5.065496      3172.2787      27.401104
           -3.5      2468.6212      7.0951245      1950.7515      5.4349087      3589.3142      29.745241
           -3.4      2766.9085      7.4722529      2186.2467      5.7004913      4001.4018      29.987938
           -3.3      3048.7043      7.8505533      2411.6519      5.9997393      4351.9148      31.498741
           -3.2        3362.68      8.2311317      2660.4085      6.2624911      4777.9539      32.819235
           -3.1      3666.4739      8.5991394      2902.6127      6.5585046      5208.2729      34.065977
             -3      3971.7824      8.9315962      3145.0146      6.8075681      5667.7938      36.050297
           -2.9       4248.651      9.2866619      3368.9046      7.1137293      6048.5892      37.166173
           -2.8      4512.0241      9.5110695      3576.3987      7.2541558       6415.128      37.873628
           -2.7      4803.9301      9.8197853      3807.7085      7.5304175      6838.0991      37.986216
           -2.6      4992.1978      9.9884153      3960.8688      7.6225946      7099.9816      38.338474
           -2.5      5236.5464      10.239449       4158.259      7.8582552      7379.1067       40.48898
           -2.4       5433.813      10.406374      4316.3058      7.9972651      7634.9185      40.184865
           -2.3      5585.6995      10.609125      4438.4258      8.1048522      7803.9651      42.222839
           -2.2      5778.0262      10.774408      4591.2313      8.3354403      8100.2403      42.897954
           -2.1      5912.3787      10.868192      4700.0531      8.3253343      8293.9905      41.684227
             -2       6007.316      10.896843      4774.3083      8.3362291      8521.9469      42.467169
           -1.9       6119.325      11.001129       4864.514      8.4018783      8646.5273      42.967744
           -1.8      6178.9381      11.095486      4916.1702      8.5610762      8706.8209      44.321708
           -1.7        6260.47      11.135694      4982.7098       8.510995      8781.4421      43.489512
           -1.6      6279.5229      11.125317       4998.465      8.5235615      8829.8886      43.667825
           -1.5      6334.1888      11.179177      5042.5454      8.5710314      8950.9876      41.976079
           -1.4      6356.4124      11.293216      5061.1232       8.653492      8921.5055      42.326087
           -1.3      6357.7937      11.163413      5063.2959      8.6660604      8906.0686      42.487591
           -1.2      6375.2264      11.168111      5077.3991      8.5576212      8904.1762      44.208766
           -1.1      6380.4478      11.173667       5083.761      8.5704866      8860.8898      42.870541
             -1      6396.3192      11.195706      5095.0223      8.5784885      9034.5054       44.28896
           -0.9       6389.517      11.170488       5091.368      8.5711713      8951.7137      42.847117
           -0.8      6386.9915      11.189929      5089.7343      8.6263463      8899.3605      44.816159
           -0.7      6367.5197      11.238899      5074.1655      8.6447678      8960.7207      43.609748
           -0.6      6376.5108      11.167614      5083.3039      8.5736061      8897.4593      44.081906
           -0.5      6356.1212      11.168051      5065.8001      8.6494815      8903.7862      43.111351
           -0.4      6354.9006      11.126824      5062.5292      8.5256983      8886.3516      42.553966
           -0.3      6354.2681      11.163877      5065.6351      8.5627958      8885.4022      45.253283
           -0.2      6351.9113      11.159331      5062.6009      8.5316454      8886.1848      45.045673
           -0.1      6354.3944      11.198662      5067.3483      8.6126981      8847.6926      44.956087
              0      6328.3316      11.139908      5047.2322      8.6273866      8902.0057       43.27805
            0.1      6333.5298      11.113527      5048.1521      8.5235171      8889.9268      44.280268
            0.2      6346.7506      11.158372      5059.1748      8.5661067      8931.0365      44.281447
            0.3      6372.7089      11.175261      5078.2851      8.6363854      8995.9907      42.303773
            0.4        6369.85      11.271358      5075.2225      8.6669512      8933.1856      43.731635
            0.5      6359.4189      11.156294      5066.9104      8.5758127        8889.36      43.948106
            0.6      6371.6222      11.193992      5076.4182      8.5687404      8929.7017      44.270263
            0.7      6383.7904      11.198087      5086.6133      8.5747046      8941.9307      44.659242
            0.8      6397.9273      11.298673       5099.358       8.696408      8961.7337      43.477672
            0.9      6391.7057      11.222264      5092.8152      8.6020178      8956.5984      43.950492
              1      6409.4249      11.255827       5104.818      8.6281604      9021.6149      44.823158
            1.1      6380.2436      11.228924      5079.8445      8.6116619      8971.0001      44.093432
            1.2      6358.9826      11.212662      5066.4324      8.6037563      8943.1345      45.159842
            1.3      6377.0994      11.250107      5074.6049      8.5808926      9020.4582      44.524616
            1.4      6338.8282       11.23154      5046.3993      8.6624624      8859.9268      44.420235
            1.5      6285.0984      11.222865      5005.5578      8.7370567      8762.4739      45.642166
            1.6      6254.1491      11.164612      4975.3241      8.5288909      8776.0579      45.228711
            1.7      6170.5297      11.138012      4909.5888       8.518227      8706.5739      44.563872
            1.8      6099.8839      11.109892      4850.0486       8.709493      8625.5577      43.534812
            1.9       5994.173      10.972074      4764.7234      8.4341836      8416.0885      44.130302
              2      5882.7116      10.889134      4673.2916      8.2915599      8286.4993      44.766818
            2.1      5763.8588      10.817042      4580.1252      8.3040303      8093.8045      44.144336
            2.2      5646.3663      10.662214      4481.7852      8.1745072      8014.9814      42.492516
            2.3      5422.7139      10.479828      4306.8962      7.9971581      7649.8663      42.671173
            2.4      5224.9375      10.298808      4145.5994       7.841259      7342.9689      41.340011
            2.5      5011.3005      10.094164      3975.3961      7.6773546      7106.3136      40.688595
