#    pt_ep-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      15.049442     0.17891179       11.89648     0.13397557       21.08937     0.92609385
              1       45.39475     0.30797669      35.969318     0.23670782      65.016234      1.4264248
              2      76.379279     0.39691343      60.456549     0.30265114      112.45403        1.73066
              3      107.19307     0.47310114      84.834193     0.35677842       155.4531      2.1466915
              4      136.54449     0.53200528      108.00498     0.40224785      197.70642      2.3583865
              5      167.52521     0.59147568      132.62773     0.45072851      241.15461      2.7635201
              6      199.48439     0.64300648      158.10379      0.4883856      285.53629      2.8410804
              7      231.08203     0.68969871      182.97316     0.52250819      332.89555      2.9093331
              8      261.88249     0.73373601       207.4333     0.55555974      377.31188      3.0375585
              9      295.03547     0.77870386      233.80966     0.59185393      424.39523      3.4042853
             10      327.99911     0.83175831      259.90997     0.63377346      474.53387      3.3971008
             11      363.87737     0.86486948      288.55291     0.65858226      523.38611      3.8093645
             12      396.83016     0.89992991      314.53618     0.68457279      572.69562      3.8168707
             13      429.80827      0.9364262      340.92883       0.711631      618.27047      4.0669526
             14      465.52588     0.97477218      369.23351      0.7421121      664.68262      4.1209424
             15      501.88847      1.0132658      398.30315     0.77586505      720.41424       4.331066
             16      536.31609      1.0537011      425.68791     0.80521031      763.64394      4.5623137
             17      574.91424      1.0823995      455.90361     0.82346306      833.43395      4.4792086
             18      611.00308      1.1152839      484.60795     0.85096135      869.88014      4.7790576
             19      646.15742      1.1472505       512.3457     0.87674685      927.14751      4.8999425
             20      680.73352      1.1761457      539.62024      0.8961816      975.52894      5.0157437
             21      715.78421      1.2081302      567.42241     0.91923886       1025.834      5.0939939
             22      751.30307      1.2425369      595.84569     0.95059833      1078.6679      5.2929068
             23      785.93256      1.2707229      622.83628     0.96617841      1137.9512      5.3434802
             24      817.30835      1.2949964      647.65118     0.98362392      1185.8293      5.6064558
             25      849.91518      1.3230357      673.26551      1.0075988      1231.5504      5.5788226
             26      880.47642      1.3454987      697.63302      1.0263349      1271.6285      5.7142658
             27      909.38378      1.3708169      719.84261       1.037527      1318.2568      5.8810877
             28      934.84404      1.3942701      739.65512      1.0541217      1362.3668      6.0660966
             29      961.19144      1.4129005      760.94825      1.0694381      1403.1298      6.2423086
             30      985.00275      1.4308035      778.85117      1.0829935      1440.6755      6.3925886
             31      1001.7586      1.4490072      791.76879      1.0948745      1470.5826      6.5254146
             32      1016.0927      1.4615855      803.12571      1.1027449      1496.3131      6.5071324
             33      1028.3484      1.4736927      812.02968      1.1087493      1523.2184      6.6535992
             34      1028.5997      1.4729441      811.81949      1.1077136      1524.4288      6.6989422
             35       1027.093      1.4772444      810.79011      1.1138245      1529.1994      6.9201235
             36      1014.8862      1.4683869      800.73608      1.1107951      1506.6233      6.8012878
             37      998.67956      1.4555601       788.2014      1.0964817      1488.3803      6.7547428
             38      975.17354      1.4379053      769.81942       1.080887      1455.5698      6.7968426
             39      937.48902      1.4059223      740.48238      1.0652996      1389.3176       6.490151
             40      898.15655      1.3734802      710.19761      1.0407972      1312.1734       6.347479
             41      853.49694       1.330719      674.91566      1.0054531      1244.8242      5.8902556
             42      803.19003      1.2879739      636.55316     0.97657111      1151.3664       5.485056
             43      758.83891      1.2442299      601.56689     0.95552299      1081.9813      4.9583452
             44      709.38195      1.1942818      563.07099      0.9086531      1001.2248      4.5808251
             45      664.73584      1.1551559       528.2946     0.89100589      929.47555      4.2400151
             46      619.49157      1.1025527      492.68726     0.84405336      858.79648      3.9081579
             47      578.59227      1.0610398       460.8145     0.81686126      796.00123      3.7302164
             48      538.93164      1.0211419      429.54777     0.79010983      732.14085      3.3612247
             49      506.03101     0.98390636      403.75528     0.76505075      685.49647      3.1215362
             50      470.97732     0.94610513      376.23773     0.73218403      629.70003      3.0027892
             51      442.79464     0.91331996      353.82212     0.71022193      593.07458      2.6537515
             52      413.70148     0.87765259      331.21828     0.70476997      547.02677      2.4900439
             53      388.64349     0.84885314      311.18191     0.66376841       512.3998      2.3368149
             54       365.8671     0.82844137      293.10027      0.6769037      479.98108      2.2192578
             55      343.96866      0.7883903      275.35684     0.61634211      454.18588        2.09431
             56      321.74124     0.76317672      257.97215     0.59784317      418.59473      1.9148267
             57      303.05434     0.73880176      243.03046     0.58051913      393.44583      1.9727888
             58      286.24743      0.7164567      229.45826     0.56054512      374.25923      1.8820475
             59      270.40305     0.69328009      216.84337      0.5422135      353.32053      1.8079442
             60       255.6299     0.67308768      205.17992     0.52887267      333.10864       1.593591
             61      242.16242     0.65523683      194.51715     0.52270166      312.67863      1.5365271
             62      229.22433     0.65093944      184.04601     0.51326483      296.74416       1.504347
             63      217.17149      0.6150988      174.60264      0.4856938      278.81166       1.387955
             64      204.41144     0.59591116      164.37274     0.47148314         262.28      1.3801239
             65      193.99732     0.58036719      155.97477     0.45887283      249.52411      1.1849718
             66      185.48417      0.5728274      149.16758      0.4511698      238.68293      1.0457936
             67      176.08865     0.55105113      141.55786     0.43463922      227.06675      1.0931964
             68      167.34714     0.53498418      134.55686     0.42143168      213.65947      1.0642743
             69      159.89132     0.52237195      128.75584     0.41728177      204.63692      1.1576016
             70      151.84273      0.5141119      122.11204     0.41002281       194.5017       0.920162
             71      144.05344     0.49699327      115.99689     0.39395957      183.57601      1.0531695
             72      137.24049     0.48242186      110.50722     0.38193578      175.48372     0.93539599
             73      130.83395     0.47205683      105.41468     0.37301727      165.74995     0.92633647
             74      124.66731     0.45966789       100.5204     0.36754914      159.10524      0.8615454
             75      119.69185     0.44734262      96.406046     0.35646861      152.94439     0.75462156
             76      113.63728     0.43669433      91.544055     0.34653367      143.77564     0.87498541
             77      109.01901     0.42810348      87.788526     0.33999316      138.47849      1.0131124
             78      104.09645     0.41892562      83.955018      0.3341491      131.19097     0.79007043
             79      99.330795     0.40726723      80.144658     0.32341561      125.15697     0.77739134
             80      95.852706     0.39971007      77.274881     0.31683667      121.32494     0.77172365
             81      91.124093     0.38741467      73.426168     0.31138155       116.2092     0.71097802
             82      87.508497     0.38039457      70.573695     0.30214887      110.77187     0.62606455
             83      84.104701     0.37628929      67.828569     0.29851838      106.61485     0.65067979
             84      80.638845      0.3655243      65.081786     0.29117617      101.90788     0.63606059
             85      76.808714     0.35622481      62.017191     0.28386371      97.373667     0.58845904
             86      74.232505     0.35186977       59.90571     0.28104126      93.094379     0.68748496
             87      70.947009     0.34155602      57.256291     0.27138914      90.097615     0.53651154
             88      67.898231     0.33783113      54.825668     0.26821921      85.320078     0.60254343
             89      65.031663     0.32814082       52.52584     0.26258276      81.958698     0.48113741
             90      62.922128     0.32104928      50.801563     0.25573422      78.797302     0.46203406
             91      60.439688     0.31383247      48.839324      0.2513002      76.237381     0.60736125
             92       57.81464     0.30886928      46.710805     0.24783437      72.590676     0.43383398
             93      55.660556     0.30253007      44.988042     0.24055734      70.533546     0.52144657
             94      53.722228     0.29567359       43.34911     0.23513223      68.043136     0.50242501
             95      52.187809     0.30673928      42.149921     0.24188663      66.046701     0.49277852
             96      50.034282     0.28748163      40.567966     0.24074571      62.627736     0.47509487
             97      47.964675      0.2803442      38.870854     0.22708894      60.433525     0.57573991
             98      46.233013      0.2722326      37.375217     0.21803454       58.13643     0.37234712
             99       44.40099     0.26891894      35.941972     0.21932581      55.814454     0.37454277
            100       44.40099     0.26891894      35.941972     0.21932581      55.814454     0.37454277
