#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      25802.362      11.761214      20805.739      9.1684007      34812.169      42.701635
     0.31415927      19628.678      10.442903      15644.004       8.013896      27175.369      40.280046
     0.62831853      15474.479      9.4390319      12271.696      7.2447448      21738.116      37.619439
      0.9424778      12878.958      8.7393501       10187.85      6.6611111      18307.896      36.396925
      1.2566371      11186.367      8.2190654      8836.8385      6.2325145      16047.116      34.546705
      1.5707963      10113.226      7.9053867      7984.9364      5.9904495      14602.716      34.215383
      1.8849556      9448.1707      7.7169383      7461.2566      5.8371835      13649.101      33.556043
      2.1991149      9080.1383      7.6309438      7173.7627      5.7713931      13233.761      33.864207
      2.5132741       8916.855      7.6187476       7052.661      5.7545885      12948.408      33.978484
      2.8274334      8897.5737      7.6612382       7045.071      5.8058368      12882.768      33.900001
      3.1415927      8897.5737      7.6612382       7045.071      5.8058368      12882.768      33.900001
