#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      459.00193     0.96771368      360.36405      0.7331672      700.45618      4.9037245
              1      1286.1984      1.5975993      1008.4704      1.1997825      1950.8183      8.2883865
              2      1881.2518      1.9195876      1475.4836      1.4401506      2839.9012      9.7052179
              3      2219.8704      2.0777678      1741.7635      1.5649169      3338.2293      10.299697
              4      2349.4959      2.1386251      1844.9116      1.6108615       3493.305      10.309489
              5      2338.4086       2.136041      1838.3176      1.6143752       3451.617      10.042537
              6      2242.1551      2.0905304      1765.2597      1.5716546      3292.7559      9.5637281
              7      2104.6104      2.0280337      1658.8845       1.531605      3071.9903      8.8624634
              8      1951.3942      1.9561305       1540.117      1.4783339      2834.2561      8.3959221
              9      1789.3931      1.8747021      1414.5672       1.418435      2578.5985      7.8555328
             10      1642.9406      1.7982197      1300.5718       1.371756      2346.0997       7.348307
             11      1493.9495      1.7251999      1183.9278      1.3119242      2121.5631       6.892892
             12      1364.2103      1.6486173      1082.5101      1.2572355      1928.1068      6.4113823
             13      1241.3513      1.5704718      985.90555      1.2036617       1749.593      5.9119973
             14      1133.7953      1.5024145      901.56716      1.1505815      1588.8407      5.6467569
             15      1036.5538      1.4370795      825.09023       1.100809      1450.4275      5.2166139
             16      947.73898      1.3720642      755.34359      1.0528662      1310.3995      4.9631905
             17      869.36548       1.312121      693.16183      1.0082218      1203.1113      4.5554021
             18      796.84038       1.259727      636.14589     0.97003027      1096.2979      4.3493789
             19      730.30686      1.2085395      583.74261     0.93147785      999.86424      4.2134975
             20      674.68829       1.160565      539.67307     0.89893999       923.3236      3.9039567
             21      621.34068      1.1116154      497.44043     0.85960551      838.66344      3.7416923
             22      573.98275      1.0679092      459.51331     0.82503801      779.14975      3.5759416
             23      529.53867      1.0280474      424.77471      0.8027507      712.78023       3.401292
             24      489.60094     0.98829076      393.07138     0.77629435       659.0656      3.2458736
             25      454.48398     0.95274634      364.83705     0.73807894      607.51568      2.8953891
             26      424.20905     0.91892345      340.82996     0.71337642       567.8276      2.8450136
             27      394.75555     0.88274102      317.38457     0.68804702      525.63768       2.780448
             28      367.61164     0.85244787      295.74521     0.68337147      484.80551      2.6335048
             29      343.60221     0.82506559      276.41996     0.64340758      457.25943      2.5265966
             30       318.1729     0.79590274      256.25674     0.61969741      420.10973      2.3780799
             31      298.68467     0.76938104      240.48123     0.60085344      393.99223       2.247627
             32       279.8572      0.7450902      225.52519     0.58287685      366.93191      2.1967467
             33      261.14534      0.7188828      210.74082     0.56247543      343.20479      1.9879652
             34      246.11774     0.69732527      198.70724     0.54494388       322.5808      1.9056317
             35      231.42998     0.69110615      186.91466     0.53928644      299.41129      1.8301033
             36      218.54681      0.6560023      176.47033     0.51363291      285.28151        1.70844
             37       205.0836     0.63467822      165.80383     0.49980097      266.95118      1.9047678
             38      193.54207      0.6199748      156.64765     0.49455294      250.00018      1.6438284
             39       181.0457     0.59557486      146.51554     0.46676185      233.11471      1.7416931
             40      172.55109     0.58118942      139.63692     0.45661396      223.33137      1.5816044
             41      162.61538     0.57134015      131.68296     0.44959351      209.26174      1.4580219
             42      152.05135     0.54841288      123.17991     0.43006898       195.1163      1.4557119
             43      145.75733     0.53513686      118.16291     0.42623425      189.07201      1.4561715
             44      137.50051     0.51614291      111.40767     0.40758006      176.28895      1.1958648
             45      131.01512     0.50574779      106.21653     0.39874693      168.35227      1.3380631
             46      123.41225     0.49018374       100.1541     0.39200672      157.23811      1.2463082
             47      117.68293     0.48202612      95.576777     0.38338966      148.67309      1.2143962
             48      112.23955     0.46868247      91.039397     0.37004166      143.95197      1.2774385
             49      106.96416     0.45753886      86.982231     0.37135226      135.92651      1.2481271
             50      106.96416     0.45753886      86.982231     0.37135226      135.92651      1.2481271
