#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      6.6386676     0.41124277      5.0221634     0.29422532      13.144415       1.995261
           -4.9       17.42336     0.60999699      13.239377      0.4506853      26.145059      2.3681854
           -4.8      38.967832     0.93166289      29.956852     0.69159975      62.180613      4.7439296
           -4.7      81.645266      1.3380776      63.380885     0.99939497      120.70727       6.977771
           -4.6      156.36233       1.825625       121.3854      1.3595648      248.17355      8.3875759
           -4.5      266.40312      2.4291508      207.80288      1.8090278      418.42975      11.712229
           -4.4      430.45771      3.0692675      335.57542      2.2870455      642.52155      14.009469
           -4.3      631.41542      3.7219048      493.55668       2.782423      934.38081      18.275324
           -4.2      899.69363      4.4092493      703.45882      3.3045361      1336.1845      20.229822
           -4.1      1198.8478       5.096341      939.16096      3.8318548      1806.5326      23.152203
             -4      1545.0274      5.7773109      1211.9371      4.3823593      2273.9565      24.680804
           -3.9      1913.8324      6.3992194      1502.8765      4.8161305      2845.4824      26.921871
           -3.8      2278.4679      6.9643748      1792.6407      5.2774011       3354.065      27.683363
           -3.7      2655.9151      7.4687529      2091.7138      5.6494478       3866.523      30.175472
           -3.6      3013.6735      7.9309615      2374.9085      5.9916585      4360.6371       32.34843
           -3.5      3375.7073      8.3906738      2664.2679      6.3716661      4892.1531      34.808484
           -3.4      3712.4247      8.7595177      2932.2188      6.6385873      5323.2419      35.751116
           -3.3       4027.526      9.1986692      3185.8807      7.0699889      5757.8313      36.471433
           -3.2      4323.0793      9.4282489       3421.374      7.1847918      6170.3769      37.689052
           -3.1       4569.456      9.6278606      3619.0591      7.3379906      6560.3093      39.014418
             -3      4823.1047      9.8850188      3824.0971      7.5703051       6868.887      38.379698
           -2.9      5014.6074      10.055138      3977.4147      7.6746852      7120.7968      40.207889
           -2.8      5176.4729      10.191903      4108.6777      7.8217372      7313.2531      39.276667
           -2.7       5338.908      10.326013       4238.738      7.9090782       7541.053      39.780013
           -2.6      5462.2513      10.423595      4339.7679      7.9697969      7673.6835      40.947369
           -2.5      5564.1747      10.525391      4424.5791      8.0600443      7829.7774      41.142262
           -2.4       5632.737      10.567141      4480.7413       8.192907      7901.6076        40.9936
           -2.3       5722.894      10.624231      4551.8375      8.1245676      8047.1409      41.213609
           -2.2      5779.9781      10.661958      4599.0719      8.2444333      8087.2141      40.174193
           -2.1      5810.6369       10.70807      4628.0337       8.298623      8132.4677      41.951992
             -2      5825.0926      10.685996      4635.0445      8.1748875       8117.017      39.585042
           -1.9      5838.8438      10.681942      4647.3094      8.2010447      8169.0649      41.005059
